Hymnus;Hymne
Ætérne rerum cónditor,;Eternel Créateur du monde
noctem diémque qui regis,;qui régis la nuit et le jour
et témporum das témpora;et qui rythmes le cours du temps
ut álleves fastídium,;afin d’en alléger le poids,

Præco diéi iam sonat,;Déjà, pour le jour, le coq chante,
noctis profúndæ pérvigil,;Veilleur au profond de la nuit,
noctúrna lux viántibus;Lueur nocturne aux voyageurs
a nocte noctem ségregans.;Séparant la nuit de la nuit.

Hoc excitátus lúcifer;Alors, surgit l’astre de l’aube
"solvit polum calígine;";Qui chasse les ombres du ciel,
hoc omnis errónum chorus;Alors, les troupes de rôdeurs
vias nocéndi déserit.;Délaissent les sentiers du mal

Hoc nauta vires cólligit;Alors, le marin reprend force,
"pontíque mitéscunt freta;";"Le calme revient sur la mer ;"
hoc, ipse Petra Ecclésiæ,;A son chant, Pierre, le Rocher,
canénte, culpam díluit.;Lave sa faute dans les pleurs.

Iesu, labántes réspice;"Regarde, ô Jésus, ceux qui tombent ;"
"et nos vidéndo córrige;";En nous voyant relève-nous :
si réspicis, lapsus cadunt;A ton regard, l’erreur s’enfuit,
fletúque culpa sólvitur.;Les pleurs effacent le péché.

Tu, lux, refúlge sénsibus;Brille pour nos yeux, ô lumière,
"mentísque somnum díscute;";"Eveille les cœurs endormis ;"
te nostra vox primum sonet;Que nos premiers chants soient pour toi : 
et vota solvámus tibi.;Pour toi, nos vœux soient accomplis !

Sit, Christe, rex piíssime,;O Christ, ô Roi plein d’indulgence,
tibi Patríque glória;Gloire à ton Père et gloire à toi,
cum Spíritu Paráclito,;Avec l’Esprit Consolateur,
in sempitérna sæcula. Amen.;A travers les siècles sans fin !
