#JOUR;#JOUR
<center><font color=red><b>Ritus intiales</b></font></center>;<center><font color=red><b>Rites d'ouverture</b></font></center>
#INTROIT;#INTROIT
V/. In nómine Patris, et Fílii, et Spíritus Sancti. ;V/. Au nom du Père et du Fils et Saint Esprit. 
R/. Amen.;R/. Amen.
V/. Grátia Dómini nostri Iesu Christi, et cáritas Dei, et communicátio Sancti Spíritus sit cum ómnibus vobis.;
<font color=red size=-1>vel</font>;<font color=red size=-1>ou</font>
V/. Grátia vobis et pax a Deo Patre nostro et Dómino Iesu Christo.;
<font color=red size=-1>vel</font>;<font color=red size=-1>ou</font>
V/. Dóminus vobíscum.;
R/. Et cum spíritu tuo.;
<center><font color=red>Actus paenitentialis</font></center>;<center><font color=red>Acte pénitentiel</font></center>
V/.  Fratres, agnoscámus peccáta nostra, ut apti simus ad sacra mystéria celebránda.;
<font color=red size=-1>Omnes dicens :</font>;<font color=red size=-1>Tous disent :</font>
Confíteor Deo omnipoténti et vobis, fratres, quia peccávi nimis cogitatióne, verbo, ópere et omissióne: <font color=red size=-1>et, percutientes sibi pectus, dicunt :</font>mea culpa, mea culpa, mea máxima culpa. <font color=red size=-1>Deinde prosequuntur:</font>Ideo precor beátam Maríam semper Vírginem, omnes Angelos et Sanctos, et vos, fratres, oráre pro me ad Dóminum Deum nostrum.;Je confesse à Dieu tout puissant et à vous, mes frères, car j'ai péché par la pensée, la parole, les actes et par omission :<font color=red size=-1>et, en se frappant la poitrine, on dit :</font> je suis coupable, je suis coupable, je suis grandement coupable.<font color=red size=-1>ensuite, on continue :</font>C'est pourquoi je supplie la bienheureuse Marie toujours Vierge, tous les Anges et les Saints, et vous, frères, de prier pour moi le Seigneur notre Dieu.
<font color=red size=-1>vel</font>;<font color=red size=-1>ou</font>
V/. Miserére nostri, Dómine.;V/. Prends pitié de nous, Seingeur.;
R/. Quia peccávimus tibi.;R/. Car nous avons péché contre Toi.;
V/. Osténde nobis, Dómine, misericórdiam tuam. ;V/. Fais-nous voir, Seigneur, ta bonté.;Ps LXXXV, 8
R/. Et salutáre tuum da nobis.;R/. Et accorde-nous ton salut.;Ps LXXXV, 8
<font color=red size=-1>vel</font>;<font color=red size=-1>ou</font>;
V/. Qui missus es sanáre contrítos corde: Kyrie, eléison.;V/. Toi qui a été envoyé pour soigner les coeurs contris : Seigneur, prends pitié.;
R/. Kyrie, eléison.;R/. Seigneur, prends pitié.;
V/. Qui peccatóres vocáre venísti: Christe, eléison.;V/. Toi qui es venu appelé les pécheurs : O Christ, prends pitié.;
R/. Christe, eléison.;R/. O Christ, prends pitié.;
V/. Qui ad déxteram Patris sedes, ad interpellándum pro nobis: Kyrie, eléison.;V/. Toi qui es assis la doite du Père, pour L'interpeller pour nous : Seigneur, prends pitié.;
R/. Kyrie, eléison.;R/. Seigneur, prends pitié.;
<font color=red>Deinde:</font>;<font color=red>Ensuite :</font>;
V/. Misereátur nostri omnípotens Deus et, dimissís peccátis nostris, perdúcat nos ad vitam aetérnam.;V/. Aie pitié de nous Dieu tout puissant et, nos péchés ayant été renvoyés, conduis-nous à la vie éternelle.;
R/. Amen.;R/. Amen.;
V/. Kyrie, eléison. R/. Kyrie, eléison.;V/. Seigneur prends pitié. R/. Seigneur prends pitié.;
V/. Christe, eléison. R/. Christe, eléison.;V/. O Christ prends pitié. R/. O Christ prends pitié.;
V/. Kyrie, eléison. R/. Kyrie, eléison. ;V/. Seigneur prends pitié. R/. Seigneur prends pitié.
#GLORIA;#GLORIA
<center><font color=red>Collecta</font></center>;<center><font color=red>Collecte</font></center>
V/. Orémus;V/. Prions
#COLLECTE;#COLLECTE
<center><font color=red><b>Liturgia Verbi</b></font></center>;<center><font color=red><b>Liturgie de la Parole</b></font></center>
#LECTIO1;#LECTIO1
#GRADUALE;#GRADUALE
#LECTIO2;#LECTIO2
#TRACTUS;#TRACTUS
#LECTIO3;#LECTIO3
#CREDO;
#ORAFIDEL;
<center><font color=red><b>Liturgia Eucharistia</b></font></center>;<center><font color=red><b>Liturgie Eucharistique</b></font></center>
<center><font color=red>Offertorium</font></center>;<center><font color=red>Offertoire</font></center>
#OFF;
V/. Benedíctus es, Dómine, Deus univérsi, quia de tua largitáte accépimus panem, quem tibi offérimus, fructum terrae et óperis mánuum hóminum: ex quo nobis fiet panis vitae.;
R/. Benedíctus Deus in saecula.;
V/. Benedíctus es, Dómine, Deus univérsi, quia de tua largitáte accépimus vinum, quod tibi offérimus, fructum vitis et óperis mánuum hóminum, ex quo nobis fiet potus spiritális.;
R/. Benedíctus Deus in saecula.;
<center><font color=red>Oratio super oblata</font></center>;<center><font color=red>Prière sur les offrandes</font></center>
V/. Oráte, fratres: ut meum ac vestrum sacrifícium acceptábile fiat apud Deum Patrem omnipoténtem.;
R/. Suscípiat Dóminus sacrifícium de mánibus tuis ad laudem et glóriam nóminis sui, ad utilitátem quoque nostram totiúsque Ecclésiae suae sanctae.;
#SECRETE;
R/. Amen.;R/. Amen.
<center><font color=red>Praefatio</font></center>;<center><font color=red>Préface</font></center>
V/. Dóminus vobíscum.;
R/. Et cum spíritu tuo.;
V/. Sursum corda.;
R/. Habémus ad Dóminum.;
V/. Grátias agámus Dómino Deo nostro.;
R/.Dignum et iustum est.;
#PREF;
Sanctus, Sanctus, Sanctus Dóminus Deus Sábaoth. Pleni sunt caeli et terra glória tua. Hosánna in excélsis. Benedíctus qui venit in nómine Dómini. Hosánna in excélsis.;
<center><font color=red>Prex Eucharistia</font></center>;<center><font color=red>Prière Eucharistique</font></center>
#CANON1;
#COMMUNICANTES;
#HANCIGITUR;
#CANON2;
V/. Mystérium fídei.;
R/. Mortem tuam annuntiámus, Dómine, et tuam resurrectiónem confitémur, donec vénias.;
#CANON3;
Per ipsum, et cum ipso, et in ipso, est tibi Deo Patri omnipoténti, in unitáte Spíritus Sancti, omnis honor et glória per ómnia saecula saeculórum.;
R/. Amen.;
<center><font color=red><b>Ritus Communionis</b></font></center>;<center><font color=red><b>Rite de Communion</b></font></center>
<center><font color=red>Pater Noster</font></center>;<center><font color=red>Notre Père</font></center>
V/. Praecéptis salutáribus móniti, et divína institutióne formáti, audémus dícere: ;
Pater noster, qui es in cælis: ;Notre Père, qui es aux Cieux,
"sanctificétur nomen tuum; ";"que ton nom soit sanctifié;"
"advéniat regnum tuum; ";"que ton règne arrive; "
fiat volúntas tua, sicut in cælo et in terra.;que ta volonté soit faite au Ciel comme sur la terre.
"Panem nostrum cotidiánum da nobis hódie; ";Donne-nous aujourd'hui notre pain quotidien,
et dimítte nobis débita nostra, ;et remets-nous nos dettes,
"sicut et nos dimíttimus debitóribus nostris; ";" comme nous les remettons nous-mêmes à nos débiteurs ;"
"et ne nos indúcas in tentatiónem; ";et ne nous abandonne pas dans l’épreuve, 
sed líbera nos a malo.;mais délivre-nous du malin.
V/. Líbera nos, quaesumus, Dómine, ab ómnibus malis, da propítius pacem in diébus nostris, ut, ope misericórdiae tuae adiúti, et a peccáto simus semper líberi et ab omni perturbatióne secúri: exspectántes beátam spem et advéntum Salvatóris nostri Iesu Christi. ;
R/. Quia tuum est regnum, et potéstas, et glória in saecula.;
<center><font color=red>Ritus Pacis</font></center>;<center><font color=red>Rite de Paix</font></center>
"V/. Dómine Iesu Christe, qui dixísti Apóstolis tuis: Pacem relínquo vobis, pacem meam do vobis: ne respícias peccáta nostra, sed fidem Ecclésiae tuae; eámque secúndum voluntátem tuam pacificáre et coadunáre dignéris. Iungit manus. Qui vivis et regnas in saecula saeculórum. ";
R/. Amen.;R/. Amen.
V/. Pax Dómini sit semper vobíscum.;
R/. Et cum spíritu tuo.;
V/. Offérte vobis pacem. ;
Agnus Dei, qui tollis peccáta mundi: miserére nobis. Agnus Dei, qui tollis peccáta mundi: miserére nobis. Agnus Dei, qui tollis peccáta mundi: dona nobis pacem. ;
<center><font color=red>Communio</font></center>;<center><font color=red>Communion</font></center>
V/. Ecce Agnus Dei, ecce qui tollit peccáta mundi. Beáti qui ad cenam Agni vocáti sunt. ;
R/. Dómine, non sum dignus, ut intres sub téctum meum, sed tantum dic verbo, et sanábitur ánima mea.;
#COMM;
<center><font color=red>Oratio post Communionem</font></center>;<center><font color=red>Prière après la communion</font></center>
V/. Orémus;V/. Prions
#POSTCOMMUNIO;
R/. Amen.;R/. Amen.
<center><font color=red><b>Ritus Conclusionis</b></font></center>;<center><font color=red><b>Rite de conclusion</b></font></center>
#SUPERPOP;
#BENSOL;
#BENE;
#DIMISSIO;
