LB_matin;LB_Deut 7, 6b. 8-9;
benedictus;Cum ieiunátis, nolíte fíeri, sicut hypócritæ, tristes.;Et lorsque vous jeûnez, ne prenez pas un air sombre, comme les hypocrites.
oratio_laudes;Concéde nobis, Dómine, præsídia milítiæ christiánæ sanctis inchoáre ieiúniis, + ut, contra spiritáles nequítias pugnatúri, * continéntiæ muniámur auxíliis. Per Dóminum.;Accorde-nous, Seigneur, de savoir commencer saintement, par une journée de jeûne, notre entraînement au combat spirituel : que nos privations nous rendent plus fort pour lutter contre l'esprit du mal.
LB_3;LB_Ez 18, 30b-32;
oratio_3;Concéde nobis, Dómine, præsídia milítiæ christiánæ sanctis inchoáre ieiúniis, + ut, contra spiritáles nequítias pugnatúri, * continéntiæ muniámur auxíliis. Per Dóminum.;Accorde-nous, Seigneur, de savoir commencer saintement, par une journée de jeûne, notre entraînement au combat spirituel : que nos privations nous rendent plus fort pour lutter contre l'esprit du mal.
LB_6;LB_Zac 1, 3b-4b;
oratio_6;Concéde nobis, Dómine, præsídia milítiæ christiánæ sanctis inchoáre ieiúniis, + ut, contra spiritáles nequítias pugnatúri, * continéntiæ muniámur auxíliis. Per Dóminum.;Accorde-nous, Seigneur, de savoir commencer saintement, par une journée de jeûne, notre entraînement au combat spirituel : que nos privations nous rendent plus fort pour lutter contre l'esprit du mal.
LB_9;LB_Dan 4, 24b;
oratio_9;Concéde nobis, Dómine, præsídia milítiæ christiánæ sanctis inchoáre ieiúniis, + ut, contra spiritáles nequítias pugnatúri, * continéntiæ muniámur auxíliis. Per Dóminum.;Accorde-nous, Seigneur, de savoir commencer saintement, par une journée de jeûne, notre entraînement au combat spirituel : que nos privations nous rendent plus fort pour lutter contre l'esprit du mal.
LB_soir;LB_Phil 2, 12b-15a;
magnificat;Cum facis eleemósynam, nésciat sinístra tua qiud fáciat déxtera tua.;Quand tu fais l'aumône, que ta main gauche ignore ce que ta main droite.
oratio_soir;Concéde nobis, Dómine, præsídia milítiæ christiánæ sanctis inchoáre ieiúniis, + ut, contra spiritáles nequítias pugnatúri, * continéntiæ muniámur auxíliis. Per Dóminum.;Accorde-nous, Seigneur, de savoir commencer saintement, par une journée de jeûne, notre entraînement au combat spirituel : que nos privations nous rendent plus fort pour lutter contre l'esprit du mal.
