LB_matin;LB_Cf. 1 Reg 8, 51-53a;
benedictus;Qui vult veníre post me, ábneget semetípsum et tollat crucem suam, et sequátur me.;Si quelqu'un veut venir à ma suite, qu'il se renonce lui-même, qu'il prenne sa croix et me suive.
oratio_laudes;Actiónes nostras, quæsumus, Dómine, aspirándo præveni et adiuvándo proséquere, + ut cuncta nostra operátio a te semper incípiat, * et per te cœpta fíniatur. Per Dóminum.;Que ta grâce inspire notre action, Seigneur, et la soutienne jusqu'au bout, pour que toutes nos activités prennent leur source en toi et reçoivent de toi leur achèvement.
LB_3;LB_Is 55, 6-7;
oratio_3;Actiónes nostras, quæsumus, Dómine, aspirándo præveni et adiuvándo proséquere, + ut cuncta nostra operátio a te semper incípiat, * et per te cœpta fíniatur. Per Dóminum.;Que ta grâce inspire notre action, Seigneur, et la soutienne jusqu'au bout, pour que toutes nos activités prennent leur source en toi et reçoivent de toi leur achèvement.
LB_6;LB_Deut 30, 2-3a;
oratio_6;Actiónes nostras, quæsumus, Dómine, aspirándo præveni et adiuvándo proséquere, + ut cuncta nostra operátio a te semper incípiat, * et per te cœpta fíniatur. Per Dóminum.;Que ta grâce inspire notre action, Seigneur, et la soutienne jusqu'au bout, pour que toutes nos activités prennent leur source en toi et reçoivent de toi leur achèvement.
LB_9;LB_Hebr 10, 35-36;
oratio_9;Actiónes nostras, quæsumus, Dómine, aspirándo præveni et adiuvándo proséquere, + ut cuncta nostra operátio a te semper incípiat, * et per te cœpta fíniatur. Per Dóminum.;Que ta grâce inspire notre action, Seigneur, et la soutienne jusqu'au bout, pour que toutes nos activités prennent leur source en toi et reçoivent de toi leur achèvement.
LB_soir;LB_Iac 4, 7-8.10;
magnificat;Qui odit ánimam suam in hoc mundo, in vitam ætérnam custódit earn.;Celui qui hait sa vie en ce monde, la conservera pour la vie éternelle.
oratio_soir;Actiónes nostras, quæsumus, Dómine, aspirándo præveni et adiuvándo proséquere, + ut cuncta nostra operátio a te semper incípiat, * et per te cœpta fíniatur. Per Dóminum.;Que ta grâce inspire notre action, Seigneur, et la soutienne jusqu'au bout, pour que toutes nos activités prennent leur source en toi et reçoivent de toi leur achèvement.
