<font color=red size=-1>Ante Officium quod a solo persolvitur, dici potest sequens oratio:</font>;<font color=red size=-1>Avant l'Office quand on s'en acquitte seul, il est possible de dire l'oraison suivante :</font>;
"Aperi, Dómine, os meum ad benedicéndum nomen sanctum tuum; munda cor meum ab ómnibus vanis, pervérsis et aliénis cogitatiónibus; intelléctum illúmina, afféctum inflámma, ut digne, atténte ac devóte hoc Offícium recitáre váleam, et exaudíri mérear ante conspéctum divínae maiestátis tuæ. Per Christum Dóminum nostrum. Amen.";"Ouvre, Seigneur, mes lèvres pour la bénédiction de ton Saint Nom ; purifie mon cœur de toutes les vanités, perversions et pensées déplacées ; illumine mon intellect, enflamme mon affection, pour que dignement, j'aie récité avec application et dévotion cet Office, et que j'aie mérité d'être entendu devant le regard de ta majesté divine. Par le Christ notre Seigneur. Amen.";
V/. Domine, lábia mea apéries.;V/. Seigneur, ouvre mes lèvres,  ;Ps LI 17
R/. Et os meum annuntiábit laudem tuam.;R/. Et ma bouche publiera ta louange.;Ps LI 17
<center><font color=red><b>Psalmodia</b></font></center>;<center><font color=red><b>Psalmodie</b></font></center>;
#ANT_INVIT*;#ANT_INVIT*;
#PS_INVIT;#PS_INVIT;
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père,au Fils et au Saint Esprit.;
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.;
#ANT_INVIT;#ANT_INVIT;
