#JOUR;#JOUR
<font color=red>V/.</font> Deus, in adiutórium meum inténde. ;<font color=red>V/.</font> Dieu, viens à mon aide. 
<font color=red>R/.</font> Dómine, ad adiuvándum me festína.;<font color=red>R/.</font> Seigneur, vite à mon secours.
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
Allelúia.;Alléluia.
#HYMNUS_tertiam;
<center><font color=red><b>Psalmodia</b></font></center>;<center><font color=red><b>Psalmodie</b></font></center>
#ANT1;#ANT1
#PS1;#PS1
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#PS2;#PS2
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#PS3;#PS3
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#ANT1;#ANT1
#LB_3;#LB
#RB_3;
#ORATIO_3;
R/. Amen.;R/. Amen.
<font color=red size=-1>Deinde, saltem in celebratione communi, additur acclamatio:</font>;<font color=red size=-1>Ensuite, dans la célébration commune, on ajoute l’acclamation :</font>
Benedicámus Dómino. ;Bénissons le Seigneur.
R/. Deo grátias.;R/. Nous rendons grâces à Dieu.
