#JOUR;#JOUR
V/. Deus, in adiutórium meum inténde. ;V/. Dieu, viens à mon aide. 
R/. Dómine, ad adiuvándum me festína.;R/. Seigneur, vite à mon secours.
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
Allelúia.;Alléluia.
#HYMNUS;#HYMNE
<h2>Psalmodia</h2>;<h2>Psalmodie</h2>
#ANT1*;#ANT1
#PS1;#PS1
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#ANT1;#ANT1
#ANT2*;#ANT2
#PS2;#PS2
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#ANT2;#ANT2
#ANT3*;#ANT3
#PS3;#PS3
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#ANT3;#ANT3
#LB;#LB
#RB;#RB
#ANT_MAGN;#ANT_MAGN
#MAGNIFICAT;#MAGNIFICAT
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#ANT_MAGN;#ANT_MAGN
#PRECES;#PRECES
<h2>Pater</h2>;<h2>Notre père</h2>
Pater noster, qui es in cælis: ;Notre Père, qui es aux Cieux,
"sanctificétur nomen tuum; ";"que ton nom soit sanctifié;"
"advéniat regnum tuum; ";"que ton règne arrive; "
fiat volúntas tua, sicut in cælo et in terra.;que ta volonté soit faite au Ciel comme sur la terre.
"Panem nostrum cotidiánum da nobis hódie; ";Donne-nous aujourd'hui notre pain quotidien,
et dimítte nobis débita nostra, ;et remets-nous nos dettes,
"sicut et nos dimíttimus debitóribus nostris; ";" comme nous les remettons nous-mêmes à nos débiteurs ;"
"et ne nos indúcas in tentatiónem; ";et ne nous abandonne pas dans l’épreuve, 
sed líbera nos a malo.;mais délivre-nous du malin.
<h2>Oratio</h2>;<h2>Oraison</h2>
#ORATIO;#ORATIO
R/. Amen.;R/. Amen.
<h5>Deinde, si præest sacerdos vel diaconus, populum dimittit, dicens:</h5>;<h5>Ensuite, si l’office est présidé par un prêtre ou un diacre, il renvoie le peuple, en disant :</h5>
Dóminus vobíscum. ;Le Seigneur soit avec vous. 
R/. Et cum spíritu tuo.;R/. Et avec votre Esprit.
Benedícat vos omnípotens Deus, Pater, et Fílius, et Spíritus Sanctus. ;Que le Dieu tout puissant vous bénisse, le Père, le Fils, et le Saint Esprit.
R/. Amen.;R/. Amen.
<h5>Vel alia formula benedictionis, sicut in Missa.</h5>;<h5>Ou une autre formule de bénédiction, comme à la Messe.</h5>
<h5>Et, si fit dimissio, sequitur invitatio:</h5>;<h5>Et, si on fait un envoi, on poursuit par l’invitation :</h5>
Ite in pace. ;Allez en Paix. 
R/. Deo grátias.;R/. Rendons grâces à Dieu.
<h5>Absente sacerdote vel diacono, et in recitatione a solo, sic concluditur:</h5>;<h5>En l’'absence d’un prêtre ou d’un diacre, et dans la récitation seul, on conclut ainsi :</h5>
Dóminus nos benedícat, et ab omni malo deféndat, et ad vitam perdúcat ætérnam. R/. Amen.;Que le Seigneur nous bénisse, et qu’il nous défende de tout mal, et nous conduise à la vie éternelle. R/. Amen.
