jour;Die 25 ianuarii;Le 25 janvier
intitule;IN CONVERSIONE S. PAULI, APOSTOLI;CONVERSION DE S. PAUL, APOTRE
rang;Festum;Fête
HYMNUS_laudes;hy_Doctor egrégie, Paule, mores ínstrue;
ant1;Scio cui crédidi, et certus sum quia potens est depósitum meum serváre in illum diem iustus iudex.;Je sais en qui j'ai mis ma confiance, et j'ai la conviction qu'il a le pouvoir de garder mon dépôt jusqu'au jour du jugement
ps1;ps62;
ant2;Súfficit tibi, Paule, grátia mea, nam virtus in infirmitáte perfícitur.;Paul, ma grâce te suffit, car c'est dans la faiblesse que ma puissance se montre tout entière. 
ps2;AT41;
ant3;Grátia Dei in me vácua non fuit, sed grátia eius semper in me manet.;La grâce de Dieu envers moi n'a pas été vaine, mais sa grâce demeure toujours en moi.
ps3;ps149;
LB_matin;LB_Hebr 13, 7-9a;
RB_matin;"R/. Tu es vas electiónis, * Sancte Paule apóstole. Tu es.
V/. Prædicátor veritátis in univérso mundo. * Sancte Paule apóstole. Glória Patri. Tu es.";R/. Tu es le vase d'élection, * Saint Paul apôtre. Tu es. V/. Prédicateur de la vérité dans le monde entier. Gloire au Père. Tu es.
benedictus;Celebrémus conversiónem sancti Pauli apóstoli, quia ex persecutóre efféctus est vas electiónis.;Célébrons la conversion de Saint Paul apôtre, car de persécuteur il est devenu vase d'élection.
preces_matin;preces_V;
oratio;Deus, qui univérsum mundum beáti Pauli apóstoli prædicatióne docuísti, da nobis, quæsumus, ut, cuius conversiónem hódie celebrámus, per eius ad te exémpla gradiéntes, tuæ simus mundo testes veritátis. Per Dóminum.;Dieu, qui a instruis le monde par la prédication du bienheureux Paul apôtre, donne-nous, nous t'en prions, que sa conversion que nous célébrons aujourd'hui, fasse de nous à son exemple, des témoins cde la vérité pour le monde.
ant4;Saule frater, Dóminus misit me, Iesus, qui appáruit tibi in via, ut vídeas et impleáris Spíritu Sancto.;Saul, mon frère, le Seigneur Jésus qui t'est apparu sur le chemin, m'a envoyé pour que tu sois rempli de l'Esprit-Saint. 
ant5;Eúnte Saulo et appropinquánte Damásco, média die súbito de cælo circumfúlsit eum lux copiósa.;Comme Saul approchait de Damas, tout à coup, vers midi, une vive lumière venant du ciel resplendit autour de lui. 
ant6;Dixit Dóminus Saulo: Ego sum Iesus Nazarénus, quem tu perséqueris.;Le Seigneur dit à Saul : Je suis Jésus le Nazaréen, celui que tu persécutes.
LB_3;LB_1 Tim 1, 12-13a;
RB_3;"V/. Gaudéte et exsultáte, dicit Dóminus.
R/. Quia nómina vestra scripta sunt in cælis.";"V/. Réjouissez-vous et exsultez, dit le Seigneur.
R/. Car vos noms sont inscrits dans les cieux."
LB_6;LB_1 Tim 1, 14-15;
RB_6;"V/. Tu accéndis lucérnam meam, Dómine.
R/. Deus meus, illúmina ténebras meas.";"V/. Tu allumes ma lanterne, Seigneur.
R/. Mon Dieu, illumine mes ténèbres."
LB_9;LB_1 Tim 1, 16;
RB_9;"V/. Glorificábo nomen tuum in ætérnum, Dómine.
R/. Quia misericórdia tua magna est super me.";"V/. Je glorifierai ton nom pour toujours, Seigneur.
R/. Car ta miséricorde est grande pour moi."
HYMNUS_vepres;hy_Excélsam Pauli glóriam;
ant7;Libénter gloriábor in infirmitátibus meis, ut inhábitet in me virtus Christi.;Je consens à me glorifier de mes faiblesses, afin que la puissance du Christ habite en moi.
ps7;ps115;
ant8;Ego plantávi, Apóllo rigávit, Deus autem increméntum dedit.;J'ai planté, Apollos a arrosé, mais c'est Dieu qui a donné la croissance, alléluia.
ps8;ps125;
ant9;"Mihi vívere Christus est, et mori lucrum; gloriári me opórtet in cruce Dómini nostri Iesu Christi.";Pour moi, vivre, c'est le Christ, et mourir est un gain. Ma seule gloire est dans la croix du Seigneur Jésus-Christ.
ps9;NT4;
LB_soir;LB_1 Cor 15, 9-10;
RB_soir;"R/. Confitébor tibi, Dómine, * In toto corde meo. Confitébor.
V/. Et glorificábo nomen tuum in géntibus. * In toto corde meo. Glória Patri. Confitébor.";"R/. Je te louerai, Seigneur, * De tout mon coeur. Je te louerai.
V/. Et je glorifierai ton nom parmi les nations. * De tout mon coeur. Gloire au Père. Je te louerai."
magnificat;Sancte Paule apóstole, prædicátor veritátis et doctor géntium, intercéde pro nobis ad Deum, qui te elégit.;Saint Paul apôtre, prédicateur de la vérité et docteur des nations, intercédez pour nous auprès de Dieu, qui vous a choisi.
preces_soir;preces_VI;
