jour;Die 14 februarii;Le 14 février
intitule;SS. CYRILLI, MONACHI, ET METHODII, EPISCOPI;SS.CYRILLE, MOINE, ET METHODE, EVEQUE
rang;Memoria;Mémoire
HYMNUS_laudes;hy_Hi sacerdótes Dómini sacráti;
LB_matin;LB_Hebr 13, 7-9a;
RB_matin;"R/. Super te, Ierúsalem, * Constítui custódes. Super te. 
V/. Die ac nocte non tacébunt prædicáre nomen Dómini. * Constítui custódes. Glória Patri. Super te.";"R/. Sur toi, Jérusalem, * j'ai placé des sentinelles. Sur toi. 
V/. Jamais ni le jour ni la nuit, elles ne cesseront de prêcher le nom du Seigneur. * J'ai placé des sentinelles. Gloire au Père. Sur toi."
benedictus;In sanctitáte et iustítia serviérunt Dómino ómnibus diébus suis.;Dans la sainteté et la justice, ils ont servi le Seigneur pendant tous leurs jours.
preces_matin;;
oratio;Deus, qui per beátos fratres Cyríllum et Methódium Slavóniæ gentes illuminásti, da córdibus nostris tuæ doctrínæ verba percípere, nosque pérfice pópulum in vera fide et recta confessióne concórdem. Per Dóminum.;Dieu qui par les bienhereux frères Cyrille et Méthode, as conduit les peuples slaves à la lumière ouvre nos cœurs à l’intelligence de ton verbe : et permets à notre peuple de se maintenir dans la vraie foi et la confession droite.
HYMNUS_vepres;hy_Sacráta nobis gáudia;
LB_soir;LB_1 Petr 5, 1-4;
RB_soir;"R/. Hic est fratrum amátor, * Qui multum orat pro pópulo. Hic est. 
V/. Et ánimam suam trádidit pro frátribus suis. * Qui multum orat pro pópulo. Glória Patri. Hic est.";"R/. Celui-ci est l'ami de ses frères, * qui prie beaucoup pour le peuple. Celui-ci. 
V/. Et son âme est livrée pour ses frères. * qui prie beaucoup pour le peuple. Gloire au Père. Celui-ci."
magnificat;Isti sunt viri sancti, facti amíci Dei, divínæ veritátis præcónio gloriósi.;
preces_soir;;
