jour;Die 7 martii;Le 7 mars
intitule;SS. PERPETUÆ ET FELICITATIS, MARTYRUM;Stes PERPETUE ET FELICITE, MARTYRES
rang;Memoria;Mémoire
HYMNUS_laudes;hy_Ætérna Christi múnera;
LB_matin;LB_2 Cor 1, 3-5;
RB_matin;"R/. Iusti autem * In perpétuum vivent. Iusti. 
V/. Et apud Dóminum est merces eórum. * In perpétuum vivent. Glória Patri. Iusti.";
benedictus;Beáti, qui persecutiónem patiúntur propter iustítiam, quóniam ipsórum est regnum cælórum.;Heureux ceux qui ont souffert la persécution pour la justice, car le royaume des cieux est à eux.
preces_matin;preces_V;
oratio;Deus, cuius urgénte caritáte beátæ mártyres Perpétua et Felícitas torméntum mortis, contémpto persecutóre, vicérunt, da nobis, quæsumus, eárum précibus, ut in tua semper dilectióne crescámus. Per Dóminum.;"Dans leur amour pour toi, Seigneur, tes martyres Perpétue et Félicité ont trouvé la force de résister à leurs persécuteurs et de surmonter les tourments de la mort ; donne-nous, à leur prière, la grâce de t'aimer toujours davantage."
HYMNUS_vepres;hy_Sanctórum méritis ínclita gáudia;
LB_soir;LB_1 Petr 4, 13-14;
RB_soir;"R/. Lætámini in Dómino, * Et exsultáte, iusti. Lætámini. 
V/. Et gloriámini, omnes recti corde. * Et exsultáte, iusti. Glória Patri. Lætámini.";"R/. Réjouissez-vous dans le Seigneur, * Et exultez, justes. Réjouissez-vous. 
V/. Et glorifiez-le, tous les cœurs droits. *  Et exultez, justes. Gloire au Père. Réjouissez-vous."
magnificat;"Gaudent in cælis ánimæ sanctórum, qui Christi vestígia sunt secúti; et quia pro eius amóre sánguinem suum fudérunt, ídeo cum Christo regnábunt in ætérnum.";"Les âmes des saints se réjouissent dans le ciel, qui ont suivi les traces du Christ; et pour son amour ils ont versé leur sang, donc ils régneront avec le Christ pour l'éternité."
preces_soir;preces_VI;
