jour;Die 7 aprilis ;Le 7 Avril
intitule;S. IOANNIS BAPTISTÆ DE LA SALLE, PRESBYTERI;St JEAN-BAPTISTE DE LA SALLE, PRÊTRE
rang;Memoria;Mémoire
HYMNUS_laudes;hy_Inclitus rector pater atque prudens;
LB_matin;LB_Hebr 13, 7-9a;
RB_matin;"<h5>Tempore Quadragesimæ:</h5>
R/. Super te, Ierúsalem, * Constítui custódes. Super te.
V/. Die ac nocte non tacébunt prædicáre nomen Dómini. * Constítui custódes. Glória Patri. Super te.

<h5>Tempore paschali:</h5>
R/. Super te, Ierúsalem, constítui custódes, * Allelúia, allelúia. Super te.
V/. Die ac nocte non tacébunt prædicáre nomen Dómini. * Allelúia, allelúia. Glória Patri. Super te.";"<h5>En Carême:</h5>
R/. Sur toi, Jérusalem, * j'ai placé des sentinelles. Sur toi.
V/. Jamais ni le jour ni la nuit, elles ne cesseront de prêcher le nom du Seigneur. * J'ai placé des sentinelles. Gloire au Père. Sur toi.

<h5>Au temps Pascal : </h5>
R/. Sur toi, Jérusalem, j'ai placé des sentinelles. * Alléluia, alléluia. Sur toi.
V/. Jamais ni le jour ni la nuit, elles ne cesseront de prêcher le nom du Seigneur. * Allélulia, alléluia. Gloire au Père. Sur toi."
benedictus;Non vos estis qui loquímini, sed Spíritus Patris vestri, qui lóquitur in vobis (T.P. allelúia).;Rempli de compassion, il enseigne et châtie, comme un pasteur fait de son troupeau. (T.P. alléluia).
preces_matin;preces_V;
oratio;Deus, qui ad christiánam iuventútem educándam beátum Ioánnem Baptístam elegísti, éxcita in Ecclésia tua institutóres, qui humánæ et christiánæ iúvenum disciplínæ toto corde sese devóveant. Per Dóminum.;O Dieu, qui as choisi saint Jean-Baptiste de la Salle pour assurer l'éducation chrétienne de la jeunesse, suscite dans ton Église des maîtres qui se dévouent tout entiers à cette œuvre de formation humaine et chrétienne des jeunes. 
HYMNUS_vepres;hy_Vir celse, forma fúlgida;
LB_soir;LB_1 Petr 5, 1-4;
RB_soir;"Tempore Quadragesimæ (Tempore paschali):
R/. Hic est fratrum amátor, * Qui multum orat pro pópulo. Hic est.
V/. Et ánimam suam trádidit pro frátribus suis. * Qui multum orat pro pópulo. Glória Patri. Hic est.

Tempore paschali:
R/. Hic est fratrum amátor, qui multum orat pro pópulo, * Allelúia, allelúia. Hic est.
V/. Et ánimam suam trádidit pro frátribus suis. * Allelúia, allelúia. Glória Patri. Hic est.";"<h5>En Carême:</h5>
R/. Celui-ci est l'ami de ses frères, * qui prie beaucoup pour le peuple. Celui-ci.
V/. Et son âme est livrée pour ses frères. * qui prie beaucoup pour le peuple. Gloire au Père. Celui-ci.

<h5>Au temps Pascal :</h5>
R/. Celui-ci est l'ami de ses frères, qui prie beaucoup pour le peuple * Alléluia, alléluia. Celui-ci.
V/. Et son âme est livrée pour ses frères, qui prie beaucoup pour le peuple * Alléluia, alléluia. Gloire au Père. Celui-ci."
magnificat;Iste est fidélis et prudens dispensátor, quem constítuit Dóminus super famíliam suam, ut daret illis in témpore trítici mensuram (T.P. allelúia).;Voici l'intendant fidèle et prudent que son maître a établi sur sa famille, pour leur donner au moment voulu leur mesure de froment. (T.P. alléluia).
preces_soir;preces_VI;
