jour;Die 31 maii;Le 31 mai
intitule;IN VISITATIONE BEATÆ MARIÆ VIRGINIS;VISITATION DE LA BIENHEUREUSE VIERGE MARIE
rang;Festum;Fête
HYMNUS_laudes;hy_Véniens, mater ínclita;
ant1;Exsúrgens María ábiit in montána cum festinatióne, in civitátem Iuda.;
ps1;ps62;
ant2;Ut audívit salutatiónem Maríæ Elísabeth, exsultávit infans in útero eius, et repléta est Spíritu Sancto.;
ps2;AT41;
ant3;"Beáta es, María, quæ credidísti; perficiéntur in te quæ dicta sunt tibi a Dómino.";
ps3;ps149;
LB_matin;LB_Ioel 2, 27- 3, 1;
RB_matin;"R/. Elégit eam Dóminus * et præelégit eam. Elégit.
V/. In tabernáculo suo habitáre fecit eam. * Et præelégit eam. Glória Patri. Elégit.";
benedictus;Cum audísset salutatiónem Maríæ, Elísabeth exclamávit voce magna et dixit: Unde hoc mihi, ut véniat mater Dómini mei ad me?;
preces_matin;preces_V;
oratio;Omnípotens sempitérne Deus, qui beátam Vírginem Maríam, Fílium tuum gestántem, ad visitándam Elísabeth inspirásti, præsta, quæsumus, ut, afflánti Spirítui obsequéntes, cum ipsa te semper magnificáre possímus. Per Dóminum.;
LB_3;LB_Iudt 13, 18-19;
RB_3;"V/. Beáti qui áudiunt verbum Dei.
R/. Et custódiunt illud.";"V/. Heureux ceux qui entendent la parole de Dieu
R/. Et qui la suivent."
LB_6;LB_Tob 12, 6b;
RB_6;"V/. Beáta víscera Maríæ Vírginis.
R/. Quæ portavérunt ætérni Patris Fílium.";
LB_9;LB_Sap 7, 27b-28;
RB_9;"V/. Benedícta tu in muliéribus.
R/. Et benedíctus fructus ventris tui.";"V/. Tu es bénie entre les femmes.
R/.  et le fruit de ton sein est béni."
HYMNUS_vepres;hy_Cóncito gressu petis alta montis;
ant7;Intrávit María in domum Zacharíæ, et salutávit Elísabeth.;Marie entra dans la maison de Zacharie et salua Elisabeth.
ps7;ps121;
ant8;Ex quo facta est vox salutatiónis tuæ in áuribus meis, exsultávit infans in útero meo.;
ps8;ps126;
ant9;Benedícta tu inter mulíeres, et benedíctus fructus ventris tui.;Tu es bénie entre les femmes, et le fruit de ton sein est béni.
ps9;NT4;
LB_soir;LB_1 Petr 5, 5b-7;
RB_soir;"R/. Ave, María, grátia plena; * Dóminus tecum. Ave.
V/. Benedícta tu in muliéribus, et benedíctus fructus ventris tui. * Dóminus tecum. Glória Patri. Ave.";"R/. Salut, Marie, pleine de grâce; * Le Seigneur est avec toi. Salut.
V/. Tu es bénie entre les femmes, et le fruit de ton sein est béni. * Le Seigneur est avec toi. Gloire au Père. Salut."
magnificat;Beátam me dicent omnes generatiónes, quia ancíllam húmilem respéxit Deus.;Toutes les générations me diront bienheureuse, car Dieu a relevé l'humilité de sa servante.
preces_soir;preces_VI;
