jour;Die 21 iunii;Le 21 juin
intitule;S. ALOISII GONZAGA, RELIGIOSI;S. LOUIS DE GONZAGUE, RELIGIEUX
rang;Memoria;Mémoire
ant_invit;Mirábilem Deum in sanctis suis, veníte adorémus.;Les merveilles de Dieu dans ses saints, venez adorons.
HYMNUS_laudes;hy_Iesu, coróna célsior;
LB_matin;LB_Rom 12, 1-2;
RB_matin;"R/. Lex Dei eius * In corde ipsíus. Lex. 
V/. Et non supplantabúntur gressus eius. * In corde ipsíus. Glória Patri. Lex.
";"R/. La loi de son Dieu * est dans son cœur.  La loi. 
V/. Et ses pas ne chancellent point. * dans son coeur. Gloire au Père. La loi.
"
benedictus;Qui facit veritátem, venit ad lucem, ut manifesténtur ópera eius, quia in Deo sunt facta.;Celui qui fait la vérité, vient à la lumière, pour que se manifeste ses œuvres, qui sont faites en Dieu.
oratio;Deus, cæléstium auctor donórum, qui in beáto Aloísio miram vitæ innocéntiam cum pæniténtia sociásti, eius méritis et intercessióne concéde, ut, innocéntem non secúti, pæniténtem imitémur. Per Dóminum.;O Dieu, céleste dispensateur des biens, qui dans le bienheureux Louis a associé une vie innocente et pénitente, accorde-nous, par les mérites de son intercession, d'imiter sa pénitence.
HYMNUS_vepres;hy_Iesu, redémptor ómnium;
LB_soir;LB_Rom 8, 28-30;
RB_soir;"R/. Iustus Dóminus, * Et iustítiam diléxit. Iustus. 
V/. Æquitátem vidit vultus eius. * Et iustítiam diléxit. Glória Patri. Iustus.";"R/. Le Seigneur est juste, *  et il aime la justice. Le Seigneur. 
V/. L'équité est vue sur son visage. * Et il aime la justice. Gloire au Père. Le Seigneur."
magnificat;Serve bone et fidélis, intra in gáudium Dómini tui.;Serviteur bon et fidèle, entre dans la joie de ton Seigneur.
