ant_invit;Regem Apostolórum Dóminum, veníte, adorémus.;Le Seigneur, roi des apôtres, venez, adorons.;
jour;Die 29 iunii;Le 29 juin;
intitule;SS. PETRI ET PAULI, APOSTOLORUM;SS. PIERRE ET PAUL, APOTRES;
rang;Sollemnitas;Solennité;
HYMNUS_1V;hy_Aurea luce et decóre róseo;;
ant01;Tu es Christus, Fílius Dei vivi. Et tu beátus es, Simon Bar Iona.;Tu es le Christ, le fils du Dieu vivant. Et toi, heureux es-tu, Simon, fils de Jean.;
ps01;ps116;;
ant02;Tu es Petrus, et super hanc petram ædificábo Ecclésiam meam.;Tu es Pierre, et sur cette pierre, je construierai mon Eglise.;
ps02;ps147;;
ant03;Tu es vas electiónis, sancte Paule apóstole, prædicátor veritátis in univérso mundo.;Tu es le vase d'élection, saint Paul apôtre, prédicateur de la vérité dans le monde entier.;
ps03;NT4;;
LB_1V;LB_Rom 1, 1-3a. 7;;
RB_1V;"R/. Loquebántur Apóstoli verbum Dei * Cum fidúcia. Loquebántur.
V/. Et reddébant testimónium resurrectiónis Iesu Christi. * Cum fidúcia. Glória Patri. Loquebántur.";"R/. Les Apôtres ont  annoncé le verbe de Dieu * Avec confiance. Les Apôtres.
V/. Et ils ont rendu témoinage à la résurrection du Christ. * Avec Confiance. Gloire au Père. Les Apôtres.";
pmagnificat;Gloriósi Apóstoli Christi, quómodo in vita sua dilexérunt se, ita et in morte non sunt separáti.;Glorieux apôtres du Christ, parce que dans la vie vous vous êtes aimés, vous n'êtes pas séparés dans la mort.;
HYMNUS_laudes;hy_Apostolórum pássio;;
ant1;Scio cui crédidi, et certus sum quia potens est depósitum meum serváre in illum diem iustus iudex.;Je sais en qui j'ai mis ma confiance, et j'ai la conviction qu'il a le pouvoir de garder mon dépôt jusqu'à ce jour-là. ;2 Tim 1,12
ps1;ps62;;
ant2;Grátia Dei in me vácua non fuit, sed grátia eius semper in me manet.;La grâce de Dieu envers moi n'a pas été vaine, mais sa grâce demeure toujours avec moi.;
ps2;AT41;;
ant3;Bonum certámen certávi, cursum consummávi, fidem servávi.;J'ai combattu le bon combat, j'ai achevé la course, j'ai gardé la foi.;2 Tim 4,7
ps3;ps149;;
ant4;Adhuc loquénte Petro, cécidit Spíritus Sanctus super omnes qui audiébant verbum, et erant loquéntes linguis et magnificántes Deum.;Pierre disait encore ces mots, lorsque l'Esprit-Saint descendit sur tous ceux qui écoutaient la parole et ils parlaient en langues et glorifiaient Dieu ;Ac 10,44
ps4;ps122;;
ant5;Ascéndit Petrus in superióra domus, ut oráret circa horam sextam.;Pierre monta sur la terrasse vers la sixième heure, pour prier. ;Ac 10,9
ps5;ps123;;
ant6;Petrus et Ioánnes ascendébant in templum ad horam oratiónis nonam.;Pierre et Jean montaient au temple pour la prière de la neuvième heure;Ac 3,1
LB_3;LB_Act 15, 7b-9;;
RB_3;"V/. In omnem terram exívit sonus eórum.
R/. Et in fines orbis terræ verba eórum.";"V/. Toute la terre a retenti de leur voix.
R/. Et leur parole a résonné jusqu'aux extrémités du monde.";Ps 18,5
LB_6;LB_Gal 1, 15-16a. 17b-18a;;
RB_6;"V/. Custodiébant testimónia Dei.
R/. Et præcépta eius.";"V/. Ils ont gardé le témoignafe de Dieu
R/. Et ses préceptes.";
LB_9;LB_2 Cor 4, 13-14;;
RB_9;"V/. Gaudéte et exsultáte, dicit Dóminus.
R/. Quia nómina vestra scripta sunt in cælis.";"V/. Réjouissez-vous et exsultez, dit le Siegneur.
R/. Car vos noms sont inscrits dans les cieux.";
oratio_1V;Da nobis, quæsumus, Dómine Deus noster, beatórum apostolórum Petri et Pauli intercessiónibus sublevári, ut per quos Ecclésiæ tuæ supérni múneris rudiménta donásti, per eos subsídia perpétuæ salútis impéndas. Per Dóminum.;Donne-nous nous t'en prions, Seigneur notre Dieu, qu'à l'intercession des bienheureux Apôtres Pierre et Paul par qui ton Église a reçu les premiers bienfaits de ta grâce nous obtenions maintenant les secours nécessaires à notre salut.;
oratio;Deus, qui huius diéi venerándam sanctámque lætítiam in apostolórum Petri et Pauli sollemnitáte tribuísti, da Ecclésiæ tuæ eórum in ómnibus sequi præcéptum, per quos religiónis sumpsit exórdium. Per Dóminum.;Dieu, qui nous as donné ce jour de sainte joie pour célébrer solennellement les Apôtres Pierre et Paul, donne à ton Église de suivre tous leurs préceptes, puisqu’elle reçut par eux les prémices la foi.;
benedictus_A;"Dixit Simon Petrus: Dómine, ad quem íbimus? Verba vitæ ætérnæ habes; et nos credídimus et cognóvimus quia tu es Christus Fílius Dei, allelúia.";"Simon Pierre dit : Seigneur, à qui irions-nous ? Tu as les paroles de la vie éternelle; et nous croyons et savons que tu es le Messe, le Fils de Dieu, alléluia.";
benedictus_B;"Dixit Simon Petrus: Dómine, ad quem íbimus? Verba vitæ ætérnæ habes; et nos credídimus et cognóvimus quia tu es Christus Fílius Dei, allelúia.";"Simon Pierre dit : Seigneur, à qui irions-nous ? Tu as les paroles de la vie éternelle; et nous croyons et savons que tu es le Messe, le Fils de Dieu, alléluia.";
benedictus_C;"Dixit Simon Petrus: Dómine, ad quem íbimus? Verba vitæ ætérnæ habes; et nos credídimus et cognóvimus quia tu es Christus Fílius Dei, allelúia.";"Simon Pierre dit : Seigneur, à qui irions-nous ? Tu as les paroles de la vie éternelle; et nous croyons et savons que tu es le Messe, le Fils de Dieu, alléluia.";
magnificat;Petrus apóstolus et Paulus doctor géntium, ipsi nos docuérunt legem tuam, Dómine.;Pierre l'apôtre et Paul le docteur des peuples, ce sont eux qui nous ont enseigné ta loi, Seigneur.;
ant7;"Ego pro te rogávi, Petre, ut non defíciat fides tua; et tu, aliquándo convérsus, confírma fratres tuos.";"J'ai prié pour toi, Pierre, afin que ta foi ne défaille point; et toi, quand tu seras revenu, affermis tes frères. ";Lc 22,32
ps7;ps115;;
ant8;Libénter gloriábor in infirmitátibus meis, ut inhábitet in me virtus Christi.;Je préfère donc bien volontiers me glorifier de mes faiblesses, afin que la puissance du Christ habite en moi. ;2 Cor 12,9
ps8;ps125;;
ant9;"Tu es pastor óvium, princeps Apostolórum; tibi tráditæ sunt claves regni cælórum.";"Tu es le pasteur du troupeau, prince des Apôtres; à toi ont été transmises les clés du royaume des cieux.";
ps9;NT4;;
LB_matin;LB_1 Petr 4, 13-14;;
RB_matin;"R/. Tradidérunt ánimas suas * Pro nómine Dómini nostri Iesu Christi. Tradidérunt.
V/. Ibant gaudéntes, quóniam digni hábiti sunt contuméliam pati. * Pro nómine Dómini nostri Iesu Christi. Glória Patri. Tradidérunt.";"R/. Ils ont livré leur vie * Pour le nom de notre Seigneur Jésus-Christ. Ils ont livré.
V/. Ils partirent joyeux, parce qu'ils avaient été trouvés digne de souffir les opprobres. * Pour le nom de notre Seigneur Jésus-Christ. Gloire au Père. Ils ont livré.";
LB_soir;LB_1 Cor 15, 3-5. 8;;
RB_soir;"R/. Loquebántur Apóstoli verbum Dei * Cum fidúcia. Loquebántur.
V/. Et reddébant testimónium resurrectiónis Iesu Christi. * Cum fidúcia. Glória Patri. Loquebántur.";"R/. Les Apôtres ont  annoncé le verbe de Dieu * Avec confiance. Les Apôtres.
V/. Et ils ont rendu témoinage à la résurrection du Christ. * Avec Confiance. Gloire au Père. Les Apôtres.";
HYMNUS_vepres;hy_O Roma felix, quæ tantórum príncipum
