jour;Die 25 iulii;Le 25 juillet;
intitule;S. IACOBI, APOSTOLI;S. JACQUES, APOTRE;
rang;Festum;Fête;
ant_invit;Regem Apostolórum Dóminum, veníte, adorémus.;Roi des apôtres, le Seigneur, venez, adorons.;
HYMNUS_laudes;hy_Te nostra lætis láudibus;;
ant1;Procédens Iesus vidit Iacóbum Zebedæi et Ioánnem fratrem eius, et vocávit eos.;S'avançant plus loin, il vit Jacques, fils de Zébédée, et Jean son frère, et il les appela.;Mt 4,21
ps1;ps62;;
ant2;Illi autem statim, relíctis rétibus et patre, secúti sunt eum.;Eux, laissant à l'heure même leur barque et leur père, le suivirent. ;Mt 4,22
ps2;AT41;;
ant3;Cálicem quem ego bibo, bibétis, et baptísmo quo ego baptízor, baptizabímini.;Le calice que je vais boire, vous le boirez, et vous serez baptisés du baptême dont je vais être baptisé.;Mc 10,39
ps3;ps149;;
LB_matin;LB_Eph 2, 19-22;;
RB_matin;"R/. Constítues eos príncipes super omnem terram, * Allelúia, allelúia. Constítues.
V/. Mémores erunt nóminis tui, Dómine. * Allelúia, allelúia. Glória Patri. Constítues.";"R/. Tu en feras les princes de toute la terre.* Alléluia, alléluia. Tu en feras.
V/. Ils garderont le souvenir de ton nom, Seigneur * Alléluia, alléluia. Gloire au Père. Tu en feras.";
benedictus;Assúmpsit Iesus Petrum et Iacóbum et Ioánnem fratrem eius, et duxit eos in montem excélsum seórsum, et transfigurátus est ante eos.;Jésus prit avec lui Pierre, Jacques et Jean son frère, et les mena sur une haute montagne, et il fut transfiguré devant eux.;
preces_matin;preces_V;;
oratio;Omnípotens sempitérne Deus, qui Apostolórum tuórum primítias beáti Iacóbi sánguine dedicásti, da, quæsumus, Ecclésiæ tuæ ipsíus confessióne firmári, et iúgiter patrocíniis confovéri. Per Dóminum.;"Dieu éternel et tout puissant, toi qui as reçu en hommage le sang de saint Jacques, comme prémices de tes Apôtres; daigne confirmer ton Eglise par son témoignage et la garder constamment sous ta protection.";
ant4;Eúntes, prædicáte Evangélium regni: gratis accepístis, gratis date.;Allez, préchez le règne de l'Evangile : ce que vous avez reçu gratuitement, donnez-le gratuitement.;
LB_3;LB_2 Cor 5, 19 b-20;;
RB_3;"V/. In omnem terram exívit sonus eórum.
R/. Et in fines orbis terræ verba eórum.";"V/. Leur voix est allée vers toute la terre.
R/. Et leurs paroles jusqu'aux extrémités du monde.";
ant5;Ecce ego vobíscum sum ómnibus diébus, usque ad consummatiónem sæculi.;Voici que je suis avec vous tous les jours, jusqu'à la consommation des siècles.;
LB_6;LB_Act 5, 12 a. 14;;
RB_6;"V/. Custodiébant testimónia Dei.
R/. Et præcépta eius.";"V/. Ils ont gardé le témoignage de Dieu.
R/. Et ses préceptes.";
ant6;In patiéntia vestra possidébitis ánimas vestras.;Dans votre patience, vous prendrez possession de vos vies.;
LB_9;LB_Act 5, 41-42;;
RB_9;"V/. Gaudéte et exsultáte, dicit Dóminus. 
R/. Quia nómina vestra scripta sunt in cælis.";"V/. Réjouissez-vous et exsultez, dit le Seigneur.
R/. Car vos noms sont inscrits dans les cieux.";
HYMNUS_vepres;hy_Exsúltet cælum láudibus;;
ant7;Assúmpsit Iesus Petrum et Iacóbum et Ioánnem secum, et coepit pavére et tædére.;Jésus prit avec lui Pierre, Jacques et Jean, et il commença à sentir de la frayeur et de l'angoisse. ;Mc 14,33
ps7;ps115;;
ant8;Tunc ait illis: Vigiláte et oráte, ut non intrétis in tentatiónem.;Veillez et priez afin que vous n'entriez point en tentation.;Mc 14,38
ps8;ps125;;
ant9;Misit Heródes rex manus, ut afflígeret quosdam de Ecclésia. Occídit autem Iacóbum fratrem Ioánnis gládio.;Le roi Hérode fit arrêter quelques-uns des membres de l'Eglise pour les maltraiter. Il fit mourir par le glaive Jacques, le frère de Jean. ;Act 12,2
ps9;NT4;;
LB_soir;LB_Eph 4, 11-13;;
RB_soir;"R/. Annuntiáte inter gentes glóriam Dómini, * Allelúia, allelúia. Annuntiáte.
V/. In ómnibus pópulis mirabília eius. * Allelúia, allelúia. Glória Patri. Annuntiáte.";"R/. Annoncez parmi les Nations la gloire de Dieu, * Alléluia, alléluia. Annoncez.
V/. Parmi tous les peuples ses merveilles. *Alléluia, alléluia. Gloire au Père. Annoncez.";
magnificat;"Quicúmque volúerit fíeri maior, erit vester miníster; et quicúmque volúerit in vobis primus esse, erit ómnium servus.";"Celui qui, parmi vous, voudra devenir grand, se fera votre serviteur; et celui qui, parmi vous, voudra être premier, se fera esclave de tous. ";Mc 10,43
preces_soir;preces_VI;;
