jour;Die 8 augusti;Le 8 août
intitule;S. DOMINICI, PRESBYTERI;S. DOMINIQUE, PRETRE
rang;Memoria;Mémoire
ant_invit;Mirábilem Deum in sanctis suis, veníte adorémus.;Les merveilles de Dieu dans ses saints, venez adorons.
HYMNUS_laudes;hy_Novus athléta Dómini;
LB_matin;LB_Rom 12, 1-2;
RB_matin;"R/. Lex Dei eius * In corde ipsíus. Lex. 
V/. Et non supplantabúntur gressus eius. * In corde ipsíus. Glória Patri. Lex.
";"R/. La loi de son Dieu * est dans son cœur. La loi. 
V/. Et ses pas ne chancellent point. * dans son coeur. Gloire au Père. La loi.
"
benedictus;"Pars mea Dóminus; bonus est ánimæ quærénti illum.";
oratio;Adiuvet Ecclésiam tuam, Dómine, beátus Domínicus méritis et doctrínis, atque pro nobis efficiátur piíssimus intervéntor, qui tuæ veritátis éxstitit prædicátor exímius. Per Dóminum.;
HYMNUS_vepres;hy_Novus athléta Dómini;
LB_soir;LB_Rom 8, 28-30;
RB_soir;"R/. Iustus Dóminus, * Et iustítiam diléxit. Iustus. 
V/. Æquitátem vidit vultus eius. * Et iustítiam diléxit. Glória Patri. Iustus.";"R/. Le Seigneur est juste, *  et il aime la justice. Le Seigneur. 
V/. L'équité est vue sur son visage. * Et il aime la justice. Gloire au Père. Le Seigneur."
magnificat;Vos qui reliquístis ómnia et secúti estis me, céntuplum accipiétis et vitam ætérnam possidébitis.;
