jour;24-août;24-août
intitule;S. BARTHOLOMÆI, APOSTOLI;ST. BARTHOLOME, APÔTRE
rang;Festum;Fête
HYMNUS_laudes;;
ant1;;
ps1;;
ant2;;
ps2;;
ant3;;
ps3;;
LB_matin;;
RB_matin;;
benedictus;;
preces_matin;;
oratio;Robora in nobis, Domine, fidem, qua Fillo tuo beatus Bartholomæus apostolus sincero animo adhæsit, et præsta, ut, ipso deprecante, Ecclesia tua cunctis gentibus salutis fiat sacramentum. Per Dominum.;
LB_3;;
RB_3;;
LB_6;;
RB_6;;
LB_9;;
RB_9;;
HYMNUS_vepres;;
ant7;;
ps7;;
ant8;;
ps8;;
ant9;;
ps9;;
LB_soir;;
RB_soir;;
magnificat;;
preces_soir;;
