jour;Die 17 novembris;Le 17 novembre
intitule;S. ELISABETH HUNGARIÆ;S. ELISABETH DE HONGRIE
rang;Memoria;Mémoire
ant_invit;Mirábilem Deum in sanctis suis, veníte, adorémus.;Les merveilles de Dieu dans ses saints, venez, adorons.
HYMNUS_laudes;hy_Nóbilem Christi fámulam disérta;
LB_matin;LB_Rom 12, 1-2;
RB_matin;"R/. Adiuvábit eam * Deus vultu suo. Adiuvábit.
V/. Deus in médio eius, non commovébitur. * Deus vultu suo. Glória Patri. Adiuvábit.";"R/. Elle est venue à son secours * la face de Dieu. Elle est venue.
V/. Dieu avec elle, elle ne sera pas ébranlée. * la face de Dieu. Gloire au Père. Elle est venue."
benedictus;In hoc cognóscent omnes quia mei estis discípuli, si dilectiónem habuéritis ad ínvicem.;En cela vous serez tous reconnus comme mes disciples, si vous avez le l'amour les uns pour les autres.
preces_matin;preces_V;
oratio;Deus, qui beátæ Elísabeth tribuísti in paupéribus Christum cognóscere ac venerári, da nobis, eius intercessióne, egénis et tribulátis iugi caritáte servíre. Per Dóminum.;Dieu, tu as donné à la bienheureuse Elisabeth de reconnaître et de vénérer le Christ dans les pauvres, accorde-nous, par son intercession, de servir avec une inépuisable charité ceux qui sont dans le besoin et l'affliction.
HYMNUS_vepres;hy_Fortem viríli péctore;
LB_soir;LB_Rom 8, 28-30;
RB_soir;"R/. Elégit eam Deus, * Et præelégit eam. Elégit.
V/. In tabernáculo suo habitáre facit eam. * Et præelégit eam. Glória Patri. Elégit.";"R/. Le Seigneur l'a choisie * et a mis en elle sa préférence. Le Seigneur.
V/. Il l'a fait habiter sous sa tente. * Et a mis en elle sa préférence. Gloire au Père. Le Seigneur."
magnificat;Amen dico vobis: Quod uni ex his mínimis meis fecístis, mihi fecístis. Veníte, benedícti Patris mei, possidéte parátum vobis regnum ab inítio mundi.;En vérité je vous le dis : tout ce que vous faites au plus petit des miens, c'est à moi que vous le faites. Venez, les bénis de mon Père, entrez en possession de ce que je vous ai préparé dès le commencement du monde.
preces_soir;preces_VI;
