ant_invit;Regem Apostolórum Dóminum, veníte, adorémus.;Roi des apôtres, le Seigneur, venez,adorons.
jour;Die 30 novembris;Le 30 novembre
intitule;S. Andreae, apostoli;"S. Andr&eacute ;"
rang;Festum;"F&ecirc;te"
HYMNUS_laudes;hy_Captátor olim píscium;
ant1;Unus ex duóbus, qui secúti sunt Dóminum, erat Andréas, frater Simónis Petri;Un des douze, qui suivaient le Seigneur, était André, le frère de Simon Pierre.
ps1;ps62;
ant2;Diléxit Dóminus Andréam in odórem suavitátis;Le Seigneur aimait André d'une agréable odeur
ps2;AT41;
ant3;"Dixit Andréas Simóni fratri suo: Invénimus Messíam; et addúxit eum ad Iesum";"André dit à Simon son frère : voici le Messie ;et il suivit Jésus"
ps3;ps149;
LB_matin;LB_Eph 2, 19-22;
RB_matin;R/. Constítues eos príncipes * Super omnem terram.Constítues. V/. Mémores erunt nóminis tui, Dómine. * Superomnem terram. Glória Patri. Constítues.;R/. Tu en feras les princes * de toute la terre. Tu enferas. V/. Ils garderont le souvenir de ton nom, Seigneur * detoute la terre. Gloire au Père. Tu en feras.
benedictus;Salve, crux pretiósa, súscipediscípulum eius, qui pepéndit in te, magíster meusChristus.;Salut, croix précieuse, acceuilleson disciple, qui a été suspendu sur toi, mon maître leChrist.
oratio;Maiestátem tuam, Dómine, supplíciter exorámus, ut,sicut Ecclésiæ tuæ beátus Andréas apóstolus éxstititprædicátor et rector, ita apud te sit pro nobis perpétuusintercéssor. Per Dóminum;Nous supplions instamment ta majesté, Seigneur : quel'apôtre saint André, après avoir instruit et guidé tonEglise, ne cesse d'intercéder pour nous auprès de toi.
ant4;;
ant5;;
ant6;;
LB_3;LB_2 Cor 5, 19 b-20;
RB_3;V/. In omnem terram exívit sonus eórum.R/. Et in fines orbis terræ verba eórum.;V/. Leur voix est allée vers toute la terre.R/. Et leurs paroles jusqu'aux extrémités du monde.
LB_6;LB_Act 5, 12 a. 14;
RB_6;V/. Custodiébant testimónia Dei.R/. Et præcépta eius.;V/. Ils ont gardé le témoignage de Dieu.R/. Et ses préceptes.
LB_9;LB_Act 5, 41-42;
RB_9;V/. Gaudéte et exsultáte, dicit Dóminus.R/. Quia nómina vestra scripta sunt in cælis.;V/. Réjouissez-vous et exsultez, dit le Seigneur.R/. Car vos noms sont inscrits dans les cieux.
HYMNUS_vepres;hy_Exsúltet cælum láudibus;
ant7;Vidit Dóminus Petrum et Andréam, et vocáviteos.;Le Seigneur vit Pierre et André, et les appela.
ps7;ps115;
ant8;Veníte post me, dicit Dóminus: fáciam vos fíeripiscatóres hóminum.;Venez à moi, dit le Seigneur : je ferez de vousdes pêcheurs d'hommes.
ps8;ps125;
ant9;Relíctis rétibus suis, secúti sunt Dóminumredemptórem.;Lâchant leurs filets, ils suivirent ke Seigneurrédempteur.
ps9;NT4;
LB_soir;LB_Eph 4, 11-13;
RB_soir;R/. Annuntiáte inter gentes glóriam Dómini, * Allelúia,allelúia. Annuntiáte. V/. In ómnibus pópulis mirabília eius. * Allelúia,allelúia. Glória Patri. Annuntiáte.;R/. Annoncez parmi les Nations la gloire de Dieu, * Alléluia, alléluia. Annoncez. V/. Parmi tous les peuples ses merveilles. *Alléluia,alléluia. Gloire au Père. Annoncez.
magnificat;Andréas, Christi fámulus, dignusDei apóstolus, germánus Petri et in passióne sócius.;André, fidèle du Christ, digneapôtre de Dieu, frère de Pierre et associ& à la passion.
