jour;Die 14 Decembris;Le 14 décembre
intitule;S. Ioannis a Cruce, presbyteri et Ecclesiae doctoris;St. Jean de la Croix, Prêtre et docteur de l'Eglise
rang;Memoria;Mémoire
HYMNUS_laudes;hy_Doctor ætérnus cóleris piúsque;
LB_matin;LB_Sap 7, 13-14;
RB_matin;"R/. Sapiéntiam sanctórum * Narrent pópuli. Sapiéntiam.
V/. Et laudes eórum núntiet Ecclésia. * Narrent pópuli. Glória Patri. Sapiéntiam. ";"R/. La sagesse des saints * est narrée par le peuple. La Sagesse.
V/. Et leurs louanges sont annoncées dans l'Eglise. * Par le peuple. Gloire au Père. La sagesse."
benedictus;Qui docti fúerint, fulgébunt quasi splendor firmaménti, et qui ad iustítiam erúdiunt multos, quasi stellæ in perpétuas æternitátes.;Ceux qui furent doctes, brillent comme la splendeur du firmament, et ceux qui enseignèrent la justice à la multitude, sont comme des étoiles dans l'éternité perpétuelle.
preces_matin;;
oratio;Deus, qui sanctum Ioánnem presbýterum perféctæ sui abnegatiónis et crucis amatórem exímium effecísti, concéde ut, eius imitatióni iúgiter inhæréntes, ad contemplatiónem glóriæ tuæ perveniámus ætérnam. Per Dóminum.;"O Dieu, qui as fait du prêtre saint Jean un amoureux extraordinaire de la croix et du parfait renoncement à soi-même ; donne-nous, en nous appliquant constamment à son imitation, de parvenir ainsi à la contemplation éternelle de ta gloire."
HYMNUS_vepres;hy_Ætérne sol, qui lúmine;
LB_soir;LB_Iac 3, 17-18;
RB_soir;"R/. In médio Ecclésiæ * Apéruit os eius. In médio.
V/. Et implévit eum Dóminus spíritu sapiéntiæ et intelléctus. * Apéruit os eius. Glória Patri. In médio.";"R/. Au milieu de l'Eglise * il leur a ouvert la bouche. Au milieu.
V/. Et le Seigneur les a rempli de l'Esprit de sagesse et d'intelligence. * il leur a ouvert la bouche. Gloire auPère. Au milieu."
magnificat;O doctor óptime, Ecclésiæ sanctæ lumen, beáte Ioanne, divínæ legis amátor, deprecáre pro nobis Fílium Dei.;O docteur admirable, lumière de la sainte Eglise, bienheureux Jean, amant de la loi divine, prie pour nous le Fils de Dieu.
preces_soir;;
