LB_matin;LB_Is 11, 1-3a;
RB_matin;"R/. Super te, Ierúsalem, * Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus.Glória Patri. Super te. ";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi. * se lève leSeigneur. Gloire au Père. Sur toi. "
benedictus;"Scitóte quia prope est regnum Dei; amen dico vobis quia non tardábit.";Sachez que le Royaume de Dieu est proche. En vérité, je vous le dis : il ne tardera plus !
oratio;Deus, humánæ cónditor et redémptor natúræ, qui Verbum tuum in útero perpétuæ virginitátis carnem assúmere voluísti, réspice propítius ad preces nostras, ut Unigénitus tuus, nostra humanitáte suscépta, nos divíno suo consórtio sociáre dignétur. Per Dóminum.;"Dieu, Créateur et Rédempteur des hommes, tu as voulu que ton Verbe éternel prenne chair dans le sein de la vierge ; sois favorable à notre prière : que ton Fils unique qui s'est fait l'un de nous, nous donne part à sa vie divinne."
preces_matin;preces_III;
LB_3;LB_Is 4, 2;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
LB_6;LB_Is 4, 3;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour ton peuple,
R/. Visite-nous avec ton secours."
LB_9;LB_Is 61, 11;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
LB_soir;LB_1 Th 5, 23-24;
RB_soir;"R/. Veni ad liberándum nos,* Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus.* Dómine Deus virtútum. Glória Patri. Veni. ";"R/. Viens nous libérer,* Seigneur, Dieu de force. Viens.
V/. Montre-nous ta face, et nous serons sauvés. * Seigneur, Dieu de force. Gloire au Père. Viens. "
magnificat;O Sapiéntia, quæ ex ore Altíssimi prodísti, attíngens a fine usque ad finem, fórtiter suavitérque dispónens ómnia: veni ad docéndum nos viam prudéntiæ.;Ô Sagesse, toi qui est sortie de la bouche du Très-Haut, tu déploies ta vigueur d'un bout du monde à l'autre et gouvernes l'univers avec douceur : viens, fais-nous connaître la voie de l'intelligence !
preces_soir;preces_IV;
