LB_matin;LB_Is 2, 3;
RB_matin;"R/. Super te, Ierúsalem, * Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus.Glória Patri. Super te. ";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi. * se lève le Seigneur. Gloire au Père. Sur toi. "
benedictus;Oriétur sicut sol Salvátor mundi, et descéndet in úterum Vírginis sicut imber super gramen, allelúia. ;Il se lèvera comme le soleil, le Sauveur du monde, et il descendra dans le sein de la Vierge, comme l'ondée sur l'herbe verte. Alléluia.
oratio;Deus, qui splendórem glóriæ tuæ per sacræ Vírginis partum mundo dignátus es reveláre, tríbue, quæsumus, ut tantæ incarnatiónis mystérium et fídei integritáte colámus, et devóto semper obséquio frequentémus. Per Dóminum.;"Dieu, qui as révélé au monde la splendeur de ta gloire par le signe merveilleux de la Vierge qui enfante ; accorde-nous, nous t'en prions, de célébrer le mystère de l'Incarnation avec une foi sans défaut et dans l'obéissance du cœur."
preces_matin;preces_VII;
LB_3;LB_Cf. Is 10, 20-21;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
LB_6;LB_Cf. Is 10, 24. 27;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour ton peuple,
R/. Visite-nous avec ton secours."
LB_9;LB_Cf. Is 13, 22 - 14, 1;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
LB_soir;LB_Phil 3, 20b-21;
RB_soir;"R/. Veni ad liberándum nos,* Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus.* Dómine Deus virtútum. Glória Patri. Veni. ";"R/. Viens nous libérer,* Seigneur, Dieu de force. Viens.
V/. Montre-nous ta face, et nous serons sauvés. * Seigneur, Dieu de force. Gloire au Père. Viens. "
magnificat;O radix Iesse, qui stas in signum populórum, super quem continébunt reges os suum, quem gentes deprecabúntur: veni ad liberándum nos, iam noli tardáre. ;"O rejeton de Jessé, qui êtes comme un étendard pour les peuples ; devant qui les rois se tiendront dans le silence ; à qui les nations offriront leurs prières : venez nous délivrer ; ne tardez plus. "
preces_soir;preces_VIII;
