LB_matin;LB_Gen 49, 10;
RB_matin;"R/. Super te, Ierúsalem, * Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus.Glória Patri. Super te. ";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi. * se lève le Seigneur. Gloire au Père. Sur toi. "
benedictus;Missus est Gábriel ángelus ad Maríam Vírginem desponsátam Ioseph.;L'ange Gabriel fut envoyé à la Vierge Marie, accordée en mariage à Joseph
oratio;Deus, cuius ineffábile Verbum, Angelo nuntiánte, Virgo immaculáta suscépit, et, domus divinitátis effécta, Sancti Spíritus luce replétur, quæsumus, ut nos, eius exémplo, voluntáti tuæ humíliter adhærére valeámus. Per Dóminum.;"Tu as voulu, Seigneur, qu'à l'annonce de l'Ange la Vierge accueille ton Verbe éternel, qu'elle soit remplie de la lumière de l'Esprit Saint et devienne le temple du Très-Haut ; aide-nous à devenir assez humbles pour faire comme elle ta volonté."
preces_matin;preces_IX;
LB_3;LB_Ier 23, 5;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
LB_6;LB_Ier 23, 6;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour ton peuple,
R/. Visite-nous avec ton secours."
LB_9;LB_Cf. Ez 34, 15-16;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
LB_soir;LB_Cf. 1 Cor 1, 7b-9;
RB_soir;"R/. Veni ad liberándum nos,* Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus.* Dómine Deus virtútum. Glória Patri. Veni. ";"R/. Viens nous libérer,* Seigneur, Dieu de force. Viens.
V/. Montre-nous ta face, et nous serons sauvés. * Seigneur, Dieu de force. Gloire au Père. Viens. "
magnificat;"O clavis David, et sceptrum domus Israel; qui áperis, et nemo claudit; claudis, et nemo áperit: veni et educ vinctum de domo cárceris, sedéntem in ténebris et umbra mortis.";"O clef de David, et sceptre de la maison d'Israël : vous ouvrez, et personne ne ferme ; vous fermez, et personne n'ouvre : venez, et tirez de la prison qu'il habite le captif qui croupit dans les ténèbres et dans l'ombre de la mort."
preces_soir;preces_X;
