intitule;S. Stephani, protomartyris;St Etienne, protomartyr
rang;Festum;Fête
HYMNUS_laudes;hy_Christus est vita véniens in orbem,;
ant1;Adhæsit ánima mea post te, quia caro mea lapidáta est pro te, Deus meus.;Mon âme adhérait à toi, car c'est pour toi que ma chair était lapidée, mon Dieu.
ps1;ps62;
ant2;Stéphanus vidit cælos apértos, vidit et introívit: beátus homo, cui cæli patébant.;Etienne vit les cieux ouverts, il vit, il entra : heureux homme, devant qui s'ouvraient les cieux.
ps2;AT41;
ant3;Ecce vídeo cælos apértos, et Iesum stantem a dextris virtútis Dei.;Je vois les cieux ouverts et Jésus debout à la droite de Dieu.
ps3;ps149;
LB_matin;LB_Act 6, 2b-5a;
RB_matin;"R/. Fortitúdo mea * Et laus mea Dóminus. Fortitúdo.
V/. Et factus est mihi in salútem. * Et laus mea Dóminus. Glória Patri. Fortitúdo.";"R/. Ma force * et mon chant, c'est le Seigneur. Ma force.
V/. Il s'est fait pour moi le salut * et mon chant, c'est le Seigneur. Gloire au Père. Ma force. "
benedictus;Patefáctæ sunt iánuæ cæli beáto Stéphano, qui in número mártyrum primus est coronátus.;Les portes du ciel se sont ouvertes pour le bienheureux Etienne, le premier à être couronné parmi le nombre des martyrs.
oratio;Da nobis, quæsumus, Dómine, imitári quod cólimus, ut discámus et inimícos dilígere, quia eius natalícia celebrámus, qui novit étiam pro persecutóribus exoráre. Per Dóminum.;Donne-nous, nous t'en prions, Seigneur, d'imiter ce que nous célébrons, au point d'apprendre à aimer aussi nos ennemis, car nous célébrons la naissance au ciel de celui qui sut prier même pour ses persécuteurs.
preces_matin;preces_III;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Erant Ioseph et María, mater Iesu, mirántes super iis, quæ dicebántur de illo.;Joseph et Marie s'émerveillaient de ce que l'on disait de lui.
ant5;María autem conservábat ómnia verba hæc, cónferens in corde suo.;"Marie quant à elle conservait toutes ces paroles, les méditant dans son c&oelig;ur."
ant6;Vidérunt óculi mei salutáre tuum, quod parásti ante fáciem ómnium populórum.;Car mes yeux ont vu le salut, que vous avez préparé à la face de tous les peuples.
LB_3;LB_1 Petr 5, 10-11;
RB_3;"V/. Stola iucunditátis índuit eum Dóminus.
R/. Et corónam pulchritúdinis pósuit super caput eius.";"V/. Le Seigneur l'a revêtu d'une robe d'allégresse.
R/. Il a posé sur sa tête une couronne de beauté."
LB_6;LB_Iac 1, 12;
RB_6;"V/. In Deo sperávi.
R/. Non timébo quid fáciat mihi homo.";"V/. En Dieu, j'espère.
R/. Je ne crains pas ce que me ferait l'homme."
LB_9;LB_Sap 3, 1-2a. 3B;
RB_9;"V/. Veniéntes vénient cum exsultatióne.
R/. Portántes manípulos suos.";"V/. Ils viennent, ils viennent dans la joie.
R/. Ils rapportent les gerbes."
HYMNUS_vepres;hy_Christe, redémptor ómnium,;
ant7;Tecum princípium in die virtútis tuæ, in splendóribus sanctórum, ex útero ante lucíferum génui te.;Avec toi la souveraineté, au jour de ta puissance, dans les splendeurs des Saints, de mon sein, avant l'aurore, je t'ai engendré.
ps8;ps109;
ant8;Apud Dóminum misericórdia, et copiósa apud eum redémptio.;Auprès du Seigneur est la miséricorde : et abondante auprès de lui la rédemption.
ps8;ps129;
ant9;In princípio et ante sæcula Deus erat Verbum: ipse natus est hódie Salvátor mundi.;Au commencement, et avant les siècles le Verbe était Dieu : c'est lui qui nous est né comme Sauveur du monde.
ps9;NT6;
LB_soir;LB_1 Io 1, 5b. 7;
RB_soir;"R/. Verbum caro factum est, * Allelúia, allelúia. Verbum.
V/. Et habitávit in nobis. * Allelúia, allelúia. Glória Patri. Verbum.";"R/. Le Verbe s'est fait chair, * Alléluia, alléluia. Le Verbe.
V/. Et il a habité parmi nous. * Alléluia, alléluia. Gloire au Père. Le Verbe. "
magnificat;Dum médium siléntium tenérent ómnia, et nox in suo cursu médium iter perágeret, omnípotens Sermo tuus, Dómine, a regálibus sédibus venit, allelúia.;"Un silence enveloppait toutechose, la nuit en était au milieu de son cours; alors, ôSeigneur, ta Parole puissante s'élança du trône royal,alléluia."
preces_soir;preces_IV;
oratio_soir;Concéde, quæsumus, omnípotens Deus, ut nos Unigéniti tui nova per carnem natívitas líberet, quos sub peccáti iugo vetústa sérvitus tenet. Per Dóminum.;Nous t'en prions, Dieu tout-puissant, alors que le péché nous retient encore sous sa loi, donne-nous la délivrance par la prodigieuse et nouvelle naissance en notre chair de ton Fils unique, Jésus-Christ.
