intitule;DE DIE 3 IANUARII;LE 3 JANVIER
HYMNUS_laudes;hy_A solis ortus cárdine;
LB_matin;LB_Is 62, 11-12a;
RB_matin;"R/. Notum fecit Dóminus, * Allelúia, allelúia. Notum.
V/. Salutáre suum, * Allelúia, allelúia. Glória Patri. Notum.";"R/. Le Seigneur a fait connaître * Alléluia, alléluia. 
V/. Son Salut. * Alléluia, alléluia. Gloire au Père. Alléluia, alléluia."
benedictus;"Verbum caro factum est, et habitávit in nobis, plenum grátiæ et veritátis; de cuius plenitúdine omnes nos accépimus, et grátiam pro grátia, allelúia. ";Et le Verbe s'est fait chair, et il a habité parmi nous, tout plein de grâce et de vérité, et c'est de sa plénitude, que nous avons tous reçu, et grâce sur grâce. Alléluia.
oratio;Deus, qui, per beátum sacræ Vírginis partum, Fílii tui carnem humánis fecísti præiudíciis non tenéri, præsta, quæsumus, ut, huius creatúræ novitáte suscépti, vetustátis antíquæ contágiis exuámur. Per Dóminum.;Dieu, qui, par la naissance la bienheureuse Vierge bénie, as voulu que ton Fils ne soit pas soumis à la condamnation de la chair humaine, accorde-nous, nous t'en prions, déchapper à l'engrenage du péché, puisque le Christ nous donne part à la nouvelle création. 
preces_matin;preces_V;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
ant4;Erant Ioseph et María, mater Iesu, mirántes super iis, quæ dicebántur de illo.;Joseph et Marie s'émerveillaient de ce que l'on disait de lui.
LB_3;LB_Is 2, 3b-4;
RB_3;"V/. Recordátus est Dóminus misericórdiæ suæ, allelúia.
R/. Et veritátis suæ dómui Israel, allelúia.";"V/. Le Seigneur s'est rappelé son amour, alléluia. 
R/. Sa fidélité en faveur d'Israël, alléluia."
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
ant5;María autem conservábat ómnia verba hæc, cónferens in corde suo.;"Marie quant à elle conservait toutes ces paroles, les méditant dans son c&oelig;ur."
LB_6;LB_Is 9, 1;
RB_6;"V/. Vidérunt omnes fines terræ, allelúia.
R/. Salutáre Dei nostri, allelúia.";"V/. Tous les confins de la terre ont vu, alléluia. 
R/. Le salut de notre Dieu, alléluia."
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant6;Vidérunt óculi mei salutáre tuum, quod parásti ante fáciem ómnium populórum.;Car mes yeux ont vu le salut, que vous avez préparé à la face de tous les peuples.
LB_9;LB_Is 60, 4a-5;
RB_9;"V/. Misericórdia et véritas obviavérunt sibi, allelúia.
R/. Iustítia et pax osculátæ sunt, allelúia.";"V/. Amour et vérité se rencontrent, alléluia.
R/. Justice et pax s'embrassent, alléluia."
HYMNUS_vepres;hy_Christe, redémptor ómnium,;
LB_soir;LB_1 Io 1, 5b. 7;
RB_soir;"R/. Verbum caro factum est, * Allelúia, allelúia. Verbum.
V/. Et habitávit in nobis. * Allelúia, allelúia. Glória Patri. Verbum.";"R/. Le Verbe s'est fait chair * Alléluia, alléluia. 
V/. Et il a habité parmi nous. * Alléluia, alléluia. Gloire au Père. Le Verbe. "
magnificat;Exsultémus in Dómino, spiritáli iucunditáte lætémur, quia salus ætérna in mundo appáruit, allelúia. ;Exultons de joie dans le Seigneur, réjouissons-nous d'une joie spirituelle, car le salut éternel est apparu dans le monde, Alléluia.
preces_soir;preces_VI;
