intitule;DE DIE 7 IANUARII;Le 7 Janvier
HYMNUS_laudes;hy_A solis ortus cárdine;
LB_matin;LB_Is 9, 5;
RB_matin;"R/. Notum fecit Dóminus, * Allelúia, allelúia. Notum.
V/. Salutáre suum, * Allelúia, allelúia. Glória Patri. Notum.";"R/. Le Seigneur a fait connaître * Alléluia, alléluia. 
V/. Son Salut. * Alléluia, alléluia. Gloire au Père. Alléluia, alléluia."
benedictus;Ecce de quo scriptum est: Christus natus est in Israel, et regni eius non erit finis. ;Voici ce qui est écrit de lui : le Christ est né en Israël, et son règne n'aura pas de fin.
oratio;Omnípotens sempitérne Deus, qui per advéntum unigéniti Fílii tui nova luce radiáre dignátus es, concéde nobis, ut, sicut eum per Vírginis partum in forma nostri córporis merúimus habére partícipem, ita et in eius regno grátiæ mereámur esse consórtes. Per Dóminum.;
preces_matin;preces_XIII;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
ant4;Erant Ioseph et María, mater Iesu, mirántes super iis, quæ dicebántur de illo.;Joseph et Marie s'émerveillaient de ce que l'on disait de lui.
LB_3;LB_Deut 4, 7;
RB_3;"V/. Recordátus est Dóminus misericórdiæ suæ, allelúia.
R/. Et veritátis suæ dómui Israel, allelúia.";"V/. Le Seigneur s'est rappelé son amour, alléluia. 
R/. Sa fidélité en faveur d'Israël, alléluia."
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
ant5;María autem conservábat ómnia verba hæc, cónferens in corde suo.;"Marie quant à elle conservait toutes ces paroles, les méditant dans son c&oelig;ur."
LB_6;LB_Is 12, 5-6;
RB_6;"V/. Vidérunt omnes fines terræ, allelúia.
R/. Salutáre Dei nostri, allelúia.";"V/. Tous les confins de la terre ont vu, alléluia. 
R/. Le salut de notre Dieu, alléluia."
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant6;Vidérunt óculi mei salutáre tuum, quod parásti ante fáciem ómnium populórum.;Car mes yeux ont vu le salut, que vous avez préparé à la face de tous les peuples.
LB_9;LB_Cf. Tob 14, 6-7;
RB_9;"V/. Misericórdia et véritas obviavérunt sibi, allelúia.
R/. Iustítia et pax osculátæ sunt, allelúia.";"V/. Amour et vérité se rencontrent, alléluia.
R/. Justice et pax s'embrassent, alléluia."
