jour;Die 31 decembris;Le 31 Décembre
intitule;DE DIE VII INFRA OCTAVAM NATIVITATIS;7e JOUR DANS L'OCTAVE DE LA NATIVITE
ant_invit;Christus natus est nobis: veníte, adorémus;Le Christ est né pour nous, venez, adorons-le.
HYMNUS_laudes;hy_A solis ortus cárdine;
ant1;"Quem vidístis? pastóres, dícite; annuntiáte nobis: In terris quis appáruit? Natum vídimus et choros angelórum collaudántes Dóminum, allelúia.";"Qu'avez-vous vu, bergers ? Dites-nous. Apprenez-le nous : qui donc est apparu sur terre ? Nous avons vu un nouveau-né, entouré du ch&oelig;r des anges : c'est le Seigneur qui nous sauve, Alléluia, alléluia."
ps1;ps62;
ant2;Angelus ad pastóres ait: Annúntio vobis gáudium magnum, quia natus est vobis hódie Salvátor mundi, allelúia.;L'Ange dit aux bergers : je vous annonce une grande joie car aujourd'hui vous est né le sauveur du monde, Alléluia.
ps2;AT41;
ant3;Párvulus fílius hódie natus est nobis, et vocábitur Deus fortis, allelúia.;Le Fils est né aujourd'hui pour nous petit enfant, et on l'appellera Dieu fort.
ps3;ps149;
LB_matin;LB_Is 4, 2-3;
RB_matin;"R/. Notum fecit Dóminus, * Allelúia, allelúia. Notum.
V/. Salutáre suum, * Allelúia, allelúia. Glória Patri. Notum.";"R/. Le Seigneur a fait connaître * Alléluia, alléluia. 
V/. Son Salut. * Alléluia, alléluia. Gloire au Père. Alléluia, alléluia."
benedictus;Facta est cum Angelo multitúdo cæléstis exércitus laudántium Deum et dicéntium: Glória in excélsis Deo, et in terra pax homínibus bonæ voluntátis, allelúia.;Il se joignit à l'Ange une multitude de l'armée céleste, louant, et disant : Gloire à Dieu au plus haut des cieux, et, sur la terre, paix aux hommes de bonne volonté.
preces_matin;preces_XI;
oratio;Omnípotens sempitérne Deus, qui in Fílii tui nativitáte tribuísti totíus religiónis inítium perfectionémque constáre, da nobis, quæsumus, in eius portióne censéri, in quo totíus salútis humánæ summa consístit. Per Dóminum.;"Dieu éternel et tout-puissant, tu as voulu que tout effort de l'homme vers toi trouve son origine et son achèvement dans l'incarnation de ton Fils ; accorde-nous d'être comptés dans la part du Christ qui résume en lui le salut du genre humain."
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Erant Ioseph et María, mater Iesu, mirántes super iis, quæ dicebántur de illo.;Joseph et Marie s'émerveillaient de ce que l'on disait de lui.
ant5;María autem conservábat ómnia verba hæc, cónferens in corde suo.;Marie quant à elle conservait toutes ces paroles, les méditant dans son c?ur.
ant6;Vidérunt óculi mei salutáre tuum, quod parásti ante fáciem ómnium populórum.;Car mes yeux ont vu le salut, que vous avez préparé à la face de tous les peuples.
LB_3;LB_Is 45, 13;
RB_3;"V/. Recordátus est Dóminus misericórdiæ suæ, allelúia.
R/. Et veritátis suæ dómui Israel, allelúia.";"V/. Le Seigneur s'est rappelé son amour, alléluia. 
R/. Sa fidélité en faveur d'Israël, alléluia."
LB_6;LB_Is 48, 20;
RB_6;"V/. Vidérunt omnes fines terræ, allelúia.
R/. Salutáre Dei nostri, allelúia.";"V/. Tous les confins de la terre ont vu, alléluia. 
R/. Le salut de notre Dieu, alléluia."
LB_9;LB_Is 65, 1;
RB_9;"V/. Misericórdia et véritas obviavérunt sibi, allelúia.
R/. Iustítia et pax osculátæ sunt, allelúia.";"V/. Amour et vérité se rencontrent, alléluia.
R/. Justice et pax s'embrassent, alléluia."
HYMNUS_vepres;hy_Corde natus ex Paréntis;
ant7;"O admirábile commércium! Creátor géneris humáni, animátum corpus sumens, de Vírgine nasci dignátus est; et, procédens homo sine sémine, largítus est nobis suam deitátem.";
ps8;ps112;
ant8;Quando natus es ineffabíliter ex Vírgine, tunc implétæ sunt Scriptúræ: sicut plúvia in vellus descendísti, ut salvum fáceres genus humánum. Te laudámus, Deus noster.;
ps8;ps147;
ant9;Rubum, quem víderat Móyses incombústum, conservátam agnóvimus tuam laudábilem virginitátem. Dei Génetrix, intercéde pro nobis.;
ps9;NT4;
LB_soir;LB_Gal 4, 4-5;
RB_soir;"R/. Verbum caro factum est, * Allelúia, allelúia. Verbum.
V/. Et habitávit in nobis. * Allelúia, allelúia. Glória Patri. Verbum.";"R/. Le Verbe s'est fait chair * Alléluia, alléluia. 
V/. Et il a habité parmi nous. * Alléluia, alléluia. Gloire au Père. Le Verbe. "
magnificat;Propter nímiam caritátem suam, qua diléxit nos Deus, Fílium suum misit in similitúdinem carnis peccáti: natum ex mulíere, factum sub lege, allelúia.;
preces_soir;preces_XII;
oratio_soir;Deus, qui salútis ætérnæ, beátæ Maríæ virginitáte fecúnda, humáno géneri præmia præstitísti, tríbue, quæsumus, ut ipsam pro nobis intercédere sentiámus, per quam merúimus Fílium tuum auctórem vitæ suscípere. Qui tecum vivit.;
