intitule;DOMINICA RESURRECTIONIS;DIMANCHE DE LA RESURECTION;
pmagnificat_A;Et valde mane, una sabbatórum, véniunt ad monuméntum, orto iam sole, allelúia.;Et, le premier jour de la semaine, de grand matin, elles vinrent au sépulcre, le soleil venant de se lever, alléluia.;Marc XVI 2
pmagnificat_B;Et valde mane, una sabbatórum, véniunt ad monuméntum, orto iam sole, allelúia.;Et, le premier jour de la semaine, de grand matin, elles vinrent au sépulcre, le soleil venant de se lever, alléluia.;Marc XVI 2
pmagnificat_C;Et valde mane, una sabbatórum, véniunt ad monuméntum, orto iam sole, allelúia.;Et, le premier jour de la semaine, de grand matin, elles vinrent au sépulcre, le soleil venant de se lever, alléluia.;Marc XVI 2
oratio;Deus, qui hodiérna die, per Unigénitum tuum, æternitátis nobis áditum, devícta morte, reserásti, da nobis, quæsumus, ut, qui resurrectiónis domínicæ sollémnia cólimus, per innovatiónem tui Spíritus in lúmine vitæ resurgámus. Per Dóminum.;Ô Dieu, qui aujourd’hui par ton Fils Unique nous as ouvert l’accès à l’éternité, par la victoire sur la mort, fais, nous t’en prions, que nous qui honorons les fêtes du dimanche de la résurrection, nous nous relevions, renouvelés par ton Esprit, dans la lumière de la vie.;
benedictus_A;Et valde mane, una sabbatórum, véniunt ad monuméntum, orto iam sole, allelúia.;Et, le premier jour de la semaine, de grand matin, elles vinrent au sépulcre, le soleil venant de se lever. Alléluia;Marc XVI 2
benedictus_B;Et valde mane, una sabbatórum, véniunt ad monuméntum, orto iam sole, allelúia.;Et, le premier jour de la semaine, de grand matin, elles vinrent au sépulcre, le soleil venant de se lever. Alléluia;Marc XVI 2
benedictus_C;Et valde mane, una sabbatórum, véniunt ad monuméntum, orto iam sole, allelúia.;Et, le premier jour de la semaine, de grand matin, elles vinrent au sépulcre, le soleil venant de se lever, alléluia;Marc XVI 2
magnificat_A;Cum esset sero die illo una sabbatórum, et fores essent clausæ ubi erant discípuli congregáti, stetit Iesus in médio et dixit eis: Pax vobis, allelúia.;"Le soir de ce même jour, le premier de la semaine, les portes du lieu où se trouvaient les disciples étant  fermées,  Jésus vint, et se présentant au milieu d'eux, il leur dit: ""Paix  avec vous!"", alléluia.";Jn XX 19
magnificat_B;Cum esset sero die illo una sabbatórum, et fores essent clausæ ubi erant discípuli congregáti, stetit Iesus in médio et dixit eis: Pax vobis, allelúia.;"Le soir de ce même jour, le premier de la semaine, les portes du lieu où se trouvaient les disciples étant  fermées,  Jésus vint, et se présentant au milieu d'eux, il leur dit: ""Paix  avec vous!"", alléluia.";Jn XX 19
magnificat_C;Cum esset sero die illo una sabbatórum, et fores essent clausæ ubi erant discípuli congregáti, stetit Iesus in médio et dixit eis: Pax vobis, allelúia.;"Le soir de ce même jour, le premier de la semaine, les portes du lieu où se trouvaient les disciples étant  fermées,  Jésus vint, et se présentant au milieu d'eux, il leur dit: ""Paix  avec vous!"", alléluia.";Jn XX 19
