intitule;Dominica I Quadragesimae;Ier dimanche de Carême;
pmagnificat_A;"Ductus est Iesus in desértum a Spíritu, ut tentarétur a diábolo; et cum ieiunásset quadragínta diébus et quadragínta nóctibus, póstea esúriit.";Jésus fut conduit par l'Esprit dans le désert pour être tenté par le diable. Et après avoir jeûné quarante jours et quarante nuits, il eut faim. ;Mat IV 1-2
pmagnificat_B;"Iesus erat in desérto quadragínta diébus et tentabátur a Sátana; erátque cum béstiis, et ángeli ministrábant illi.";"Et il demeura dans le désert quarante jours, tenté par Satan; il était parmi les bêtes sauvages, et les anges le servaient.";Marc I 13
pmagnificat_C;Iesus plenus Spíritu Sancto regréssus est ab Iordáne et agebátur in Spíritu in desértum diébus quadragínta et tentabátur a diábolo.;Jésus, rempli de l'Esprit-Saint, revint du Jourdain, et il fut conduit par l'Esprit dans le désert, pendant quarante jours tenté par le diable. ;Luc IV 1-2
oratio;Concéde nobis, omnípotens Deus, ut, per ánnua quadragesimális exercítia sacraménti, et ad intellegéndum Christi proficiámus arcánum, et efféctus eius digna conversatióne sectémur. Per Dóminum.;Donne-nous, Dieu tout puissant, par les exercices annuels du mystère des quarante jours du carême, de progresser dans la compréhension de la dimension cachée du Christ d'en imiter les conséquences par une vie digne.;
benedictus_A;Non in solo pane vivit homo, sed in omni verbo quod procédit de ore Dei.;L'homme ne vit pas seulement de pain, mais de toute parole qui sort de la bouche de Dieu. ;Mat IV 4
benedictus_B;Venit Iesus in Galilæam prædicans evangélium Dei et dicens: Implétum est tempus, et appropinquávit regnum Dei. Pænitémini et crédite evangélio.;"Jésus vint en Galilée, prêchant l'évangile de Dieu et disant : Le temps est accompli, et le royaume de Dieu est proche; repentez-vous et croyez à l'évangile.";Marc I 14-15
benedictus_C;Nihil manducávit Iesus in diébus illis et, consummátis illis, esúriit.;Il ne mangea rien durant ces jours-là, et, quand ils furent passés, il eut faim. ;Luc IV 2
2magnificat_A;Dicit Iesus: Vade, Sátanas! Scriptum est enim: Dóminum Deum tuum adorábis et illi soli sérvies. Et ángeli accessérunt et ministrábant ei.;"Retire-toi, Satan; car il est écrit: Tu adoreras le Seigneur, ton Dieu, et tu ne serviras que lui seul. Et voilà que des anges s'approchèrent pour le servir.";Mat IV 10
2magnificat_B;Evígila super nos, ætérne Salvátor, ne nos apprehéndat cállidus tentátor, quia tu nobis factus es sempitérnus adiútor.;Veille sur nous, éternel Sauveur, pour que le tentateur rusé ne nous saisisse pas, car tu t'es fait notre secours pour toujours;
2magnificat_C;Consummáta omni tentatióne, diábolus recéssit ab illo, usque ad tempus.;Ayant épuisé toute tentation, le diable s'éloigna de lui jusqu'au temps marqué.;Luc IV 13
