intitule;Dominica II Adventus;2e dimanche de l'Avent
HYMNUS_1V;hy_Cónditor alme síderum;
ant01;Gaude et lætáre, nova Sion: ecce enim Rex tuus véniet, mitis et salvans ánimas nostras. ;Réjouis-toi et sois dans l'allégresse, nouvelle Sion : voici que ton Roi vient, humble et sauvant nos âmes. 
ps01;ps118XIV;
ant02;"Confortáte manus dissolútas; confortámini, dícite: Ecce Deus noster véniet et salvábit nos, allelúia. ";Fortifiez les mains défaillantes, fortifiez-vous et dites : Voici que notre Dieu viendra et nous sauvera, alléluia. 
ps02;ps15;
ant03;Lex per Móysen data est, grátia et véritas per Iesum Christum facta est. ;La loi a été donnée par Moïse, la grâce et la vérité sont venues par Jésus-Christ.
ps03;NT5;
LB_1V;LB_1Th 5, 23-24;
RB_1V;"R/. Osténde nobis, Dómine, * Misericórdiam tuam. Osténde.
V/. Et salutáre tuum da nobis. * Misericórdiam tuam. Glória Patri. Osténde.";"R/. Montre-nous, Seigneur, * ta miséricorde. Montre-nous.
V/. Et donne-nous ton salut, * ta miséricorde. Gloire au Père. Montre-nous."
pmagnificat_A;"Venit Ioánnes Baptísta prædicans in desérto et dicens: Pæniténtiam ágite; appropinquávit enim regnum cælórum. ";Jean-Baptiste est venu, prêchant dans le désert, et disant: repentez-vous, car le royaume des cieux est à portée de main.
pmagnificat_B;Ecce mitto ángelum meum ante fáciem tuam, qui præparávit viam tuam. ;Voici, je vous envoie mon ange devant ta face, qui a préparé le chemin devant toi. 
pmagnificat_C;Veni, Dómine, visitáre nos in pace, ut lætémur coram te corde perfécto. ;Viens, Seigneur, nous visiter dans la paix, que nous nous réjouissions avec Toi d'un coeur parfait.
oratio;Omnípotens et miséricors Deus, in tui occúrsum Fílii festinántes nulla ópera terréni actus impédiant, sed sapiéntiæ cæléstis erudítio nos fáciat eius esse consórtes. Qui tecum vivit.;"Dieu Tout-puissant et Miséricordieux, ne laisse pas le souci de nos tâches présentes entraver notre marche à la rencontre de ton Fils ; mais éveille en nous cette intelligence du coeur qui nous prépare à l’accueillir et nous fait entrer dans sa propre vie. "
benedictus_A;Vox clamántis in desérto: Paráte viam Dómini, rectas fácite sémitas eius!;Voix qui crie dans le désert : préparer le chemin du Seigneur, aplanissez sa route !
benedictus_B;Fuit Ioánnes in desérto, baptízans et prædicans baptísmum pæniténtiæ in remissiónem peccatórum.;Jean était dans le désert, baptisant et prêchant le baptême de pénitence pour la rémission des péchés.
benedictus_C;Factum est verbum Dei super Ioánnem Zacharíæ fílium in desérto, et venit prædicans baptísmum pæniténtiæ in remissiónem peccatórum.;Et la parole de Dieu fut adressée à Jean, fils de Zacharie, dans le désert, et il vint à prêchant le baptême de pénitence pour la rémission des péchés.
2magnificat_A;Ego vos baptízo in aqua in pæniténtiam, dixit Ioánnes. Qui post me ventúrus est, fórtior me est: ipse vos baptizábit in Spíritu Sancto et igni.;Moi, je vous baptise avec de l'eau à la repentance, dit Jean. Celui qui vient après moi est plus puissant que moi : il vous baptisera dans l'Esprit-Saint et dans le feu.
2magnificat_B;Ioánnes prædicábat dicens: Venit fórtior me post me, cuius non sum dignus procúmbens sólvere corrígiam calceamentórum.;Jean a prêché, disant: Il vient après moi un plus puissant que moap et je ne suis pas digne de me baisser pour délier la courroie de ses sandales.
2magnificat_C;Omnis vallis implébitur, et omnis mons et collis humiliábitur: et vidébit omnis caro salutáre Dei.;Toute vallée sera comblée, et toute montagne et toute colline seront abaissées, et toute chair verra le salut de Dieu. 
