intitule;Dominica II Quadragesimae;II° dimanche de Carême;
pmagnificat_A;Dixit Petrus ad Iesum: Dómine, bonum est nos hic esse. Si vis, fáciam hic tria tabernácula: tibi unum et Móysi unum et Elíæ unum. ;"Pierre dit à Jésus : Seigneur, il nous est bon d'être ici; si vous le voulez, je ferai ici trois tentes, une pour vous, une pour Moïse et une pour Elie. ";Mat XVII 4
pmagnificat_B;"Transfigurátus est Iesus coram ipsis; et vestiménta eius facta sunt splendéntia, cándida nimis. Et appáruit illis Elías cum Móyse, et erant loquéntes cum Iesu. ";Il se transfigura devant eux. Ses vêtements devinrent étincelants, tout blancs, tels qu'aucun foulon sur la terre ne saurait blanchir ainsi. Et Elie leur apparut avec Moïse, conversant avec Jésus. ;Marc IX 2-4
pmagnificat_C;Facta est, dum oráret Iesus, spécies vultus eius áltera et vestítus eius albus refúlgens. Et ecce duo viri loquebántur cum illo, et erant Móyses et Elías.;Pendant que Jésus priait, l'aspect de son visage devint autre, et son vêtement d'un blanc éblouissant. Et voilà que deux hommes conversaient avec lui: c'étaient Moïse et Elie.;Luc IX 29
oratio;Deus, qui nobis diléctum Fílium tuum audíre præcepísti, verbo tuo intérius nos páscere dignéris, ut, spiritáli purificáto intúitu, glóriæ tuæ lætémur aspéctu. Per Dóminum.;O Dieu, qui nous as commandé d'écouter ton Fils bien aimé, daigne nous nourrir intérieurement de ta Parole, pour que, lorsque notre sens spirituel sera purifié, nous puissions nous réjouir de la vision de ta gloire.;
benedictus_A;Ecce vox de nube dicens: Hic est Fílius meus diléctus, in quo mihi bene complácui: ipsum audíte.;De la nuée une voix dit: Celui-ci est mon Fils bien-aimé, en qui j'ai mis mes complaisances: écoutez-le. ;Mat XVII 5
benedictus_B;"Petrus dixit Iesu: Rabbi, bonum est nos hic esse; et faciámus tria tabernácula: tibi unum, et Móysi unum et Elíæ unum.";"Pierre, prenant la parole, dit à Jésus : Rabbi, il nous est bon d'être ici; faisons trois tentes, une pour vous, une pour Moïse, et une pour Elie. ";Marc IX 5
benedictus_C;Dóminus noster Iesus Christus destrúxit mortem et illuminávit vitam et incorruptiónem per Evangélium.;Notre Seigneur Jésus Christ a détruit la mort et a fait briller la vie et l'immortalité par l'Evangile, ;2Ti I 10
2magnificat_A;Visiónem, quam vidístis, némini dixéritis, donec a mórtuis resúrgat Fílius hóminis. ;Ne dites à personne la vision que vous avez vue, jusqu'à ce que le Fils de l'Homme ressuscite d'entre les morts.;
2magnificat_B;Facta est nubes obúmbrans eos, et venit vox de nube: Hic est Fílius meus diléctus: audíte illum. ;Il se fit une nuée qui les couvrit de son ombre, et de la nuée se fit entendre une voix : Celui-ci est mon Fils bien-aimé : écoutez-le. ;Marc IX 7
2magnificat_C;"Vox facta est de nube dicens: Hic est Fílius meus diléctus; ipsum audíte. Et dum fíeret vox, invéntus est Iesus solus.";Du sein de la nuée une voix dit: Celui-ci est mon Fils bien-aimé, en qui j'ai mis mes complaisances: écoutez-le. Après que la voix se fit entendre, ils ne virent plus que Jésus seul.;Mat XVII 5
