intitule;Dominica II per annum;"II° dimanche ""dans l'année"""
pmagnificat_A;Ecce Agnus Dei, ecce qui tollit peccátum mundi, allelúia;Voici l’Agneau de Dieu, voici celui qui prend le péché du monde, alléluia.
pmagnificat_B;Audiérunt Ioánnem duo discípuli, et secúti sunt Iesum, dicéntes: Rabbi, ubi manes? Dicit eis: Veníte et vidéte.;Les deux disciples de Jean l’entendirent, et suivant Jésus, lui demandèrent : Rabbi, où demeures-tu ? Il leur dit : Venez et voyez. 
pmagnificat_C;Núptiæ factæ sunt in Cana Galilææ, et erat ibi Iesus cum María matre sua.;Il se fit des noces à Cana en Galilée, et Jésus y était avec Marie sa mère.
oratio;Omnípotens sempitérne Deus, qui cæléstia simul et terréna moderáris, supplicatiónes pópuli tui cleménter exáudi, et pacem tuam nostris concéde tempóribus. Per Dóminum.;Dieu éternel et tout-puissant, toi qui gouvernes à la fois le ciel et la terre, exauce avec bonté les supplications de ton peuple, et accorde ta paix à notre temps.
benedictus_A;Hoc est testimónium quod perhíbuit Ioánnes: Post me venit vir, qui ante me factus est, quia prior me erat.;
benedictus_B;Venérunt discípuli et vidérunt ubi manéret Iesus, et apud eum mansérunt die illo.;
benedictus_C;Dicit mater Iesu minístris: Quodcúmque díxerit vobis, fácite. Et iussit Iesus impléri hydrias aqua, quæ in vinum convérsa est.;La mère de Jésus dit aux serviteurs : Tout ce qu'il vous dira, faites-le. Et Jésus ordonna qu'on remplisse d'eau les urnes, qu'il changea en vin.
2magnificat_A;Descéndit Spíritus quasi colúmba de cælo, et mansit super Iesum: Hic est qui baptízat in Spíritu Sancto.;
2magnificat_B;Dixit Andréas Simóni fratri: Invénimus Messíam. Et addúxit eum ad Iesum. ;
2magnificat_C;Hoc fecit inítium signórum Iesus in Cana Galilæ æ, et manifestávit glóriam suam, et credidérunt in eum discípuli eius.;Tel fut, à Cana de Galilée, le premier des miracles que fit Jésus, et il manifesta sa gloire, et ses disciples crurent en lui. 
