intitule;Dominica III Adventus;3e dimanche de l'Avent
HYMNUS_1V;hy_Cónditor alme síderum;
ant01;Ierúsalem, gaude gáudio magno, quia véniet tibi Salvátor, allelúia. ;Grande joie pour Jérusalem, car voici que vient ton Seigneur, alléluia. 
ps01;ps112;
ant02;"Ego Dóminus prope feci iustítiam meam; non elongábitur, et salus mea non morábitur. ";"Moi, le Seigneur, j'ai rendu ma justice proche ; je ne tarderai pas, et mon salut ne sera pas remis à plus tard. "
ps02;ps115;
ant03;Emítte Agnum, Dómine, dominatórem terræ, de Petra desérti, ad montem fíliæ Sion. ;Envoie, l'Agneau, Seigneur, le dominateur de la terre, du désert de Pétra, à la montagne de Sion. 
ps03;NT5;
LB_1V;LB_1Th 5, 23-24;
RB_1V;"R/. Osténde nobis, Dómine, * Misericórdiam tuam. Osténde.
V/. Et salutáre tuum da nobis. * Misericórdiam tuam. Glória Patri. Osténde.";"R/. Montre-nous, Seigneur, * ta miséricorde. Montre-nous.
V/. Et donne-nous ton salut, * ta miséricorde. Gloire au Père. Montre-nous."
pmagnificat_A;Ante me non est formátus Deus, et post me non erit: quia mihi curvábitur omne genu, et confitébitur omnis lingua. ;
pmagnificat_B;"Fuit homo missus a Deo, cui nomen erat Ioánnes; hic venit ut testimónium perhibéret de lúmine. ";
pmagnificat_C;"Interrogábant Ioánnem turbæ dicéntes: Quid ergo faciémus? Respóndens autem dicébat illis: Qui habet duas túnicas, det non habénti; et qui habet escas, simíliter faciat. ";
oratio;Deus, qui cónspicis pópulum tuum nativitátis domínicæ festivitátem fidéliter exspectáre, præsta, quæsumus, ut valeámus ad tantæ salútis gáudia perveníre, et ea votis sollémnibus álacri semper lætítia celebráre. Per Dóminum.;
benedictus_A;Ioánnes cum audísset in vínculis ópera Christi, mittens duos ex discípulis suis, ait illi: Tu es qui ventúrus es, an álium exspectámus? ;
benedictus_B;Ait Ioánnes: Ego vox clamántis in desérto: Dirígite viam Dómini. ;
benedictus_C;Dixit Ioánnes ómnibus: Ego quidem aqua baptízo vos. Venit autem fórtior me: ipse vos baptizábit in Spíritu Sancto et ígni. ;
2magnificat_A;Tu es qui ventúrus es, an álium exspectámus? Dícite Ioánni quæ vidístis: Ad lumen rédeunt cæci, mortui resúrgunt, páuperes evangelizántur, allelúia. ;
2magnificat_B;Ego baptízo in aqua. Médius vestrum stat, quem vos non scitis, qui post me ventúrus est. ;
2magnificat_C;Respóndit Ioánnes dicens: Venit fórtior me, cuius ventilábrum in manu eius ad purgándam áream suam et ad congregándum tríticum in hórreum suum. ;
