intitule;Dominica III Quadragesimae;IIIe Dimanche de Carême;
pmagnificat_A;Dicit Dóminus: Si quis bíberit aquam, quam ego dabo ei, non sítiet in ætérnum.;Le Seigneur dit : Si quelqu'un boit de l'eau que moi je lui donnerai, il n'aura jamais soif.;Jn IV 13
pmagnificat_B;Dixit Iesus: Auférte ista hinc: Nolíte fácere domum Patris mei domum negotiatiónis.;Jésus dit : Otez cela d'ici, dit le Seigneur, ne faites plus de la maison de mon Père, une maison de commerce.;Jn II 16
pmagnificat_C;Dico vobis: Nisi pæniténtiam egéritis, omnes simíliter períbitis.;Je vous dit : si vous ne vous repentez, vous périrez tous comme eux.;Lc XIII 3
oratio;Deus, ómnium misericordiárum et totíus bonitátis auctor, qui peccatórum remédia in ieiúniis, oratiónibus et eleemósynis demonstrásti, hanc humilitátis nostræ confessiónem propítius intuére, ut, qui inclinámur consciéntia nostra, tua semper misericórdia sublevémur. Per Dóminum.;"Vous êtes la source de toute bonté, Seigneur, et toute miséricorde vient de vous ; vous nous avais dit comment guérir du péché par le jeûne, la prière et le partage ; écoutez l'aveu de notre faiblesse : nous avons conscience de nos fautes, patiemment, relevez-nous avec amour.";
benedictus_A;Venit hora et nunc est, quando veri adoratóres adorábunt Patrem in Spíritu et veritáte: nam et Pater tales quærit, qui adórent eum.;"Mais l'heure approche, et elle est déjà venue, où les vrais adorateurs adoreront le Père en esprit et en vérité ; ce sont de tels adorateurs que le Père demande.";Jn IV 23
benedictus_B;Sólvite templum hoc, dicit Dóminus, et post tríduum reædificábo illud. Hoc autem dicébat de templo córporis sui.;Détruisez ce temple, dit le Seigneur, et je le relèverai en trois jours. Mais lui, il parlait du temple de son corps.;Jn II 19.21
benedictus_C;Iustificáti ex fide, pacem habeámus ad Deum, per Dóminum nostrum Iesum Christum.;Etant donc justifiés par la foi, nous avons la paix avec Dieu par Notre-Seigneur Jésus-Christ.;Rm V 1
magnificat_A;"Multo plures credidérunt et mulíeri dicébant: Iam non propter tuam loquélam crédimus; ipsi enim audívimus et scimus quia hic est vere Salvátor mundi!";"Et un plus grand nombre crurent et ils disaient "" Maintenant ce n'est plus à cause de ce que vous avez dit que nous croyons ; car nous l'avons entendu nous-mêmes, et nous savons qu'il est vraiment le Sauveur du monde. """;Jn IV 41-42
magnificat_B;Cum esset Iesus Hierosólymis in Pascha, in die festo, multi credidérunt in nómine Iesu, vidéntes signa eius, quæ faciébat.;Pendant que Jésus était à Jérusalem, à la fête de Pâque, beaucoup voyant les miracles qu'il faisait, crurent en son nom.;Jn II 23
magnificat_C;Dómine, dimítte illam et hoc anno, usque dum fódiam circa illam, et síquidem fécerit fructum in futúrum.;Seigneur, laissez-le encore cette année, jusqu'à ce que j'aie creusé et mis du fumier tout autour. Peut-être portera-t-il du fruit ensuite;Lc XIII 8-9
