intitule;Dominica IV Quadragesimae;IVe Dimanche de Carême
pmagnificat_A;Rabbi, quis peccávit, hic aut paréntes eius, ut cæcus nascerétur? Respóndit Iesus: Neque hic peccávit neque paréntes eius, sed ut manifesténtur ópera Dei in illo. ;"Maître, en qui a péché, lui ou ses parents, pour qu'il soit né aveugle ? Jésus répondit et dit : Ni lui n'a péché, ni ses parents ; mais c'est afin que les œuvres de Dieu soient manifestées en lui."
pmagnificat_B;Sicut Móyses exaltávit serpéntem in desérto, ita exaltári opórtet Fílium hóminis, ut omnis qui credit, in ipso hábeat vitam ætérnam. ;Comme Moïse a élevé le serpent dans le désert, il faut de même que le Fils de l'homme soit élevé, afin que tout homme qui croit en lui ne périsse point, mais qu'il ait a vie éternelle.
pmagnificat_C;Surgam et ibo ad patrem meum, et dicam illi: Pater, peccávi in cælum et coram te, et iam non sum dignus vocári fílius tuus. ;"Je me lèverai et j'irai à mon père, et je lui dirai: Mon père, j'ai péché contre le ciel et envers toi ; je ne suis plus digne d'être appelé ton fils."
oratio;Deus, qui per Verbum tuum humáni géneris reconciliatiónem mirabíliter operáris, præsta, quæsumus, ut pópulus christiánus prompta devotióne et álacri fide ad ventúra sollémnia váleat festináre. Per Dóminum.;Dieu, qui par ton verbe a merveilleusement produit la réconciliation de l'humanité, fais, nous t'en prions, que le peuple chrétien par une prompte dévotion et une foi avide se hâte avec amour au-devant des fêtes qui approchent.
benedictus_A;Homo, qui dícitur Iesus, lutum fecit et unxit óculos meos: ábii et lavi et modo vídeo. ;L'homme qu'on appelle Jésus a fait de la boue avec sa salive, et il a enduit mes yeux : et à présent je vois.
benedictus_B;"Sic Deus diléxit mundum, ut Fílium suum unigénitum daret; ut omnis, qui credit in ipsum, non péreat, sed hábeat vitam ætérnam. ";Dieu a tant aimé le monde, qu'il a donné son Fils unique, afin que quiconque croit en lui ne périsse pas, mais qu'il ait la vie éternelle.
benedictus_C;Cito proférte stolam primam et indúite illum et date ánulum in manum eius et calceaménta in pedes: quia hic fílius meus mórtuus erat et revíxit, períerat et invéntus est. ;"Vite, apportez la plus belle robe et l'en revêtez; mettez-lui un anneau au doigt et des chaussures aux pieds ; et amenez le veau gras, tuez-le; et mangeons, festoyons : car mon fils que voici était mort, et il est revenu à la vie; il était perdu, et il a été retrouvé."
magnificat_A;A sæculo non est audítum quia quis apéruit óculos cæci nati, nisi Christus Fílius Dei. ;Jamais on n'a entendu dire que quelqu'un ait ouvert les yeux d'un aveugle de naissance, sinon le Christ, Fils de Dieu.
magnificat_B;Qui facit veritátem venit ad lucem, ut manifesténtur eius ópera, quia in Deo sunt facta. ;"Celui qui accomplit la vérité vient à la lumière, de sorte que ses &oelig;uvres soient manifestées, parce qu'elles sont faites en Dieu."
magnificat_C;"Fili, tu semper mecum es, et ómnia mea tua sunt; epulári autem et gaudére oportébat, quia frater tuus mórtuus fúerat et revíxit, períerat et invéntus est. ";"Mon fils, toi, tu es toujours avec moi, et tout ce qui est à moi est à toi ; mais il fallait festoyer et se réjouir, parce que ton frère était mort, et qu'il est revenu à la vie ; parce qu'il était perdu, et qu'il est retrouvé."
