intitule;Dominica IV per annum;"IV° dimanche ""dans l'année"""
pmagnificat_A;"Cum vidísset Iesus turbas, ascéndit in montem; et accessérunt ad eum discípuli eius; et apériens os suum docébat eos, dicens: Beáti páuperes spíritu, quóniam ipsórum est regnum cælórum.";
pmagnificat_B;"Stupébant omnes super doctrína Iesu; erat enim docens eos tamquam potestátem habens.";
pmagnificat_C;Mirabántur omnes in verbis grátiæ quæ procedébant de ore Iesu.;Tous admiraient les paroles toutes de grâce qui sortaient de la bouche de Jésus.
oratio;Concéde nobis, Dómine Deus noster, ut te tota mente venerémur, et omnes hómines rationábili diligámus afféctu. Per Dóminum.;Accorde-nous, Seigneur notre Dieu, de t’adorer de toute notre âme, et d’aimer tous les hommes d’une vraie charité.
benedictus_A;Beáti mundo corde, quóniam ipsi Deum vidébunt, dicit Dóminus.;
benedictus_B;"Conquirébant inter se dicéntes: Quidnam est hoc? Doctrína nova cum potestáte; et spirítibus immúndis ímperat et oboediunt ei.";
benedictus_C;Amen dico vobis: Nemo prophéta accéptus est in pátria sua.;En vérité, je vous le dis, aucun prophète n'est en faveur dans sa patrie. 
2magnificat_A;Beáti pacífici, quóniam fílii Dei vocabúntur, dicit Dóminus.;
2magnificat_B;Miráti sunt omnes, et procéssit rumor eius statim ubíque in omnem regiónem Galilææ.;
2magnificat_C;Eiecérunt Iesum extra civitátem, ut præcipitárent eum. Ipse autem tránsiens per médium illórum ibat.;Ils poussèrent Jésus hors de la ville, pour le précipiter. Mais lui, passant au milieu d'eux, s'en alla.
