intitule;Dominica Pentecostes;Dimanche de la Pentecôte;
HYMNUS_laudes;hy_Beáta nobis gáudia;;
ps1;ps62;;
ps2;AT41;;
ps3;ps149;;
pmagnificat_A;Veni, Sancte Spíritus, reple tuórum corda fidélium, et tui amóris in eis ignem accénde, qui, per diversitátem linguárum cunctárum, gentes in unitátem fídei congregásti, allelúia.;Viens Esprit Saint, emplis le cœur de tes fidèles, et augmente en eux le feu de ton amour, qui, par la diversité des toutes les langues, a rassemblé tous les peuples en un seul, alléluia.;
pmagnificat_B;Veni, Sancte Spíritus, reple tuórum corda fidélium, et tui amóris in eis ignem accénde, qui, per diversitátem linguárum cunctárum, gentes in unitátem fídei congregásti, allelúia.;Viens Esprit Saint, emplis le cœur de tes fidèles, et augmente en eux le feu de ton amour, qui, par la diversité des toutes les langues, a rassemblé tous les peuples en un seul, alléluia.;
pmagnificat_C;Veni, Sancte Spíritus, reple tuórum corda fidélium, et tui amóris in eis ignem accénde, qui, per diversitátem linguárum cunctárum, gentes in unitátem fídei congregásti, allelúia.;Viens Esprit Saint, emplis le cœur de tes fidèles, et augmente en eux le feu de ton amour, qui, par la diversité des toutes les langues, a rassemblé tous les peuples en un seul, alléluia.;
oratio;Omnípotens sempitérne Deus, qui paschále sacraméntum quinquagínta diérum voluísti mystério continéri, præsta, ut, géntium facta dispersióne, divisiónes linguárum ad unam confessiónem tui nóminis cælésti múnere congregéntur. Per Dóminum.;;
benedictus_A;Accípite Spíritum Sanctum: quorum remiséritis peccáta, remittúntur eis, allelúia.;Recevez l'Esprit-Saint, ceux à qui vous remettrez les péchés, ils leur seront remis, alléluia.;Jn XX 22-23
benedictus_B;Accípite Spíritum Sanctum: quorum remiséritis peccáta, remittúntur eis, allelúia.;Recevez l'Esprit-Saint, ceux à qui vous remettrez les péchés, ils leur seront remis, alléluia.;Jn XX 22-23
benedictus_C;Accípite Spíritum Sanctum: quorum remiséritis peccáta, remittúntur eis, allelúia.;Recevez l'Esprit-Saint, ceux à qui vous remettrez les péchés, ils leur seront remis, alléluia.;Jn XX 22-23
2magnificat_A;"Hódie compléti sunt dies Pentecóstes, allelúia; hódie Spíritus Sanctus in igne discípulis appáruit, et tríbuit eis charísmatum dona; misit eos in univérsum mundum prædicáre et testificári: Qui credíderit et baptizátus fúerit, salvus erit, allelúia.";"Aujourd'hui est accompli le jour de la Pentecôte, alléluia, aujourd'hui l'Esprit Saint est apparu aux disciples dans le feu, et tu leur accordes tes dons en présents ; envoie-les dans le monde entier précher et témoigner : ceux qui croient et qui sont baptisés seront sauvés, alléluia.";
2magnificat_B;"Hódie compléti sunt dies Pentecóstes, allelúia; hódie Spíritus Sanctus in igne discípulis appáruit, et tríbuit eis charísmatum dona; misit eos in univérsum mundum prædicáre et testificári: Qui credíderit et baptizátus fúerit, salvus erit, allelúia.";"Aujourd'hui est accompli le jour de la Pentecôte, alléluia, aujourd'hui l'Esprit Saint est apparu aux disciples dans le feu, et tu leur accordes tes dons en présents ; envoie-les dans le monde entier précher et témoigner : ceux qui croient et qui sont baptisés seront sauvés, alléluia.";
2magnificat_C;"Hódie compléti sunt dies Pentecóstes, allelúia; hódie Spíritus Sanctus in igne discípulis appáruit, et tríbuit eis charísmatum dona; misit eos in univérsum mundum prædicáre et testificári: Qui credíderit et baptizátus fúerit, salvus erit, allelúia.";"Aujourd'hui est accompli le jour de la Pentecôte, alléluia, aujourd'hui l'Esprit Saint est apparu aux disciples dans le feu, et tu leur accordes tes dons en présents ; envoie-les dans le monde entier précher et témoigner : ceux qui croient et qui sont baptisés seront sauvés, alléluia.";
