intitule;Dominica V per annum;"V° dimanche ""dans l'année"""
pmagnificat_A;Vos estis sal terræ: quod si sal evanúerit, in quo saliétur? dicit Dóminus discípulis suis. ;
pmagnificat_B;Véspere autem facto, afferébant ad eum omnes male habéntes, et curávit multos qui vexabántur váriis languóribus.;
pmagnificat_C;Ascéndens Iesus in navim, et sedens, docébat turbas.;Jésus, montant dans une barque, s'assit et enseigna les foules.
oratio;Famíliam tuam, quæsumus, Dómine, contínua pietáte custódi, ut, quæ in sola spe grátiæ cæléstis innítitur, tua semper protectióne muniátur. Per Dóminum.;"Sur ta famille, nous t’en prions, Seigneur, veille avec une constante tendresse ; et puisqu’elle s’appuie sur l’unique espérance de la grâce céleste, qu’elle soit toujours pourvue du secours de ta protection."
benedictus_A;Vos estis lux mundi: lúceat lux vestra coram homínibus, ut vídeant ópera vestra bona et gloríficent Patrem vestrum, qui in cælis est.;
benedictus_B;Dilúculo valde surgens, egréssus Iesus ábiit in desértum locum, ibíque orábat.;
benedictus_C;"Præcéptor, per totam noctem laborántes nihil cépimus; in verbo autem tuo laxábo rete.";"Maître, toute la nuit nous avons peiné sans rien prendre; mais, sur ta parole, je jetterai les filets. "
2magnificat_A;"Præcéptor, per totam noctem laborántes nihil cépimus; in verbo autem tuo laxábo rete.";"Maître, toute la nuit nous avons peiné sans rien prendre; mais, sur ta parole, je jetterai les filets. "
2magnificat_B;Simon et qui cum illo erant dicébant: Omnes quærunt te! Et ait illis: Eámus álibi ut et ibi prædicem: ad hoc enim veni.;
2magnificat_C;Exi a me, quia homo peccátor sum, dixit Petrus ad Iesum. Noli timére, ex hoc iam hómines eris cápiens.;"Eloigne-toi de moi, parce que je suis un pécheur, dit Pierre à Jésus. Ne crains point; désormais ce sont des hommes que tu prendras."
