intitule;Dominica VI Paschae;VI° dimanche de Pâques;
pmagnificat_A;Ego rogábo Patrem, et álium Paráclitum dabit vobis, ut máneat vobíscum in ætérnum, allelúia. ;Moi, je prierai le Père, et il vous donnera un autre Consolateur, pour qu'il demeure toujours avec vous, alléluia.;Jean XIV 16
pmagnificat_B;"Sicut diléxit me Pater, et ego diléxi vos; manéte in dilectióne mea, allelúia. ";Comme mon Père m'a aimé, moi aussi je vous ai aimés: demeurez dans mon amour, alléluia.;Jean XV 9
pmagnificat_C;Si quis díligit me, sermónem meum servábit, et Pater meus díliget eum, et ad eum veniémus, et mansiónem apud eum faciémus, allelúia.;Si quelqu'un m'aime, il gardera ma parole, et mon Père l'aimera, et nous viendrons à  lui, et nous ferons chez lui notre demeure, alléluia.;Jean XIV 23
oratio;Fac nos, omnípotens Deus, hos lætítiæ dies, quos in honórem Dómini resurgéntis exséquimur, afféctu sédulo celebráre, ut, quod recordatióne percúrrimus, semper in ópere teneámus. Per Dóminum.;Dieu tout-puissant, fais que nous célébrions ces jours de joie que nous avons accomplis en l’honneur du Seigneur dans sa résurrection avec une affection zélée, afin que nos puissions posséder par nos actes ce que nous traversons par le souvenir.;
benedictus_A;Non vos relínquam órphanos: vado et vénio ad vos, et gaudébit cor vestrum, allelúia.;"Je ne vous laisserai point orphelins; je viendrai à vous, et votre coeur se réjouira, alléluia";Jean XIV 18.XVI 22c
benedictus_B;Hæc locútus sum vobis, ut gáudium meum in vobis sit, et gáudium vestrum impleátur, allelúia.;Je vous ai dit ces choses, afin que ma joie soit en vous, et que votre joie soit parfaite, alléluia.;Jean XV 11
benedictus_C;Spíritus Sanctus, quem mittet Pater in nómine meo, ille vos docébit ómnia et súggeret vobis ómnia quæ dixi vobis, allelúia.;l'Esprit-Saint, que mon Père enverra en mon nom, lui, vous enseignera toutes  choses, et vous rappellera tout ce que je vous ai dit, alléluia.;Jean XIV 26
2magnificat_A;"Qui díligit me, diligétur a Patre meo; et ego díligam eum, et manifestábo ei meípsum, allelúia.";"Celui qui m'aime sera aimé  de mon Père; et moi je l'aimerai et je me manifesterai à lui, alléluia.";Jean XIV 21
2magnificat_B;"Hoc est præcéptum meum, ut diligátis ínvicem sicut diléxi vos; maiórem hac dilectiónem nemo habet, ut ánimam suam quis ponat pro amícis suis, allelúia. ";Ceci est mon commandement, que vous vous aimiez les uns les autres, comme je vous ai aimés. Il n'y a pas de plus grand amour que de donner sa vie pour ses amis, alléluia.;Jean XV 12
2magnificat_C;"Pacem relínquo vobis, pacem meam do vobis; non quómodo mundus dat, ego do vobis. Non turbétur cor vestrum neque formídet, allelúia.";"Je vous laisse la paix, je vous donne ma paix; je ne la donne pas comme la donne le monde. Que votre  coeur ne se trouble point et ne s'effraye point, alléluia.";Jean XIV 27
