intitule;Dominica VI per annum;"VI° dimanche ""dans l'année"""
pmagnificat_A;Qui fécerit et docúerit, hic magnus vocábitur in regno cælórum, dicit Dóminus.;
pmagnificat_B;Dómine, si vis, potes me mundáre. Et ait Iesus: Volo, mundáre.;
pmagnificat_C;Beáti páuperes, quia vestrum est regnum Dei. Beáti, qui nunc esurítis, quia saturabímini.;Heureux, vous qui êtes pauvres, car le royaume de Dieu est à vous. Heureux, vous qui avez faim maintenant, car vous serez rassasiés 
oratio;Deus, qui te in rectis et sincéris manére pectóribus ásseris, da nobis tua grátia tales exsístere, in quibus habitáre dignéris. Per Dóminum.;Ô Dieu, tu affirmes que tu fais ta demeure dans les cœurs droits et sincères : donne-nous donc la grâce d’être tels que tu daignes habiter en nous.
benedictus_A;Nisi abundáverit iustítia vestra plus quam scribárum et pharisæórum, non intrábitis in regnum cælórum. ;
benedictus_B;Iesus misértus exténdens manum suam tétigit leprósum, et statim discéssit ab eo lepra, et mundátus est. ;
benedictus_C;Beáti qui nunc fletis, quia ridébitis, dicit Dóminus.;Heureux ceux qui pleurent, car il seront consolés, dit le Seigneur.
2magnificat_A;"Si offers munus tuum ante altáre et recordátus fúeris quia frater tuus habet áliquid advérsus te, relínque ibi munus tuum ante altáre et vade prius reconciliári fratri tuo; et tunc véniens offer munus tuum, allelúia.";
2magnificat_B;Vide némini quidquam díxeris, sed vade, osténde te sacerdóti, in testimónium illis. At ille egréssus coepit prædicáre multum et diffamáre sermóne.;
2magnificat_C;Beáti éritis, cum vos óderint hómines propter Fílium hóminis: gaudéte et exsultáte, ecce enim merces vestra multa est in cælo.;Heureux serez-vous, lorsque les hommes vous haïront à cause du Fils de l'homme : réjouissez-vous et tressaillez (de joie), car voici que votre récompense est grande dans le ciel.
