intitule;Dominica VII Paschae;VII° dimanche de Pâques;
pmagnificat_A;Hæc est vita ætérna, ut cognóscant te solum verum Deum, et quem misísti, Iesum Christum, allelúia. ;la vie éternelle, c'est qu'ils vous connaissent, vous, le seul vrai Dieu, et celui que vous avez envoyé,  Jésus-Christ. Alléluia.;Jean XVII 3
pmagnificat_B;Pater sancte, serva eos in nómine tuo, quod dedísti mihi, ut sint unum sicut nos, allelúia. ;Père saint, gardez  dans votre nom ceux que vous m'avez donnés, afin qu'ils ne fassent qu'un, comme nous. Alléluia.;Jean XVII 11
pmagnificat_C;Non pro his rogo tantum, sed et pro eis qui creditúri sunt per verbum eórum in me, ut omnes unum sint, allelúia.;Je ne prie pas pour eux seulement, mais aussi pour ceux qui, par leur prédication, croiront en moi, pour que tous ils soient un. Alléluia.;Jean XVII 20c.21a
oratio;Supplicatiónibus nostris, Dómine, adésto propítius, ut, sicut humáni géneris Salvatórem tecum in tua crédimus maiestáte, ita usque ad consummatiónem sæculi manére nobíscum, sicut ipse promísit, sentiámus. Per Dóminum.;Sois favorable à nos supplications, Seigneur, afin que de même que nous croyons que le Sauveur du genre humain est avec toi dans ta majesté, nous percevions qu’il demeure avec nous jusqu’à la consommation des siècles, comme il nous l’a promis lui-même.;
benedictus_A;"Pater, ego te clarificávi super terram; opus consummávi, quod dedísti mihi ut fáciam, allelúia. ";Je vous ai glorifié sur la terre, j'ai achevé l'oeuvre que vous m'avez donnée à faire.;Jean XVII 4
benedictus_B;Nunc ad te vénio et hæc loquor in mundo, ut hábeant gáudium meum implétum in semetípsis, allelúia. ;Maintenant je vais à vous, et je fais cette prière pendant que je suis dans le monde, afin qu'ils aient en eux  la plénitude de ma joie. Alléluia;Jean XVII 13
benedictus_C;Ego claritátem quam dedísti mihi, dedi illis, ut sint unum sicut nos unum sumus, allelúia.;Et je leur ai donné la gloire que vous m'avez donnée, afin qu'ils soient un, comme nous sommes un, moi  en eux, et vous en moi. Alléluia;Jean XVII 22
2magnificat_A;Cum vénerit Paráclitus, quem ego mittam vobis, Spíritum veritátis, qui a Patre procédit, ille testimónium perhibébit de me, allelúia. ;Lorsque le Consolateur que je vous enverrai d'auprès du Père, l'Esprit de vérité qui procède du Père, sera  venu, il rendra témoignage de moi. Alléluia.;Jean XV 26
2magnificat_B;"Sicut me misísti in mundum, et ego misi eos in mundum; et pro eis ego sanctífico meípsum, ut sint et ipsi sanctificáti in veritáte, allelúia. ";Comme vous m'avez envoyé dans le monde, je les ai aussi envoyés dans le monde. Et je me sanctifie moi-même pour eux, afin qu'eux aussi soient sanctifiés en vérité. Alléluia.;Jean XVII 18-19
2magnificat_C;Pater, quos dedísti mihi, volo ut ubi ego sum, et illi sint mecum, ut vídeant claritátem meam quam dedísti mihi, allelúia.;Père, ceux que vous m'avez donnés, je veux que là où je suis, ils y soient avec moi, afin qu'ils voient la  gloire que vous m'avez donnée. Alléluia;Jean XVII 24
