intitule;Dominica VII per annum;"VII° dimanche ""dans l'année"""
pmagnificat_A;Dilígite inimícos vestros et oráte pro persequéntibus vos, ut sitis fílii Patris vestri, qui in cælis est.;
pmagnificat_B;Véniunt feréntes ad Iesum paralyticum. Cum vidísset fidem illórum, ait Iesus paralytico: Fili, dimittúntur peccáta tua.;
pmagnificat_C;Prout vultis ut fáciant vobis hómines, fácite illis simíliter, dicit Dóminus.;ce que vous voulez que les hommes fassent pour vous, faites-le pareillement pour eux. 
oratio;Præsta, quæsumus, omnípotens Deus, ut, semper rationabília meditántes, quæ tibi sunt plácita, et dictis exsequámur et factis. Per Dóminum.;Nous t’en prions, Dieu tout-puissant, accorde-nous de nous occuper sans cesse des réalités spirituelles afin d’accomplir ce qui te plaît, dans nos paroles et dans nos actes.
benedictus_A;Pater vester solem suum oríri facit super malos et bonos et pluit super iustos et iniústos.;
benedictus_B;Dixit Iesus: Ut sciátis quia potestátem habet Fílius hóminis in terra dimitténdi peccáta, ait paralytico: Tibi dico: Surge, tolle grabátum tuum et vade in domum tuam.;
benedictus_C;Nolíte iudicáre, ut non iudicémini: in quo enim iudício iudicavéritis iudicabímini, dicit Dóminus.;Ne jugez point afin de n'être point jugés, car de la façon dont vous jugez, vous serez jugés
2magnificat_A;Estóte vos perfécti sicut Pater vester cæléstis perféctus est, dicit Dóminus.;
2magnificat_B;"Tulit paralyticus lectum suum, in quo iacébat, magníficans Deum; et omnis plebs, ut vidit, dedit laudem Deo. ";
2magnificat_C;"Dimíttite et dimittémini; date, et dábitur vobis. Eádem quippe mensúra qua mensi fuéritis, remetiétur vobis.";Absolvez et vous serez absous. Donnez, et l'on vous donnera : on versera dans votre sein une bonne mesure, car avec la mesure dont vous mesurez il vous sera mesuré en retour.
