intitule;Dominica VIII per annum;"VIII° dimanche ""dans l'année"""
pmagnificat_A;Respícite volatília cæli, quóniam non serunt neque metunt, et Pater vester cæléstis pascit illa. Nonne vos magis pluris estis illis? ;
pmagnificat_B;Quanto témpore habent secum convívæ sponsum, non possunt ieiunáre, dicit Dóminus. ;
pmagnificat_C;Eice primum trabem de óculo tuo, et tunc perspícies ut edúcas festúcam quæ est in óculo fratris tui, dicit Dóminus.;
oratio;Da nobis, quæsumus, Dómine, ut et mundi cursus pacífico nobis tuo órdine dirigátur, et Ecclésia tua tranquílla devotióne lætétur. Per Dóminum.;
benedictus_A;Nolíte sollíciti esse dicéntes: Quid manducábimus, aut quid bibémus? Scit enim Pater vester cæléstis quid vobis necésse sit! ;
benedictus_B;Loquar ad cor tuum: Sponsábo te mihi in fide, et cognósces Dóminum. ;
benedictus_C;Non potest arbor bona fructus malos fácere, neque arbor mala fructus bonos fácere.;
2magnificat_A;Quærite primum regnum Dei et iustítiam eius, et hæc ómnia adiciéntur vobis. ;
2magnificat_B;Nemo mittit vinum novum in utres véteres, sed vinum novum in utres novos mitti debet. ;
2magnificat_C;Bonus homo de bono thesáuro cordis profert bonum: ex abundántia enim cordis os eius lóquitur.;
