intitule;Dominica X per annum;"X° dimanche ""dans l'année"""
pmagnificat_A;Cum transíret Iesus, vidit hóminem sedéntem in telóneo, Matthæo nómine, et ait illi: Séquere me. Et surgens secútus est eum.;Comme Jésus passait, il vit un homme nommé Matthieu assis au comptoir du percepteur d'impôts, et il lui dit : suis-moi. Et il se leva et le suivit.
pmagnificat_B;Si in dígito Dei eício dæmónia, profécto pervénit in vos regnum Dei.;Si je chasse les démons par le doigt de Dieu, le Royaume de Dieu vient vraiment à vous.
pmagnificat_C;Cum vidísset Dóminus víduam, misericórdia motus super ea dixit illi: Noli flere.;Quand le Seigneur vit la veuve, il eut de la compassion pour elle et lui dit : ne pleure pas.
oratio;Deus, a quo bona cuncta procédunt, tuis largíre supplícibus, ut cogitémus, te inspiránte, quæ recta sunt, et, te gubernánte, éadem faciámus. Per Dóminum.;Dieu, de qui procède tout bien, nous t’en supplions, inspire la rectitude à notre pensée et fais que, sous ta gouverne, nous y accordions nos actes.
benedictus_A;Multi publicáni et peccatóres veniéntes simul discumbébant cum Iesu et discípulis eius.;Beaucoup de publicains et de pêcheurs vinrent et s'assirent à la table de Jésus et de ses disciples.
benedictus_B;Cum fortis armátus custódit átrium suum, in pace sunt ómnia quæ póssidet.;Quand un guerrier armé garde sa maison, tout ce qu'il possède est dans la paix.
benedictus_C;"Aduléscens, tibi dico, surge. Et resédit, qui erat mórtuus, et coepit loqui; et dedit illum matri suæ.";"Jeune homme, je te le dis, lève toi. Et le mort se leva et commença à parler; il le confia à sa mère."
2magnificat_A;Misericórdiam volo et non sacrifícium. Non enim veni vocáre iustos, sed peccatóres.;C'est la miséricorde que je veux, et non le sacrifice. Pour moi, je ne suis pas venu appelé les justes mais les pêcheurs.
2magnificat_B;Qui fécerit voluntátem Dei, hic frater meus, et soror mea et mater est, dicit Dóminus. ;Celui qui fait la volonté de Dieu, celui là est mon frère, ma sœur, et ma mère, dit le Seigneur.
2magnificat_C;Prophéta magnus surréxit in nobis, et Deus visitávit plebem suam.;Un grand prophète s'est levé parmi nous, et Dieu a visité son peuple.
