intitule;Dominica XI per annum;"XI° dimanche ""dans l'année""";
pmagnificat_A;Videns Iesus turbas, misértus est eis, quia erant vexáti et iacéntes sicut oves non habéntes pastórem. ;Jésus, en voyant cette multitude d'hommes, fut pris decompassion pour eux, parce qu'ils étaient harassés et abattus, comme des brebis qui n'ont pas de pasteur. ;Mt 9,36
pmagnificat_B;Sic est regnum Dei, quemádmodum si homo iáciat seméntem in terram, et semen gérminet et incréscat, dum nescit ille. ;Le royaume des cieux est comparable à un homme qui lance de la semance sur le sol, et la semance germe et grandit, sans qu'il le sache.;
pmagnificat_C;Múlier, quæ erat in civitáte peccátrix, áttulit alabástrum unguénti, et flens lácrimis rigábat pedes Iesu, et osculabátur, et unguénto ungébat.;Et voici qu'une femme qui, dans la ville, était pécheresse, apporta un vase d'albâtre (plein) de parfum et se mit à arroser ses pieds de ses larmes, et les embrassait, et elle les oignait de parfum. ;Lc 7,37
oratio;Deus, in te sperántium fortitúdo, invocatiónibus nostris adésto propítius, et, quia sine te nihil potest mortális infírmitas, grátiæ tuæ præsta semper auxílium, ut, in exsequéndis mandátis tuis, et voluntáte tibi et actióne placeámus. Per Dóminum.;Ô Dieu, force de ceux qui espèrent en toi, rends-toi propice à nos appels, et, puisque la fragilité humaine ne peut rien sans toi, accorde-nous toujours le secours de ta grâce, de sorte qu’en suivant tes commandements, nous puissions te plaire et par le désir et par les actions.;
benedictus_A;Duódecim apóstolos misit Iesus, præcípiens eis et dicens: Ite ad oves, quæ periérunt domus Israel. ;;
benedictus_B;"Símile est regnum cælórum grano sinápis, quod minus est ómnibus semínibus; et cum seminátum fúerit ascéndit et fit maius ómnibus holéribus.";;
benedictus_C;"Remíssa sunt peccáta eius multa, quóniam diléxit multum; qui autem minus dimíttitur, minus díligit.";"Ses nombreux péchés lui sont pardonnés, parce qu'elle a beaucoup aimé; mais celui à qui l'on pardonne peu, aime peu. ";Lc 7,47
2magnificat_A;Eúntes prædicáte Evangélium regni: gratis accepístis, gratis date. ;;
2magnificat_B;Multis parábolis loquebátur Iesus verbum. Seórsum autem discípulis suis disserébat ómnia.;;
2magnificat_C;"Dixit Iesus ad mulíerem: Fides tua te salvam fecit; vade in pace.";Jésus dit à la femme : Ta foi t'a sauvée, va en paix.;Lc 7,50
