intitule;Dominica XII per annum;"XII° dimanche ""dans l'année"""
pmagnificat_A;"Quod dico vobis in ténebris dícite in lúmine; et quod in aure audítis, prædicáte super tecta.";
pmagnificat_B;"Dómine, salva nos, perímus; ímpera et fac, Deus, tranquillitátem.";
pmagnificat_C;Dixit Iesus discípulis suis: Vos autem quem me esse dícitis? Respóndens Petrus dixit: Christus Dei.;
oratio;Sancti nóminis tui, Dómine, timórem páriter et amórem fac nos habére perpétuum, quia numquam tua gubernatióne destítuis, quos in soliditáte tuæ dilectiónis instítuis. Per Dóminum.;Seigneur, donne-nous d’avoir toujours à la fois et crainte et amour de ton saint nom, car jamais tu ne prives de ta sauvegarde ceux que tu établis dans la solidité de ton amour.
benedictus_A;Vestri capílli cápitis omnes numeráti sunt. Nolíte ergo timére, dicit Dóminus.;
benedictus_B;Exsúrgens Iesus comminátus est vento et dixit mari: Tace, obmutésce. Et cessávit ventus, et facta est tranquíllitas magna.;
benedictus_C;Opórtet Fílium hóminis multa pati et reprobári, et occídi, et tértia die resúrgere.;
2magnificat_A;Qui me conféssus fúerit coram homínibus, confitébor et ego eum coram Patre meo, qui est in cælis.;
2magnificat_B;Timuérunt discípuli magno timóre et dicébant ad altérutrum: Quis putas est iste, quia et ventus et mare obcédiunt ei?;
2magnificat_C;Qui vult veníre post me, ábneget seípsum et tollat crucem suam et sequátur me, dicit Dóminus.;
