intitule;Dominica XIII per annum;"XIII° dimanche ""dans l'année"""
pmagnificat_A;Qui non áccipit crucem suam et séquitur me, non est me dignus, dicit Dóminus. ;Celui qui ne prend pas sa croix pour me suivre n'est pas dine de moi, dit le Seigneur.
pmagnificat_B;Dicébat múlier intra se: Si vel vestiménta eius tetígero, salva ero. ;La femme se dit en elle-même : il suffirait que je touche son vêtement, et je serais guérie.
pmagnificat_C;Vulpes fóveas habent et vólucres cæli nidos. Fílius autem hóminis non habet, ubi caput reclínet.;Les renards ont des terriers, les oiseaux des nids, mais le fils de l'Homme n'a pas d'endroit où reposer la tête.
oratio;Deus, qui, per adoptiónem grátiæ, lucis nos esse fílios voluísti, præsta, quæsumus, ut errórum non involvámur ténebris, sed in splendóre veritátis semper maneámus conspícui. Per Dóminum.;"Ô Dieu, tu as voulu que la grâce d’adoption fît de nous des fils de lumière ; accorde-nous, nous t’en prions, de n’être pas enveloppés dans les ténèbres de l’erreur, mais de demeurer toujours, de façon manifeste, dans l’éclat de la vérité."
benedictus_A;"Qui récipit vos me récipit; et qui me récipit, récipit eum qui me misit. ";"Celui qui me reçoit me reçoit ; et celui qui me reçoit reçoit celui qui m'a envoyé."
benedictus_B;"Iesus convérsus et videns mulíerem dixit: Fília, fides tua te salvam fecit; vade in pace. ";"Jésus se retourna et, voyant la femme, dit : ma fille, ta foi t'a guérie ; va en paix."
benedictus_C;Sine, ut mórtui sepéliant mórtuos suos: tu autem vade, annúntia regnum Dei.;"Laissez les morts enterrer leurs morts; mais vous, allez et annoncez le royaume de Dieu."
2magnificat_A;Quicúmque potum déderit uni ex mínimis istis cálicem aquæ frígidæ tantum in nómine discípuli, amen dico vobis, non perdet mercédem suam. ;Quiconque donne à l'un de ces petits ne serait-ce qu'une coupe d'eau fraîche parce qu'il est un disciple, amen, je vous le dis, il ne perdra pas sa récompense.
2magnificat_B;Puélla non est mórtua, sed dormit. Et tenens manum puéllæ ait illi: Puélla, tibi dico, surge. ;La jeune fille n'est pas morte, elle dort. Et, lui prenant la main, il lui dit : Jeune fille, je te le dis, lève-toi.
2magnificat_C;Nemo míttens manum suam in arátrum et aspíciens retro, aptus est regno Dei, dicit Dóminus.;Celui qui, ayant mis la main à la charrue, regarde en arrière, n'est pas propre au royaume de Dieu. 
