intitule;Dominica XVI per annum;"XVI° dimanche ""dans l'année""";
pmagnificat_A;Collígite primum zizánia, et alligáte ea in fascículos ad comburéndum, tríticum autem congregáte in hórreum meum, dicit Dóminus. ;"Ramassez d'abord l'ivraie, et liez-la en bottes pour la brûler; quand au froment, amassez-le dans mon grenier, dit le Seigneur. ";Mt 13,30
pmagnificat_B;Conveniéntes apóstoli ad Iesum, renuntiavérunt ei ómnia quæ égerant et docúerant. ;Les apôtres se rassemblèrent auprès de Jésus et lui firent un rapport de tout ce qu'ils avaient fait et de tout ce qu'ils avaient enseigné. ;Mc 6,30
pmagnificat_C;Intrávit Iesus in quoddam castéllum, et múlier quædam, Martham nómine, excépit illum.;Il entra dans un certain bourg, et une femme, nommée Marthe, le reçut dans sa maison. ;Lc 10, 38
oratio;Propitiáre, Dómine, fámulis tuis, et cleménter grátiæ tuæ super eos dona multíplica, ut, spe, fide et caritáte fervéntes, semper in mandátis tuis vígili custódia persevérent. Per Dóminum.;"Sois favorable à tes serviteurs, Seigneur, et dans ta bonté, multiplie sur eux les dons de ta grâce ; ainsi, enflammés par l’espérance, la foi et la charité, qu’ils soient toujours attentifs à garder tes commandements.";
benedictus_A;Símile est regnum cælórum ferménto, quod accéptum múlier abscóndit in farínæ satis tribus, donec fermentátum est totum. ;Le royaume des cieux est semblable au levain qu'une femme prit et mélangea dans trois mesures de farine, jusqu'à ce que le tout eût fermenté.;Mt 13,33
benedictus_B;Veníte vos ipsi seórsum in desértum locum et requiéscite pusíllum, dicit Dóminus. ;Venez, et retirez-vous à l'écart, et reposez-vous un peu, dit le Seigneur.;
benedictus_C;María sedens secus pedes Dómini audiébat verbum illíus.;Marie, s'étant même assise aux pieds du Seigneur, écoutait sa parole. ;Lc 10,39
2magnificat_A;In consummatióne sæculi, fulgébunt iusti sicut sol in regno Patris eórum. ;A la consommation des siècles, les justes resplendiront comme le soleil dans le royaume de leur Père. ;Mt 13,43
2magnificat_B;Vidit Iesus multam turbam et misértus est super eos, quia erant sicut oves non habéntes pastórem. ;Jésus vit une foule nombreuse, et il en eut compassion, parce qu'ils étaient comme des brebis sans pasteur.;Mc 6,34
2magnificat_C;Optimam partem elégit sibi María, quæ non auferétur ab ea in ætérnum.;Marie en effet a choisi la bonne part, qui ne lui sera point ôtée dans l'éternité.;Lc 10,42
