intitule;Dominica XVII per annum;"XVII° dimanche ""dans l'année""";
pmagnificat_A;Símile est regnum cælórum hómini negotiatóri quærénti bonas margarítas. Invénta una pretiósa, ábiit et véndidit ómnia quæ hábuit, et emit eam. ; le royaume des cieux est semblable à un marchand qui cherchait de belles perles. Ayant trouvé une perle de grand prix, il s'en alla vendre tout ce qu'il avait, et il l'acheta.;Mt 13,45
pmagnificat_B;Cum sublevásset óculos Iesus, et vidísset máximam multitúdinem veniéntem ad se, dixit ad Philíppum: Unde emémus panes ut mandúcent hi? Hoc autem dicébat tentans eum: ipse enim sciébat quid esset factúrus. ;"Jésus donc ayant levé les yeux, et voyant qu'une grande foule venait à lui, dit à Philippe: ""Où achèterons-nous du pain pour que ces gens aient à manger?"" Il disait cela pour l'éprouver, car lui, il savait ce qu'il devait faire. ";Jn 6,6
pmagnificat_C;Cum esset Iesus in quodam loco orans, dixit unus ex discípulis suis ad eum: Dómine, doce nos oráre.;Comme il était en prière en un certain lieu, lorsqu'il eut achevé, qu'un de ses disciples luit dit : Seigneur, apprends-nous à prier.;Lc 11,1
oratio;Protéctor in te sperántium, Deus, sine quo nihil est válidum, nihil sanctum, multíplica super nos misericórdiam tuam, ut, te rectóre, te duce, sic bonis transeúntibus nunc utámur, ut iam possímus inhærére mansúris. Per Dóminum.;Protecteur de ceux qui espèrent en toi, ô Dieu, sans qui rien n’est solide, rien n’est saint, répands sur nous avec abondance ta miséricorde, afin que sous ta conduite et ta direction, nous usions actuellement des biens passagers de manière à pouvoir dès ici-bas rester attachés à ceux qui demeurent.;
benedictus_A;"Símile est regnum cælórum sagénæ missæ in mare; quam cum impléta esset, educéntes secus litus et sedéntes collegérunt bonos in vasa, malos autem foras misérunt. ";Le royaume de Dieu est semblalbe à un filet jeté à la mer. Lorsqu'il fut rempli, (les pêcheurs) le tirèrent au rivage et, s'étant assis, ils recueillirent les bons dans des paniers et rejetèrent les mauvais. ;Mt 13,48
benedictus_B;Satiávit Dóminus quinque mília hóminum, de quinque pánibus et duóbus píscibus. ;Le Seigneur nourrit cinq mille hommes de cinq pains et deux poissons.;
benedictus_C;"Pétite, et dábitur vobis; quærite, et inveniétis; pulsáte, et aperiétur vobis.";"Demandez et l'on vous donnera; cherchez et vous trouverez; frappez et l'on vous ouvrira. ";Lc 11,9
2magnificat_A;Omnis scriba doctus in regno cælórum símilis est hómini patri famílias, qui profert de thesáuro suo nova et vétera. ;Tout scribe devenu disciple du royaume des cieux ressemble à un maître de maison qui tire de son trésor du neuf et du vieux.;Mt 13,52
2magnificat_B;Illi hómines, cum vidíssent, quod fécerat Iesus signum, dicébant: Hic est vere prophéta, qui venit in mundum! ;Ces hommes ayant vu le miracle que Jésus avait fait, disaient: Celui-ci est vraiment le Prophète qui doit venir dans le monde.;Jn 6,14
2magnificat_C;Si vos, cum sitis mali, nostis dona bona dare fíliis vestris, quanto magis Pater de cælo dabit Spíritum Sanctum peténtibus se!;Si donc vous, tout méchants que vous êtes, vous savez donner à vos enfants de bonnes choses, combien plus le Père du ciel donnera-t-il l'Esprit-Saint à ceux qui lui demandent !;Lc 11,13
