intitule;Dominica XXI per annum;"XXI° dimanche ""dans l'année"""
pmagnificat_A;Tu es Christus, Fílius Dei vivi. Et tu beátus, Simon Bar Iona. ;
pmagnificat_B;"Spíritus est, qui vivíficat, caro non prodest quidquam; verba, quæ ego locútus sum vobis, Spíritus sunt et vita. ";
pmagnificat_C;Conténdite intráre per angústam portam, quia multi, dico vobis, quærent intráre et non póterunt.;
oratio;Deus, qui fidélium mentes uníus éfficis voluntátis, da pópulis tuis id amáre quod præcipis, id desideráre quod promíttis, ut, inter mundánas varietátes, ibi nostra fixa sint corda, ubi vera sunt gáudia. Per Dóminum.;Ô Dieu qui unis les esprits des croyants dans un même sentiment, accorde à ton peuple d’aimer ce que tu commandes et de désirer ce que tu promets, pour qu’au milieu des fluctuations de ce monde, nos cœurs restent fixés là où résident les vraies joies.
benedictus_A;Tu es Petrus, et super hanc petram ædificábo Ecclésiam meam. ;
benedictus_B;Nemo potest veníre ad me, nisi fúerit ei datum a Patre, dicit Dóminus. ;
benedictus_C;Multi ab oriénte et occidénte vénient et recúmbent cum Abraham et Isaac et Iacob in regno cælórum.;
2magnificat_A;Quodcúmque ligáveris super terram, erit ligátum et in cælis: et quodcúmque sólveris super terram, erit solútum et in cælis, dicit Dóminus Simóni Petro. ;
2magnificat_B;Dómine, ad quem íbimus? Verba vitæ ætérnæ habes: et nos credídimus et cognóvimus quia tu es Fílius Dei. ;
2magnificat_C;Ecce sunt novíssimi, qui erunt primi, et sunt primi, qui erunt novíssimi, dicit Dóminus.;
