intitule;Dominica XXIX per annum;"XXIX° dimanche ""dans l'année"""
pmagnificat_A;Magíster, scimus quia verax es et viam Dei in veritáte doces. ;
pmagnificat_B;Cálicem, quem ego bibo, bibétis et baptísmum quo ego baptízor, baptizabímini, dicit Dóminus. ;
pmagnificat_C;Dicébat Iesus discípulis suis quóniam opórtet semper oráre et non defícere.;
oratio;Omnípotens sempitérne Deus, fac nos tibi semper et devótam gérere voluntátem, et maiestáti tuæ sincéro corde servíre. Per Dóminum.;Dieu éternel et tout-puissant, fais que toujours nous te montrions une ardeur dévouée et que nous nous mettions au service de ta majesté avec un cœur sans partage.
benedictus_A;Sciant ab ortu solis et ab occidénte quóniam absque me nullus est. Ego Dóminus, et non est alter. ;
benedictus_B;Quicúmque volúerit fíeri maior inter vos, erit vester miníster, et quicúmque volúerit in vobis primus esse, erit ómnium servus. ;
benedictus_C;Deus fáciet vindíctam electórum suórum clamántium ad se die ac nocte, et patiéntiam habébit in illis.;
2magnificat_A;Réddite, quæ sunt Cæsaris, Cæsari, et quæ sunt Dei, Deo. ;
2magnificat_B;Fílius hóminis non venit, ut ministrarétur ei, sed ut ministráret et daret ánimam suam redemptiónem pro multis. ;
2magnificat_C;Dum vénerit Fílius hóminis, putas invéniet fidem super terram?;
