intitule;Dominica XXVI per annum;"XXVI° dimanche ""dans l'année"""
pmagnificat_A;Cum avérterit se ímpius ab impietáte sua, et fécerit iudícium et iustítiam, vita vivet, non moriétur, dicit Dóminus.;
pmagnificat_B;Nemo est qui fáciat virtútem in nómine meo, et possit cito male loqui de me. Qui enim non est advérsum vos, pro vobis est.;
pmagnificat_C;Factum est ut morerétur pauper et portarétur ab ángelis in sinum Abrahæ.;
oratio;Deus, qui omnipoténtiam tuam parcéndo máxime et miserándo maniféstas, grátiam tuam super nos indesinénter infúnde, ut, ad tua promíssa curréntes, cæléstium bonórum fácias esse consórtes. Per Dóminum.;Dieu, toi qui révèles surtout ta toute-puissance en pardonnant et en faisant miséricorde, répands inlassablement en nous ta grâce, pour que, nous hâtant vers tes promesses, nous devenions participants des biens célestes.
benedictus_A;Amen dico vobis, quia publicáni et meretríces præcédunt vos in regnum Dei, quia credidérunt. ;
benedictus_B;Quisquis potum déderit vobis cálicem aquæ in nómine meo, quia Christi estis, amen dico vobis: non perdet mercédem suam. ;
benedictus_C;"Fili, recordáre quia recepísti bona tua in vita tua, et Lázarus simíliter mala; nunc autem tu vero cruciáris et ille consolátur.";
2magnificat_A;Non omnis, qui dicit mihi: Dómine, Dómine, intrábit in regnum cælórum, sed qui facit voluntátem Patris mei, qui in cælis est, ipse intrábit in regnum cælórum.;
2magnificat_B;Bonum est tibi débilem introíre in vitam, quam duas manus habéntem ire in gehénnam, dicit Dóminus.;
2magnificat_C;Beáti páuperes, quia vestrum est regnum Dei. Beáti, qui nunc esurítis, quia saturabímini. Beáti, qui nunc fletis, quia ridébitis.;
