intitule;Dominica XXVII per annum;"XXVII° dimanche ""dans l'année"""
pmagnificat_A;Cum tempus frúctuum appropinquásset, dóminus víneæ misit servos suos ad agrícolas, ut accíperent fructus eius. ;
pmagnificat_B;Accedéntes pharisæi interrogábant Iesum: Si licet viro uxórem dimíttere. Quibus respóndens ait: Quod Deus coniúnxit, homo non séparet. ;
pmagnificat_C;Dixérunt apóstoli Dómino: Adáuge nobis fidem! allelúia.;
oratio;Omnípotens sempitérne Deus, qui abundántia pietátis tuæ et mérita súpplicum excédis et vota, effúnde super nos misericórdiam tuam, ut dimíttas quæ consciéntia métuit, et adícias quod orátio non præsúmit. Per Dóminum.;Dieu éternel et tout-puissant, toi qui dans la prodigalité de ton amour surpasses et les mérites et les vœux de ceux qui te supplient, répands sur nous ta miséricorde, afin de chasser tout ce que redoute la conscience et suppléer à ce que la prière n’ose demander.
benedictus_A;Dóminus víneæ malos male perdet, et víneam locábit áliis agrícolis, qui reddant ei fructum tempóribus suis. ;
benedictus_B;"Sínite párvulos veníre ad me. Ne prohibuéritis eos; tálium est enim regnum Dei. ";
benedictus_C;Si haberétis fidem sicut granum sinápis, dicerétis huic árbori moro: Eradicáre et transplantáre in mare, et oboedíret vobis, dicit Dóminus.;
2magnificat_A;"Lápidem, quem reprobavérunt ædificántes, hic factus est in caput ánguli; a Dómino factum est istud et est mirábile in óculis nostris. ";
2magnificat_B;Amen dico vobis: Quisquis non recéperit regnum Dei velut párvulus, non intrábit in illud. ;
2magnificat_C;Cum fecéritis ómnia, quæ præcépta sunt vobis, dícite: Servi inútiles sumus: quod debúimus fácere, fécimus.;
