intitule;Dominica XXX per annum;"XXX° dimanche ""dans l'année"""
pmagnificat_A;Magíster, quod est mandátum magnum in lege? Ait illi Iesus: Díliges Dóminum Deum tuum in toto corde tuo. ;
pmagnificat_B;Iter faciénte Iesu, dum appropinquaret Iéricho, cæcus clamábat ad eum, ut lumen recípere mererétur. ;
pmagnificat_C;Stans a longe publicánus nolébat nec óculos ad cælum leváre, sed percutiébat pectus suum dicens: Deus, propítius esto mihi peccatóri.;
oratio;Omnípotens sempitérne Deus, da nobis fídei, spei et caritátis augméntum, et, ut mereámur ássequi quod promíttis, fac nos amáre quod præcipis. Per Dóminum.;"Dieu éternel et tout-puissant, augmente en nous la foi, l’espérance et la charité ; et pour que nous puissions obtenir ce que tu promets, fais-nous aimer ce que tu prescris."
benedictus_A;Díliges próximum tuum sicut teípsum, dixit Dómlnus discípulis suis.;
benedictus_B;Iesu Fili David, miseré mei! Quid vis tibi fáciam, Dómine, ut vídeam.;
benedictus_C;Descéndit publicánus iustificátus in domum suam, ab illo, qui in se confidébat.;
2magnificat_A;"Díliges Dóminum Deum tuum; díliges próximum tuum sicut teípsum: in his duóbus mandátis univérsa Lex pendet et Prophétæ. ";
2magnificat_B;Ait Iesus cæco: Vade, fides tua.te salvum fecit. Et conféstim vidit, et sequebátur eum in via. ;
2magnificat_C;Omnis qui se exáltat humiliábitur, et qui se humíliat exaltábitur.;
