intitule;Dominica XXXII per annum;"XXXII° dimanche ""dans l'année"""
pmagnificat_A;Prudéntes vírgines, aptáte vestras lámpades: Ecce sponsus venit, exíte óbviam ei. ;
pmagnificat_B;Sedens Iesus contra gazophylácium aspiciébat víduam unam páuperem, quæ misit duo minúta: ómnia quæ habébat Dómino. ;
pmagnificat_C;Illi qui digni habéntur resurrectióne ex mórtuis, æquáles ángelis sunt et fílii sunt Dei.;
oratio;Omnípotens et miséricors Deus, univérsa nobis adversántia propitiátus exclúde, ut, mente et córpore páriter expedíti, quæ tua sunt líberis méntibus exsequámur. Per Dóminum.;Dieu tout-puissant et miséricordieux, écarte dans ta bonté tout ce qui nous serait contraire, afin que l’âme et le corps dégagés, nous puissions nous consacrer à ton service en toute liberté d’esprit.
benedictus_A;Média nocte clamor factus est: Ecce sponsus venit, exíte óbviam ei. ;
benedictus_B;Amen dico vobis, vídua hæc pauper plus ómnibus misit, qui misérunt in gazophylácium. ;
benedictus_C;Móyses osténdit secus rubum, quia resúrgent mórtui, sicut dicit: Dóminum Deum Abraham et Deum Isaac et Deum Iacob. Deus autem non est mortuórum sed vivórum.;
2magnificat_A;Amen dico vobis, vigiláte, quia nescítis diem neque horam. ;
2magnificat_B;Vídua illa pauper de penúria sua ómnia, quæ hábuit, misit, totum victum suum. ;
2magnificat_C;Deus non est mortuórum, sed vivórum: omnes enim vivunt ei.;
