intitule;IN BAPTISMATE DOMINI;BAPTÊME DU SEIGNEUR
rang;Festum;Fête
HYMNUS_1V;hy_A Patre Unigénite;
ant01;Fuit Ioánnes in desérto, baptízans et prædicans baptísmum pæniténtiæ in remissiónem peccatórum.;Jean le Baptiste parut dans le désert, prêchant un baptême de repentir pour la rémission des péchés.
ps01;ps134I;
ant02;"Ego quidem aqua baptízo vos; ipse vos baptizábit Spíritu Sancto et igne.";"Moi, je vous baptise dans l'eau ; lui, il vous baptisera dans l'Esprit-Saint et le feu."
ps02;ps134II;
ant03;Baptizátus Iesus conféstim ascéndit de aqua, et ecce apérti sunt ei cæli.;Jésus ayant été baptisé sortit aussitôt de l'eau, et voilà que les cieux s'ouvrirent pour lui.
ps03;NT7;
LB_1V;LB_Act 10, 37-38;
RB_1V;"R/. Dómine Deus, * Audi clamórem pópuli. Dómine.
V/. Et áperi eis fontem aquæ vivæ. * Audi clamórem pópuli. Glória Patri. Dómine.";"R/. Seigneur Dieu * écoute le cri de ton peuple. Seigneur. 
V/. Et révèle-lui la source d'eau vive. * écoute. Gloire au Père. Seigneur."
pmagnificat;Véterem hóminem rénovans, Salvátor venit ad baptísmum, ut natúram, quæ corrúpta est, per aquam recuperáret, incorruptíbili veste circumíciens nos.;Le Sauveur vient au Baptême relever le vieil homme, pour que notre nature, qui est corrompue, par l'eau soit récupéré, et que nous soyons vêtus d'immortalité.
preces_1V;preces_I;
oratio_1V;Omnípotens sempitérne Deus, qui Christum, in Iordáne flúmine baptizátum, Spíritu Sancto super eum descendénte, diléctum Fílium tuum sollémniter declarásti, concéde fíliis adoptiónis tuæ, ex aqua et Spíritu Sancto renátis, ut in beneplácito tuo iúgiter persevérent. Per Dóminum.;"Dieu éternel et tout-puissant, quand le Christ fur baptisé dans le Jourdain, et que l'Esprit Saint repose sur lui, tu l'as désigné comme ton Fils bien-aimé ; accorde à tes fils adoptifs, nés de l'eau et de l'Esprit, de se garder toujours dans ta sainte volonté."
ant_invit;Christum, Fílium diléctum, in quo Pater sibi complácuit, veníte, adorémus.;Le Christ, Fils bien-aimé, en qui le Père se complait, venez, adorons.
HYMNUS_laudes;hy_Iesus refúlsit ómnium;
ant1;"Baptízat miles Regem, servus Dóminum, Ioánnes Salvatórem; aqua Iordánis stúpuit, colúmba protestátur, patérna vox audíta est: Hic est Fílius meus.";"Il baptise son roi, le serviteur son maître, Jean son Sauveur ; L'eau du Jourdain s'étonne, la colombe témoigne, et la voix du Père proclame : Celui-ci est mon Fils."
ps1;ps62;
ant2;"Fontes aquárum sanctificáti sunt, Christo apparénte in glória orbi terrárum. Hauríte aquas de fóntibus Salvatóris; sanctificávit enim nunc omnem creatúram Christus Deus noster.";Les sources furent sanctifiées quand la gloire du Christ apparut au monde entier. Puisez aux sources du Sauveur, car toute créature est sanctifiée par le Christ notre Dieu.
ps2;AT41;
ant3;Te, qui in Spíritu et igne puríficas humána contágia, Deum et redemptórem omnes glorificámus.;Toi qui purifies l'humanité dans l'Esprit et le feu, tous nous glorifions notre Dieu et rédempteur.
ps3;ps149;
LB_matin;LB_Is 61, 1-2a;
RB_matin;"R/. Christe, Fili Dei vivi, * Miserére nobis. Christe.
V/. Qui apparuísti hódie. * Miserére nobis. Glória Patri. Christe.";"R/. Ils se prosterneront devant lui, * tous les rois de la terre. Ils se prosterneront. 
V/. Toutes les nations le serviront. * tous les rois de la terre. Gloire au Père. Ils se prosterneront.."
benedictus;"Baptizátur Christus, et sanctificátur omnis mundus; et tríbuit nobis remissiónem peccatórum; aqua et Spíritu omnes purificémur.";"Le Christ a été baptisé, Il a sanctifié le monde entier ; et Il nous donne la rémission des péchés, tous nous sommes purifiés par l'eau et l'Esprit."
preces_matin;preces_II;
oratio;Omnípotens sempitérne Deus, qui Christum, in Iordáne flúmine baptizátum, Spíritu Sancto super eum descendénte, diléctum Fílium tuum sollémniter declarásti, concéde fíliis adoptiónis tuæ, ex aqua et Spíritu Sancto renátis, ut in beneplácito tuo iúgiter persevérent. Per Dóminum.;"Dieu éternel et tout-puissant, quand le Christ fur baptisé dans le Jourdain, et que l'Esprit Saint repose sur lui, tu l'as désigné comme ton Fils bien-aimé ; accorde à tes fils adoptifs, nés de l'eau et de l'Esprit, de se garder toujours dans ta sainte volonté."
HYMNUS_tertiam;hy_Certum tenéntes;
HYMNUS_sextam;hy_Dicámus laudes;
HYMNUS_nonam;hy_Ternis horárum;
ant4;Ioánnes prohibébat Iesum dicens: Ego a te débeo baptizári, et tu venis ad me?;"Jean s'en défendait auprès de Jésus en disant: "" C'est moi qui ai besoin d'être baptisé par vous, et vous venez à moi ! """
ant5;"Respóndens autem Iesus dixit ei: Sine me modo; sic enim decet nos implére omnem iustítiam.";"Jésus lui répondit: "" Laisse faire maintenant, car il convient que nous accomplissions ainsi toute justice. """
ant6;Testimónium perhíbuit Ioánnes dicens: Quia vidi Spíritum descendéntem quasi colúmbam de cælo, et mansit super eum.;Jean a témoigné en disant : j'ai vu l'Esprit descendre du ciel telle une colombe, et rester sur lui.
ps4;ps117I;
ps5;ps117II;
ps6;ps117III;
LB_3;LB_Is 11, 1-3a;
RB_3;"V/. Illum opórtet créscere.
R/. Me autem mínui.";"V/. Il lui faut croitre. 
R/. Et que je diminue."
LB_6;LB_Is 42, 1;
RB_6;"V/. Ecce servus meus, suscípiam eum.
R/. Eléctus meus, complácuit sibi in illo ánima mea.";"V/. Voici mon serviteur que je soutiens. 
R/. Mon élu en qui j'ai mis toute ma joie."
LB_9;LB_Is 49, 6;
RB_9;"V/. Ponam spíritum meum super eum.
R/. Et iudícium géntibus nuntiábit.";"V/. J'ai fait reposer sur lui mon Esprit.
R/. Il proclamera le jugement des nations."
HYMNUS_vepres;hy_Implénte munus débitum;
ant7;Vox de cælis sónuit et vox Patris audíta est: Hic est Fílius meus, in quo mihi complácui, ipsum audíte.;Une voix du ciel a résonné et la voix du Père fut entendue : Celui-ci est mon Fils, en qui je me complait, écoutez-le.
ps8;ps109;
ant8;Caput dracónis Salvátor contéruit in Iordáne flúmine, ab eius potestáte omnes erípuit.;Dans les eaux du Jourdain le Seigneur a brisé la tête du dragon, pour que tous échappent à son pouvoir.
