intitule;IN NATIVITATE DOMINI;NATIVITE DU SEIGNEUR
rang;Sollemnitas;Solennité
HYMNUS_1V;hy_Christe, redémptor ómnium,;
ant01;Rex pacíficus magnificátus est, cuius vultum desíderat univérsa terra.;Le roi pacifique (ou : Salomon) fut magnifié : la terre entière admire son visage.
ps01;ps112;
ant02;Emíttit elóquium suum in terram, velóciter currit sermo eius.;Dieu envoie sa Parole sur la terre : rapide son Verbe la parcour.
ps02;ps147;
ant03;Verbum supérnum, a Patre ante témpora génitum, hódie pro nobis caro factum exinanívit semetípsum.;Le Verbe d'en haut, né du Père avant tout les siècles, a pris chair aujourd'hui : pour nous, il s'est anéanti.
ps03;NT5;
LB_1V;LB_Gal 4, 4-5;
RB_1V;"R/. Hódie sciétis * Quia véniet Dóminus. Hódie.
V/. Et mane vidébitis glóriam eius. * Quia véniet Dóminus. Glória Patri. Hódie.";"R/. Aujourd'huin vous saurez, * que le Seigneur viendra. Aujourd'hui. 
V/. Au matin, vous verrez sa gloire. * que le Seigneur viendra. Gloire au Père. Aujourd'hui. "
pmagnificat_A;Dum ortus fúerit sol de cælo, vidébitis Regem regum procedéntem a Patre, tamquam sponsum de thálamo suo.;Quand le soleil apparaîtra, vous verrez le Roi des rois venu du Père s'élancer, tel un époux, hors de sa tente.
pmagnificat_B;Dum ortus fúerit sol de cælo, vidébitis Regem regum procedéntem a Patre, tamquam sponsum de thálamo suo.;Quand le soleil apparaîtra, vous verrez le Roi des rois venu du Père s'élancer, tel un époux, hors de sa tente.
pmagnificat_C;Dum ortus fúerit sol de cælo, vidébitis Regem regum procedéntem a Patre, tamquam sponsum de thálamo suo.;Quand le soleil apparaîtra, vous verrez le Roi des rois venu du Père s'élancer, tel un époux, hors de sa tente.
oratio_1V;Deus, qui nos redemptiónis nostræ ánnua exspectatióne lætíficas, præsta, ut Unigénitum tuum, quem læti suscípimus redemptórem, veniéntem quoque iúdicem secúri vidére mereámur. Per Dóminum.;"Chaque année, Seigneur, tu ravives en nous la joyeuse espérance du salut ; nous accueillons dans l'allégresse ton Fils unique qui vient nous racheter, accorde-nous de le regarder sans crainte quand il viendra nous juger."
ant_invit;Christus natus est nobis: veníte, adorémus;Le Christ est né pour nous, venez, adorons-le.
HYMNUS_laudes;hy_A solis ortus cárdine;
ant1;"Quem vidístis? pastóres, dícite; annuntiáte nobis: In terris quis appáruit? Natum vídimus et choros angelórum collaudántes Dóminum, allelúia.";"Qu'avez-vous vu, bergers ? Dites-nous. Apprenez-le nous : qui donc est apparu sur terre ? Nous avons vu un nouveau-né, entouré du ch&oelig;r des anges : c'est le Seigneur qui nous sauve, Alléluia, alléluia."
ps1;ps62;
ant2;Angelus ad pastóres ait: Annúntio vobis gáudium magnum, quia natus est vobis hódie Salvátor mundi, allelúia.;L'Ange dit aux bergers : je vous annonce une grande joie car aujourd'hui vous est né le sauveur du monde, Alléluia.
ps2;AT41;
ant3;Párvulus fílius hódie natus est nobis, et vocábitur Deus fortis, allelúia.;Le Fils est né aujourd'hui pour nous petit enfant, et on l'appellera Dieu fort.
ps3;ps149;
LB_matin;LB_Hebr 1, 1-2;
RB_matin;"R/. Notum fecit Dóminus, * Allelúia, allelúia. Notum.
V/. Salutáre suum, * Allelúia, allelúia. Glória Patri. Notum.";"R/. Le Seigneur a fait connaître * Alléluia, alléluia. 
V/. Son Salut. * Alléluia, alléluia. Gloire au Père. Alléluia, alléluia."
benedictus_A;Glória in excélsis Deo, et in terra pax homínibus bonæ voluntátis, allelúia.;Gloire à Dieu au plus haut des cieux, et paix sur la terre aux hommes qu'il aime, alléluia, alléluia.
benedictus_B;Glória in excélsis Deo, et in terra pax homínibus bonæ voluntátis, allelúia.;Gloire à Dieu au plus haut des cieux, et paix sur la terre aux hommes qu'il aime, alléluia, alléluia.
benedictus_C;Glória in excélsis Deo, et in terra pax homínibus bonæ voluntátis, allelúia.;Gloire à Dieu au plus haut des cieux, et paix sur la terre aux hommes qu'il aime, alléluia, alléluia.
oratio;Da, quæsumus, omnípotens Deus, ut, dum nova incarnáti Verbi tui luce perfúndimur, hoc in nostro respléndeat ópere, quod per fidem fulget in mente. Per Dóminum.;"Dieu tout-puissant, en ton Verbe fait chair une lumière nouvelle nous envahit : puisqu'elle éclaire déjà nos c&oelig;rs par la foi, fais qu'elle resplendisse dans toute notre vie."
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Erant Ioseph et María, mater Iesu, mirántes super iis, quæ dicebántur de illo.;Joseph et Marie s'émerveillaient de ce que l'on disait de lui.
ant5;María autem conservábat ómnia verba hæc, cónferens in corde suo.;Marie quant à elle conservait toutes ces paroles, les méditant dans son c?ur.
ant6;Vidérunt óculi mei salutáre tuum, quod parásti ante fáciem ómnium populórum.;Car mes yeux ont vu le salut, que vous avez préparé à la face de tous les peuples.
ps4;ps18B;
ps5;ps46;
ps6;ps47;
LB_3;LB_Tit 2, 11-12;
