jour;Die 1 Ianuarii;Le 1er Janvier
intitule;IN OCTAVA NATIVITATIS DOMINI SANCTAE DEI GENITRICIS MARIAE;OCTAVE DE LA NATIVITE SAINTE MARIE, MERE DE DIEU
rang;Sollemnitas;Solennité
HYMNUS_1V;hy_Corde natus ex Paréntis;
ant01;"O admirábile commércium! Creátor géneris humáni, animátum corpus sumens, de Vírgine nasci dignátus est; et, procédens homo sine sémine, largítus est nobis suam deitátem.";O admirable échange ! Le créateur du genre humain, prenant un corps d'homme, a accepté de naître d'une vierge. Et le voici, homme sans père ici-bas, qui nous dispense sa divinité.
ps01;ps112;
ant02;Quando natus es ineffabíliter ex Vírgine, tunc implétæ sunt Scriptúræ: sicut plúvia in vellus descendísti, ut salvum fáceres genus humánum. Te laudámus, Deus noster.;Lorsque tu naquis mystérieusement d'une Vierge, l'Ecriture alors s'accomplit : comme la rosée imprègne la toison, tu es descendu parmi les hommes pour les sauver. Nous te louons, toi notre Dieu !
ps02;ps147;
ant03;Rubum, quem víderat Móyses incombústum, conservátam agnóvimus tuam laudábilem virginitátem. Dei Génetrix, intercéde pro nobis.;Dans le buisson que Moïse voyait brûler sans se consumer, nous reconnaissons la merveille de ta virginité intacte:sainte Mère de Dieu, intercède pour nous !
ps03;NT4;
LB_1V;LB_Gal 4, 4-5;
RB_1V;"R/. Verbum caro factum est, * Allelúia, allelúia. Verbum.
V/. Et habitávit in nobis. * Allelúia, allelúia. Glória Patri. Verbum.";"R/. Le Verbe s'est fait chair * Alléluia, alléluia. 
V/. Et il a habité parmi nous. * Alléluia, alléluia. Gloire au Père. Le Verbe. "
pmagnificat_A;Propter nímiam caritátem suam, qua diléxit nos Deus, Fílium suum misit in similitúdinem carnis peccáti: natum ex mulíere, factum sub lege, allelúia.;À cause du grand amour dont il nous a aimés, Dieu a envoyé son Fils dans une chair semblable à celle du péché, alléluia.
pmagnificat_B;Propter nímiam caritátem suam, qua diléxit nos Deus, Fílium suum misit in similitúdinem carnis peccáti: natum ex mulíere, factum sub lege, allelúia.;À cause du grand amour dont il nous a aimés, Dieu a envoyé son Fils dans une chair semblable à celle du péché, alléluia.
pmagnificat_C;Propter nímiam caritátem suam, qua diléxit nos Deus, Fílium suum misit in similitúdinem carnis peccáti: natum ex mulíere, factum sub lege, allelúia.;À cause du grand amour dont il nous a aimés, Dieu a envoyé son Fils dans une chair semblable à celle du péché, alléluia.
preces_matin;preces_I;
oratio_1V;Deus, qui salútis ætérnæ, beátæ Maríæ virginitáte fecúnda, humáno géneri præmia præstitísti, tríbue, quæsumus, ut ipsam pro nobis intercédere sentiámus, per quam merúimus Fílium tuum auctórem vitæ suscípere. Qui tecum vivit.;"Dieu tout-puissant, par la maternité virginale de la bienheureuse Marie, tu as offert au genre humain les trésors du salut éternel ; accorde-nous de sentir qu'intervient en notre faveur celle qui nous permit d'accueillir l'auteur de la vie, Jésus-Christ, ton Fils, notre Seigneur."
ant_invit;Maternitátem Vírginis Maríæ celebrémus: Christum eius Fílium adorémus Dóminum.;
HYMNUS_laudes;hy_Fit porta Christi pérvia;
ant1;"Germinávit radix Iesse, orta est stella ex Iacob: Virgo péperit Salvatórem; te laudámus, Deus noster.";"La racine de Jessé a germé, une étoile s'est levée de Jacob : la Vierge a enfanté le Sauveur ; nous vous louons, notre Dieu."
ps1;ps62;
ant2;Ecce María génuit nobis Salvatórem, quem Ioánnes videns exclamávit dicens: Ecce Agnus Dei, ecce qui tollit peccáta mundi, allelúia.;Voici que Marie nous a enfanté le Sauveur : en le voyant, Jean s'écria, disant : Voici l'Agneau de Dieu, voici celui qui enlève les péchés du monde.
ps2;AT41;
ant3;"Génuit puérpera Regem, cui nomen ætérnum, et gáudia matris habens cum virginitátis honóre; nec primam símilem visa est, nec habére sequéntem, allelúia.";"Une jeune femme a enfanté le Roi au Nom éternel. Elle a connu tout à la fois les joies de la maternité et l'honneur de la virginité ; on n'en vit jamais de semblable avant elle, nulle autre après ne la suivit."
ps3;ps149;
LB_matin;LB_Mic 5, 2-3a. 4A;
RB_matin;"R/. Notum fecit Dóminus, * Allelúia, allelúia. Notum.
V/. Salutáre suum, * Allelúia, allelúia. Glória Patri. Notum.";"R/. Le Seigneur a fait connaître * Alléluia, alléluia. 
V/. Son Salut. * Alléluia, alléluia. Gloire au Père. Alléluia, alléluia."
benedictus;"Mirábile mystérium declarátur hódie: innovántur natúræ, Deus homo factus est; id quod fuit permánsit, et quod non erat assúmpsit, non commixtiónem passus neque divisiónem.";"Un mystère admirable est aujourd'hui révélé ; les deux natures sont confessées : Dieu s'est fait homme ; ce qu'il était, il le demeure, ce qu'il n'était pas, il l'assume, sans subir ni mélange, ni division."
oratio;Deus, qui salútis ætérnæ, beátæ Maríæ virginitáte fecúnda, humáno géneri præmia præstitísti, tríbue, quæsumus, ut ipsam pro nobis intercédere sentiámus, per quam merúimus Fílium tuum auctórem vitæ suscípere. Qui tecum vivit.;"Dieu tout-puissant, par la maternité virginale de la bienheureuse Marie, tu as offert au genre humain les trésors du salut éternel ; accorde-nous de sentir qu'intervient en notre faveur celle qui nous permit d'accueillir l'auteur de la vie, Jésus-Christ, ton Fils, notre Seigneur."
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Erant Ioseph et María, mater Iesu, mirántes super iis, quæ dicebántur de illo.;Joseph et Marie s'émerveillaient de ce que l'on disait de lui.
ant5;María autem conservábat ómnia verba hæc, cónferens in corde suo.;Marie quant à elle conservait toutes ces paroles, les méditant dans son c?ur.
ant6;Vidérunt óculi mei salutáre tuum, quod parásti ante fáciem ómnium populórum.;Car mes yeux ont vu le salut, que vous avez préparé à la face de tous les peuples.
ps4;ps18B;
ps5;ps46;
ps6;ps47;
LB_3;LB_Soph 3, 14. 15b;
RB_3;"V/. Recordátus est Dóminus misericórdiæ suæ, allelúia.
R/. Et veritátis suæ dómui Israel, allelúia.";"V/. Le Seigneur s'est rappelé son amour, alléluia. 
R/. Sa fidélité en faveur d'Israël, alléluia."
LB_6;LB_Zac 9, 9;
RB_6;"V/. Vidérunt omnes fines terræ, allelúia.
R/. Salutáre Dei nostri, allelúia.";"V/. Tous les confins de la terre ont vu, alléluia. 
R/. Le salut de notre Dieu, alléluia."
LB_9;LB_Bar 5, 3-4;
RB_9;"V/. Misericórdia et véritas obviavérunt sibi, allelúia.
R/. Iustítia et pax osculátæ sunt, allelúia.";"V/. Amour et vérité se rencontrent, alléluia.
R/. Justice et pax s'embrassent, alléluia."
HYMNUS_vepres;hy_Corde natus ex Paréntis;
ant7;"O admirábile commércium! Creátor géneris humáni, animátum corpus sumens, de Vírgine nasci dignátus est; et, procédens homo sine sémine, largítus est nobis suam deitátem.";O admirable échange ! Le créateur du genre humain, prenant un corps d'homme, a accepté de naître d'une vierge. Et le voici, homme sans père ici-bas, qui nous dispense sa divinité.
ps8;ps121;
ant8;Quando natus es ineffabíliter ex Vírgine, tunc implétæ sunt Scriptúræ: sicut plúvia in vellus descendísti, ut salvum fáceres genus humánum. Te laudámus, Deus noster.;Lorsque tu naquis mystérieusement d'une Vierge, l'Ecriture alors s'accomplit : comme la rosée imprègne la toison, tu es descendu parmi les hommes pour les sauver. Nous te louons, toi notre Dieu !
ps8;ps126;
ant9;Rubum, quem víderat Móyses incombústum, conservátam agnóvimus tuam laudábilem virginitátem. Dei Génetrix, intercéde pro nobis.;Dans le buisson que Moïse voyait brûler sans se consumer, nous reconnaissons la merveille de ta virginité intacte:sainte Mère de Dieu, intercède pour nous !
ps9;NT4;
LB_soir;LB_Gal 4, 4-5;
RB_soir;"R/. Verbum caro factum est, * Allelúia, allelúia. Verbum.
V/. Et habitávit in nobis. * Allelúia, allelúia. Glória Patri. Verbum.";"R/. Le Verbe s'est fait chair * Alléluia, alléluia. 
V/. Et il a habité parmi nous. * Alléluia, alléluia. Gloire au Père. Le Verbe. "
2magnificat_A;Beátus venter, qui te portávit, Christe, et beáta úbera, quæ te lactavérunt, Dóminum et Salvatórem mundi, allelúia.;Bienheureux ventre qui t'a porté, ô Christ, et bienheureuse poitrine qui t'a allaité, Seigneur et Sauveur du monde, Alléluia.
2magnificat_B;Beátus venter, qui te portávit, Christe, et beáta úbera, quæ te lactavérunt, Dóminum et Salvatórem mundi, allelúia.;Bienheureux ventre qui t'a porté, ô Christ, et bienheureuse poitrine qui t'a allaité, Seigneur et Sauveur du monde, Alléluia.
2magnificat_C;Beátus venter, qui te portávit, Christe, et beáta úbera, quæ te lactavérunt, Dóminum et Salvatórem mundi, allelúia.;Bienheureux ventre qui t'a porté, ô Christ, et bienheureuse poitrine qui t'a allaité, Seigneur et Sauveur du monde, Alléluia.
preces_soir;preces_II;
oratio_vepres;Deus, qui salútis ætérnæ, beátæ Maríæ virginitáte fecúnda, humáno géneri præmia præstitísti, tríbue, quæsumus, ut ipsam pro nobis intercédere sentiámus, per quam merúimus Fílium tuum auctórem vitæ suscípere. Qui tecum vivit.;"Dieu tout-puissant, par la maternité virginale de la bienheureuse Marie, tu as offert au genre humain les trésors du salut éternel ; accorde-nous de sentir qu'intervient en notre faveur celle qui nous permit d'accueillir l'auteur de la vie, Jésus-Christ, ton Fils, notre Seigneur."
