intitule;SACRUM TRIDUUM PASCHALE<br>FERIA SEXTA ;TRIDUUM PASCAL<br>VENDREDI SAINT
invitatoire;Christum Dei Filium, qui suo nos redemit sanguine, venite adoremus.;Le Christ, Fils de Dieu, qui nous a rachetés de son sang, venez l'adorer.
hymne;hy_Pange lingua;
ant11;Astiterunt reges terrae, et principes convenerunt in unum, adversus Dominum, et adversusChristum eius.;Les rois de la terre se dressent, les princes se liguent entre eux, contre le Seigneur et contre son Christ.
ps11;ps2;
ant12;Diviserunt sibi vestimenta mea, et super vestem meam miserunt sortem.;Ils se sont partagé mes habits, ils ont tiré au sort mon vêtement.
ps12;ps21;
ant13;Insurrexerunt in me testes iniqui, et mentita est iniquitas sibi.;Des faux témoins se dressent contre moi, leur malice se trompe elle-même.
ps13;ps26;
ant14;Vim faciebant qui quaerebant animam meam.;Ils usent de violence, ceux qui cherchent ma perte.
ps14;ps37;
ant15;Confundantur et revereantur, qui quaenint animam meam, ut auferant eam.;Qu'ils reculent, couverts de honte, ceux qui cherchent à m'enlever la vie.
ps15;ps39;
ant16;Alieni insurrexerunt in me, et fortes quaesierunt animam meam.;Des étrangers se sont levés contre moi, et des puissants cherchent ma perte.
ps16;ps53;
V_1;"V/. Diviserunt sibi vestimenta mea.
R/. Et super vestem meam miserunt sortem.";"V/. Ils se sont partagé mes habits.
R/. Ils sont tiré au sort mon vêtement."
LB_1;LB_He 9, 11-28;
RB_1;"R/. Ecce vidimus eum non habentem speciem, neque decorem: aspectus eius in eo non est: hic peccata nostra portavit, et pro nobis dolet: ipse autem vulneratus est propter iniquitates nostras:
* Cuius livore sanati sumus.
V/. Vere languores nostros ipse tulit, et dolores nostros ipse portavit.";"R/. Voici que nous l’avons vu, n’ayant ni éclat ni beauté : son reflet n’est plus en lui ; c’est lui qui a porté nos péchés, et c’est pour nous qu’il souffre : et lui, il a été blessé en raison de nos iniquités ;
* c’est par sa lividité que nous avons été guéris.
V/. Vere languores nostros ipse tulit et infirmitates nostras ipse portavit."
ant21; Ab insurgentibus in me libera me, Domine, quia occupaverunt animam meam.;Délivre-moi, seigneur, de ceux qui se dressent contre moi, car ils se sont emparé de ma vie.
ps21;ps58;
ant22;Zelus domus tuae comedit me, et opprobria exprobrantium tibi ceciderunt super me.;Le zèle de ta maison m'a dévoré, et les insultes qu'on t'adresse retombent sur moi.
ps22;ps68;
ant23;Exsurge, Domine, et iudica causam meam.;Lève-toi, Seigneur, et rends justice à ma cause.
ps23;ps73;
ant24;Terra tremuit et quievit, dum exsurgeret in iudicio Deus.;La terre trembla et s'apaisa, tandis que Dieu se levait pour le jugement.
ps24;ps75;
ant25;Longe fecisti notos meos arne: traditus sum, et non egrediebar.;Tu as éloigné de moi mes amis : je suis livré sans issue.
ps25;ps87;
ant26;Captabunt in animam iusti, et sanguinem innocentem condernnabunt.;Ils s'attaquent à la vie du juste, ils déclarent coupable le sang innocent.
ps26;ps93;
V_2;"V/. Insurrexerunt in me testes iniqui.
R/. Et mentita est iniquitas sibi.";"V/. Des faux témoins se dressent contre moi.
R/. Leur malice se trompe elle-même."
LB_2;LB_Il 2, 12-13;
RB_2;"R/. Animam meam dilectam tradidi in manus iniquorum; et facta est mihi hereditas mea sicut leo in silva. Dedit contra me vocem adversarius dicens: congregamini et properate ad devorandum illum. Posuerunt me in desertum solitudinis, et luxit super me omnis terra;
* quia non est inventus qui me agnosceret et faceret bene.
V/. Omnes inimici mei adversum me cogitabant mala mihi, verbum iniquum mandaverunt adversum me.";"R/. Ma vie bien-aimée, je l’ai livrée aux mains des malveillants, et mon héritage est devenu pour moi comme un lion dans la forêt. L’adversaire a donné de la voix contre moi, disant : Rassemblez-vous, et hâtez-vous de le dévorer. Ils m’ont mis dans un désert d’abandon, et toute la terre est en deuil de moi, 
* car il ne s’est trouvé personne pour me reconnaître, et me faire du bien.
V/. Tous mes ennemis tramaient des maux pour moi, ils ont formulé contre moi une parole inique."
ant31;Aperto militis lancea latere crucifixi Domini, exivit sanguis et aqua in redemptionem salutis nostrae.;Quand le soldat ouvrit d'un coup de lance le côté du Seigneur crucifié, il sorti du sang et de l'eau pour prix de notre salut.
ps31;AT34;
ps32;AT38;
ps33;AT44;
V_3;"V/. Sustinui qui simul contristaretur et non fuit.
R/. Et qui consolaretur et non inveni.";"V/. J'espérais que quelqu'un s'attriste avec moi, mais en vain.
R/. Des consolateurs, et je n'en ai pas trouvé."
LB_3;LB_Mt 27, 1-2.11-56;
RB_3;"R/. Caligaverunt oculi mei a fletu meo, quia elongabitur a me qui consolabatur me : videte omnes populi,
* Si est dolor similis sicut dolor meus.
V/. O vos omnes qui transitis per viam, attendite et videte.";"R/. Mes yeux se sont enténébrés à force de pleurer : car il s’est éloigné de moi, celui qui était ma consolation : voyez, tous les peuples, 
* s’il est douleur semblable à ce qu’est ma douleur.
V/. Vous tous qui passez par le chemin, regardez et voyez."
antl1;Proprio Filio suo non peperdt Deus, sed pro nobis omnibus tradidit illum.;Dieu n'a pas épargné son propre Fils, mais il l'a livré pour nous tous.
antl2;Anxiatus est in me spiritus meus, in me turbatus est cor meum.;Mon esprit en moi est pris d’angoisse, en moi mon cœur est troublé.
psl2;ps142;
antl3;Ait latro ad latronem: nos quidem digna factis recipimus, hic autem quid fecit? Memento mei, Domine, dum veneris in regnum tuum.;Le larron dit au larron : nous, nous recevons ce que nous méritons bien pour nos actes mais lui, qu'a-t-il fait? Souvenez-vous de moi, Seigneur, quand vous serez arrivé dans votre royaume.
psl3;ps84;
antl4;Dum conturbata fuerit anima mea, Domine, misericordiae memor eris.;Quand mon âme était troublée, Seigneur, tu te souviens de ta miséricorde.
psl4;AT43;
antl5;Memento mei, Domine Deus, dum veneris in regnum tuum.;Souviens-toi de moi, Seigneur Dieu, quand tu viendras dans ton Royaume.
