intitule;S. IOSEPH, SPONSI B. M. V.;St JOSEPH, EPOUX DE LA BIENHEUREUSE VIERGE MARIE
rang;Sollemnitas;Solennité
HYMNUS_1V;hy_Te, Ioseph, célebrent ágmina cælitum;
ant01;Iacob génuit Ioseph, virum Maríæ, de qua natus est Iesus, qui vocátur Christus (T.P. allelúia).;Jacob engendra Joseph l'époux de Marie, de laquelle est né Jésus, qu'on appelle Christ. (T.P. alléluia) 
ps01;ps112;
ant02;Missus est ángelus Gábriel a Deo in civitátem Galilææ, cui nomen Názareth, ad vírginem desponsátam viro, cui nomen erat Ioseph (T.P. allelúia).;L'ange Gabriel fut envoyé par Dieu dans une ville de Galilée appelée Nazareth, vers une vierge qui était fiancée à un homme de la maison de David, nommé Joseph. (T.P. alléluia) 
ps02;ps145;
ant03;Cum esset desponsáta mater Iesu María Ioseph, ántequam convenírent, invénta est in útero habens de Spíritu Sancto (T.P. allelúia). ;Marie, la mère de Jésus, ayant été fiancée à Joseph, il se trouva, avant qu'il eussent habité ensemble, qu'elle avait conçu par la vertu du Saint-Esprit. (T.P. alléluia) 
ps03;NT4;
LB_1V;LB_Col 3, 23-24;
RB_1V;"Tempore Quadragesimæ :
R/. Iustus germinábit * Sicut lílium. Iustus.
V/. Et florébit in ætérnum ante Dóminum. * Sicut lílium. Glória Patri. Iustus.

Tempore paschali:
R/. Iustus germinábit sicut lílium, * Allelúia, allelúia. Iustus.
V/. Et florébit in ætérnum ante Dóminum. * Allelúia, allelúia. Glória Patri. Iustus.";"Au temps du Carême :
R/. Le juste s’épanouira * comme le lis. Le juste.
V/. et il fleurira pour l’éternité devant le Seigneur. * comme le lis. Gloire au Père. Le juste.

Au temps Pascal :
R/. Le juste s’épanouira comme le lis : * Alléluia, alléluia. Le juste.
V/. et il fleurira pour l’éternité devant le Seigneur. * Alléluia, alléluia. Gloire au Père. Le juste."
pmagnificat;Ecce fidélis servus et prudens, quem constítuit Dóminus super famíliam suam (T.P. allelúia).;Voici le serviteur fidèle et prudentque le maître a établi sur les gens de sa maison. (T.P.alléluia). 
preces_1V;preces_I;
oratio;Præsta, quæsumus, omnípotens Deus, ut humánæ salútis mystéria, cuius primórdia beáti Ioseph fidéli custódiæ commisísti, Ecclésia tua, ipso intercedénte, iúgiter servet implénda. Per Dóminum.;"Nous te supplions, Dieu tout-pouissant, à l'aube des temps nouveaux tu as confié à Saint Joseph la garde des mystères du salut ; accorde à ton Eglise, toujours soutenue par son intercession, de veiller sur leur achèvement."
ant_invit;Laudémus Christum Dóminum in sollemnitáte sancti Ioseph (T.P. allelúia). ;Louons le Christ Seigneur en la solennité du bienheureux Joseph. (T.P. alléluia). 
HYMNUS_laudes;hy_Cælitum, Ioseph, decus atque nostræ;
