ant_invit;Cor Iesu, amóre nostri vulnerátum, veníte, adorémus.;"Le cœur de Jésus a été blessé par amour pour nous; venez, adorons.";
intitule;SACRATISSIMI CORDIS IESU;CŒUR SACRE DE JESUS;
rang;Sollemnitas;Solennité;
HYMNUS_1V;hy_Auctor beáte sæculi;;
ant01;"In caritáte perpétua diléxit nos Deus; ídeo, exaltátus a terra, attráxit nos ad cor suum, míserans.";Dieu nous a aimés d'un amour éternel, c'est pourquoi, élevé de terre, il nous a conduit dans sa miséricorde, attirés à son cœur.;Jn 12,32
ps01;ps112;;
ant02;Díscite a me, quia mitis sum et húmilis corde, et inveniétis réquiem animábus vestris.;Aprenez de moi que je suis doux et humble de cœur, et vous trouverez du repos pour vos âmes;Mt 11,29
ps02;ps145;;
ant03;Ego sum pastor bonus, qui pasco oves meas, et pro óvibus meis pono ánimam meam.;Je suis le bon pasteur, qui pais mes brebis, et quiu pour mes brebis donne ma vie.;
ps03;NT4;;
LB_1V;LB_Eph 5, 25b-27;;
RB_1V;"R/. Christus diléxit nos et lavit nos * In sánguine suo. Christus. 
V/. Et fecit nos regnum et sacerdótes Deo et Patri. * In sánguine suo. Glória Patri. Christus.";"R/. Le Christ nous a aimés et nous a lavés * Dans son sang. Le Christ. 
V/. Et nous a faits rois et prêtre en Dieu son Père. *Dans son sang. Gloire au Père. Le Christ. ";
pmagnificat_A;Ignem veni míttere in terram, et quid volo nisi ut accendátur?;Je suis venu apporter le feu sur la terre, et comme je voudrais que déjà il fût allumé.;Lc 12, 49
pmagnificat_B;Ignem veni míttere in terram, et quid volo nisi ut accendátur?;Je suis venu apporter le feu sur la terre, et comme je voudrais que déjà il fût allumé.;
pmagnificat_C;Ignem veni míttere in terram, et quid volo nisi ut accendátur?;Je suis venu apporter le feu sur la terre, et comme je voudrais que déjà il fût allumé.;
HYMNUS_laudes;hy_Iesu, auctor cleméntiæ;;
ant1;Stans Iesus clamábat dicens: Si quis sitit, véniat ad me et bibat.;Jésus, debout, lança à pleine voix : celui qui a soif, qu'il vienne à moi et qu'il boive.;Jn 7,37
ps1;ps62;;
