ant_invit;Deum verum, unum in Trinitáte et Trinitátem in Unitáte, veníte, adorémus.;Le Dieu vrai, un dans la Trinité et Trinité dans l'Unité, venez, adorons.
intitule;SANCTISSIMÆ TRINITATIS;SAINTE TRINITE
rang;Sollemnitas;Solennité
HYMNUS_1V;hy_Imménsa et una, Trínitas;
ant01;Glória tibi, Trínitas æquális, una Déitas, et ante ómnia sæcula, et nunc et in perpétuum.;Gloire à toi, Trinité co-égale, Divinité unique, qui es avant tous les siècles, maintenant et pour l'éternité.
ps01;ps112;
ant02;"Benedícta sit sancta Trínitas atque indivísa Unitas; confitébimur ei, quia fecit nobíscum misericórdiam suam.";"Que soit bénie la Sainte Trinité, et aussi l'unité indivisible; nous lui rendons gloire, elle qui nous a fait miséricorde."
ps02;ps147;
ant03;Glória et honor Deo in unitáte Trinitátis, Patri et Fílio cum Sancto Spíritu, in sempitérna sæcula.;Gloire et honneur à Dieu dans l'Unité de la Trinité, le Père, et le Fils, avec le Saint Esprit, pour les âges éternels.
ps03;NT4;
LB_1V;LB_Rom 11, 33-36;
RB_1V;"R/. Benedicámus Patrem et Fílium cum Sancto Spíritu. * Laudémus eum in sæcula. Benedicámus. 
V/. Soli Deo honor et glória. * Laudémus eum in sæcula. Glória Patri. Benedicámus.";"R/. Nous bénissons le Père et le Fils avec le Saint Esprit. * Nous les louons dans les siècles. Bénissons. 
V/. A Dieu seul honneur et gloire. * Nous les louons dans les siècles. Gloire au Père. Bénissons."
pmagnificat_A;"Grátias tibi, Deus; grátias tibi, vera et una Trínitas, una et summa Déitas, sancta et una Unitas.";"Nous te rendons grâces, ô Dieu; nous te rendons grâces, vraie et unique Trinité, unique et hauteDivinité, sainte et unique Unité."
pmagnificat_B;"Grátias tibi, Deus; grátias tibi, vera et una Trínitas, una et summa Déitas, sancta et una Unitas.";"Nous te rendons grâces, ô Dieu; nous te rendons grâces, vraie et unique Trinité, unique et hauteDivinité, sainte et unique Unité."
pmagnificat_C;"Grátias tibi, Deus; grátias tibi, vera et una Trínitas, una et summa Déitas, sancta et una Unitas.";"Nous te rendons grâces, ô Dieu; nous te rendons grâces, vraie et unique Trinité, unique et hauteDivinité, sainte et unique Unité."
HYMNUS_laudes;hy_Trínitas, summo sólio corúscans;
ant1;Tibi decus et impérium, tibi glória et potéstas, tibi laus et iubilátio in sempitérna sæcula o beáta Trínitas.;A toi splendeur et autorité, à toi gloire et pouvoir, à toi louanges et jubilation dans les siècles éternels, ô bienheureuse Trinité.
ps1;ps62;
ant2;Te iure laudant, te adórant, te gloríficant omnes creatúræ tuæ, o beáta Trínitas.;Toutes tes créatures font bien de te louer, de t'adorer, de te glorifier, ô bienheureuse Trinité.
ps2;AT41;
ant3;Ex quo ómnia, per quem ómnia, in quo ómnia: ipsi glória in sæcula.;De toute chose, par toute chose, en toute chose : à lui la gloire dans les siècles.
ps3;ps149;
ant4;Te invocámus, te laudámus, te adorámus, o beáta Trínitas.;Nous t'invoquons, nous te louons, nous t'adorons, ô bienheureuse Trinité.
ps4;ps117I;
ant5;Spes nostra, salus nostra, honor noster, o beáta Trínitas.;Notre espoir, notre salut, notre honneur, ô bienheureuse Trinité.
ps5;ps117II;
ant6;Te semper idem esse, vívere et intellégere profitémur.;Nous professons que tu es une et inchangée, dans l'être, la vie et l'intelligence.
ps6;ps117III;
ps8;ps113A;
LB_3;LB_2 Cor 1, 21-22;
RB_3;"V/. Intráte portas eius in confessióne. 
R/. Date glóriam Deo Patri et Fílio et Spirítui Sancto.";"V/. Entrez par sa porte en rendant grâce.
R/. Rendez la gloire à Dieu Père Fils et Esprit."
LB_6;LB_Cf. Gal 4, 4. 5-6;
RB_6;"V/. O beáta et benedícta et gloriósa Trínitas. 
R/. Pater et Fílius et Spíritus Sanctus.";"V/. O bienheureuse, bénie et glorieuse Trinité.
R/. Père, Fils et Esprit Saint."
LB_9;LB_Ap 7, 12;
RB_9;"V/. Benedíctus es, Dómine, in firmaménto cæli.
R/. Et laudábilis et gloriósus in sæcula.";"V/. Tu es béni, Seigneur, au firmament du ciel.
R/. A toi la louange et la loire dans les siècles."
oratio;Deus Pater, qui, Verbum veritátis et Spíritum sanctificatiónis mittens in mundum, admirábile mystérium tuum homínibus declarásti, da nobis, in confessióne veræ fídei, ætérnæ glóriam Trinitátis agnóscere, et Unitátem adoráre in poténtia maiestátis. Per Dóminum.;Dieu notre Père, qui en envoyant le Verbe de vérité et l'Esprit de sanctification dans le monde a révélé ton mystère admirable aux hommes, accorde nous de pouvoir discerner, en professant la vraie foi, la gloire de ta Trinité et d'adorer ton Unité dans la puissance de ta Majesté.
benedictus_A;Benedícta sit creátrix et gubernátrix ómnium, sancta et indivídua Trínitas, et nunc et semper et per infiníta sæculórum sæcula.;Bénie soit la sainte et indivisible Trinité qui crée et gouverne toute chose, maintenant, toujours et dans l'infini des siècles.
