intitule;SACRUM TRIDUUM PASCHALE<br>SABBATO SANCTO;TRIDUUM PASCAL<br>SAMEDI SAINT
invitatoire;Christum Dóminum pro nobis passum et sepúltum, veníte, adorémus.;Le Christ Seigneur mis à mort et enseveli pour nous, venez l'adorer.
hymne;hy_Christe, cælórum Dómine;
ant11;In pace in idípsum dórmiam et requiéscam. ;En paix, tout à la fois, je dors et je me repose.
ps11;ps4;
ant12;Habitabit * in tabernaculo tuo, requiescet in monte sancto tuo. ;Il habitera sous ta tente, il reposera sur ta sainte montagne.
ps12;ps14;
ant13;Caro mea requiéscet in spe. ;Ma chair reposera sans l'espérance.
ps13;ps15;
ant14;Elevámini, portæ æternáles, et introíbit Rex glóriæ. ;Elevez-vous, portes éternelles, et le roi de gloire entrera.
ps14;ps23;
ant15;Credo videre * bona Domini in terra viventium. ;Je le crois, je verrai les bontés du Seigneur sur la terre des vivants.
ps15;ps26;
ant16;Domine, * abstraxisti ab inferis animam meam. ;Seigneur, tu as retiré mon âme des enfers.
ps16;ps29;
V_1;"V/. Tu, Domine, miserere mei.
R/. Et resuscita me, et retribuarn eis.";"V/. Toi, Seigneur, prends pitié de moi.
R/. Relève-moi et je leur rendrai ce qu'ils méritent."
LB_1;LB_He 4, 1-13;
RB_1;"R/. Plange quasi virgo, plebs mea : ululate, pastores, in cinere et cilicio :
* quia veniet dies Domini magna et amara valde.
V/. Accingite vos, sacerdotes, et plangite, ministri altaris, aspergite vos cinere.";"R/. Pleure comme une vierge, ô mon peuple ; gémissez, pasteurs, dans la cendre et le cilice ;
* car il vient, le jour du Seigneur, grand et redoutable.
V/. Prêtres, revêtez le sac et pleurez ; ministres de l’autel, couvrez vos têtes de cendre."
ant21;Deus adiuvat me, * et Dominus susceptor est animae meae. ;Dieu vient à mon aide, et le Seigneur est le soutient de ma vie.
ps21;ps53;
ant22;Liberavit Dominus pauperem a potente, et inopem, cui non erat adjutor.;Le Seigneur délivrera le pauvre du puissant, et le malheureux sans recours.
ps22;ps71;
ant23;Cogitaverunt impii, et locuti sunt nequitiam: iniquitatem in excelso locuti sunt.;"Les impies méditent et prônent le mal ; de très haut ils prônent le péché."
ps23;ps72;
ant24;In pace * factus est locus eius, et in Sion habitatio eius. ;Il a fixé son séjour dans la paix, et sa demeure à sion.
ps24;ps75;
ant25;In die tribulationis meae Deum exquisivi manibus meis.;Au jour de la détresse je tends les mains vers le Seigneur.
ps25;ps76;
ant26;Factus sum * sicut homo sine adiutorio, inter mortuos liber. ;Je suis devenu comme un homme sans recours, libre parmi les morts.
ps26;ps87;
V_2;"V/. Non derelinques animam meam in inferno.
R/. Nec dabis sanctum tuum videre corruptionem.";"V/. Tu n'abandonneras pas mon âme à la mort.
R/. Tu ne laisseras pas ton saint voir la corruption."
LB_2;LB_PG 43, 439 . 451 . 462-463;
