HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;In illa die stillábunt montes dulcédinem, et colles fluent lac et mel, allelúia.;
ant2;Montes et colles cantábunt coram Deo laudem, et ómnia ligna silvárum plaudent mánibus: quóniam véniet Dóminus dominátor in regnum ætérnum, allelúia.;
ant3;Ecce véniet Prophéta magnus, et ipse renovábit Ierúsalem, allelúia.;
LB_matin;LB_Rom 13, 11-12;
RB_matin;"R/. Christe, Fili Dei vivi, * Miserére nobis. Christe.
V/. Qui ventúrus es in mundum. * Miserére nobis. Glória Patri. Christe.";
benedictus;<i>Antiphona propria.</i>;<i>Antienne propre</i>
oratio_laudes;<i>Oratio propria</i>;<i>Oraison propre</i>
preces_matin;preces_II;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;
LB_3;LB_Rom 13, 13-14a;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";
oratio_3;;
LB_6;LB_1 Th 3, 12-13;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";
oratio_6;;
LB_9;LB_2 Th 1, 6. 7. 10;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";
oratio_9;;
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Iucundáre, fília Sion, et exsúlta satis, fília Ierúsalem, allelúia.;
ant8;Rex noster advéniet Christus, quem Ioánnes prædicávit Agnum esse ventúrum.;
ant9;Ecce vénio cito, et merces mea mecum est, dicit Dóminus: dare unicuíque secúndum ópera sua.;
LB_soir;LB_Phil 4, 4-5;
RB_soir;"R/. Osténde nobis, Dómine, * Misericórdiam tuam. Osténde.
V/. Et salutáre tuum da nobis. * Misericórdiam tuam. Glória Patri. Osténde.";
magnificat;<i>Antiphona propria.</i>;<i>Antienne propre</i>
oratio_vesperas;<i>Oratio propria</i>;<i>Oraison propre</i>
preces_soir;preces_III
